place_name_clean,county,person_cluster,mentions
Sortavala mlk,Laatokan Karjala (Raja-Karjala),John / Jaan / Jussi / Hans,3
Keminmaa,Peräpohjola,Mary / Maria / Maarja / Mari,3
Uusikirkko Vpl.,Etelä-Karjala,Jesus / Christ,3
Viipuri mlk,Etelä-Karjala,Anna / Anne / Ann / Anni,3
Keski-Inkeri,Keski-Inkeri,Peter / Pietari / Peeter,3
Säyneinen,Pohjois-Karjala,Peter / Pietari / Peeter,3
Pohjois-Karjala,Pohjois-Karjala,Catherine / Kadri / Katri,3
Uusikirkko Vpl.,Etelä-Karjala,John / Jaan / Jussi / Hans,3
Valga,Valgamaa,Peter / Pietari / Peeter,3
Pohjois-Karjala,Pohjois-Karjala,John / Jaan / Jussi / Hans,3
Toijala,Häme,John / Jaan / Jussi / Hans,3
Läänemaa,Läänemaa,Catherine / Kadri / Katri,3
Länsi-Inkeri,Länsi-Inkeri,Peter / Pietari / Peeter,3
Tallinn,Harjumaa,Peter / Pietari / Peeter,2
Uusimaa,Uusimaa,John / Jaan / Jussi / Hans,2
Uusikirkko Vpl.,Etelä-Karjala,Peter / Pietari / Peeter,2
Tornio,Peräpohjola,Mary / Maria / Maarja / Mari,2
Äyräpää,Etelä-Karjala,Mary / Maria / Maarja / Mari,2
Uusikirkko Vpl.,Etelä-Karjala,Mary / Maria / Maarja / Mari,2
Tallinn,Harjumaa,Anna / Anne / Ann / Anni,2
Sõrve,Saaremaa,Catherine / Kadri / Katri,2
Äyräpää,Etelä-Karjala,Peter / Pietari / Peeter,2
Metsäsuomalaisten alue,Metsäsuomalaisten alue,Peter / Pietari / Peeter,2
Pärnu l.,Pärnumaa,Jesus / Christ,2
Keminmaa,Peräpohjola,Peter / Pietari / Peeter,2
Keminmaa,Peräpohjola,Jesus / Christ,2
Narva l.,Virumaa,Peter / Pietari / Peeter,2
Kajaani mlk,Kainuu,Anna / Anne / Ann / Anni,2
Pohjois-Pohjanmaa,Pohjois-Pohjanmaa,Peter / Pietari / Peeter,2
Porvoo mlk,Uusimaa,Mary / Maria / Maarja / Mari,2
Hiiumaa,Läänemaa,Martin / Mart / Märt,2
Peräpohjola,Peräpohjola,Jesus / Christ,2
Etelä-Savo,Etelä-Savo,Catherine / Kadri / Katri,2
Saaremaa,Saaremaa,John / Jaan / Jussi / Hans,2
Etelä-Savo,Etelä-Savo,John / Jaan / Jussi / Hans,2
Etelä-Pohjanmaa,Etelä-Pohjanmaa,Mary / Maria / Maarja / Mari,2
Etelä-Savo,Etelä-Savo,Anna / Anne / Ann / Anni,2
Kajaani mlk,Kainuu,Mary / Maria / Maarja / Mari,1
Kuusankoski,Häme,Mary / Maria / Maarja / Mari,1
Kuusankoski,Häme,Catherine / Kadri / Katri,1
Kuopio mlk,Pohjois-Savo,Peter / Pietari / Peeter,1
Kouvola,Häme,Mary / Maria / Maarja / Mari,1
Keski-Inkeri,Keski-Inkeri,Jesus / Christ,1
Etelä-Pohjanmaa,Etelä-Pohjanmaa,Peter / Pietari / Peeter,1
Kajaani mlk,Kainuu,Peter / Pietari / Peeter,1
Viljandimaa,Viljandimaa,John / Jaan / Jussi / Hans,1
Harjumaa,Harjumaa,Mary / Maria / Maarja / Mari,1
Harjumaa,Harjumaa,John / Jaan / Jussi / Hans,1
Virumaa,Virumaa,John / Jaan / Jussi / Hans,1
Vuolijoki,Kainuu,John / Jaan / Jussi / Hans,1
Vuolijoki,Kainuu,Peter / Pietari / Peeter,1
Kainuu,Kainuu,Mary / Maria / Maarja / Mari,1
Viipuri mlk,Etelä-Karjala,Catherine / Kadri / Katri,1
Kainuu,Kainuu,Jesus / Christ,1
Võrumaa,Võrumaa,Jesus / Christ,1
Järvamaa,Järvamaa,John / Jaan / Jussi / Hans,1
Hiiumaa,Läänemaa,Peter / Pietari / Peeter,1
Viipuri mlk,Etelä-Karjala,Peter / Pietari / Peeter,1
Säyneinen,Pohjois-Karjala,Mary / Maria / Maarja / Mari,1
Laatokan Karjala (Raja-Karjala),Laatokan Karjala (Raja-Karjala),Anna / Anne / Ann / Anni,1
Lappeenranta,Etelä-Savo,Martin / Mart / Märt,1
Säyneinen,Pohjois-Karjala,Anna / Anne / Ann / Anni,1
Suolahti,Keski-Suomi,John / Jaan / Jussi / Hans,1
Sortavala mlk,Laatokan Karjala (Raja-Karjala),Mary / Maria / Maarja / Mari,1
Saaremaa,Saaremaa,Peter / Pietari / Peeter,1
Saaremaa,Saaremaa,Martin / Mart / Märt,1
Riihimäki,Häme,Anna / Anne / Ann / Anni,1
Pärnumaa,Pärnumaa,Mary / Maria / Maarja / Mari,1
Tartu,Tartumaa,Jesus / Christ,1
Pärnu l.,Pärnumaa,Catherine / Kadri / Katri,1
Pärnu l.,Pärnumaa,Anna / Anne / Ann / Anni,1
Pohjois-Savo,Pohjois-Savo,Peter / Pietari / Peeter,1
Pohjois-Savo,Pohjois-Savo,Catherine / Kadri / Katri,1
Tornio,Peräpohjola,Peter / Pietari / Peeter,1
Uusikirkko Vpl.,Etelä-Karjala,Anna / Anne / Ann / Anni,1
Peräpohjola,Peräpohjola,Anna / Anne / Ann / Anni,1
Paide l.,Järvamaa,Mary / Maria / Maarja / Mari,1
Paide l.,Järvamaa,Jesus / Christ,1
Paide l.,Järvamaa,Catherine / Kadri / Katri,1
Nokia,Satakunta,Peter / Pietari / Peeter,1
Valga,Valgamaa,Catherine / Kadri / Katri,1
Narva l.,Virumaa,Martin / Mart / Märt,1
Mikkeli mlk,Etelä-Savo,Peter / Pietari / Peeter,1
Mikkeli mlk,Etelä-Savo,Mary / Maria / Maarja / Mari,1
Valgamaa,Valgamaa,Peter / Pietari / Peeter,1
Valkeakoski,Häme,Peter / Pietari / Peeter,1
Säyneinen,Pohjois-Karjala,Jesus / Christ,1
Metsäsuomalaisten alue,Metsäsuomalaisten alue,Mary / Maria / Maarja / Mari,1
Aunus,Aunus,Peter / Pietari / Peeter,1
