collection,Christ-type,Jesus-type,Other Jesus-cluster,mentions_total,jesus_share_mentions,christ_share_mentions,christ_poems,jesus_poems,other_poems,any_jesus_christ_poems,poems_with_both,jesus_share_poem_subtype,christ_share_poem_subtype,all_poems_in_collection,any_jesus_christ_poem_rate_in_collection,christ_examples,jesus_examples
skvr,86,1026,0,1112,0.9226618705035972,0.07733812949640288,60,610,0,644,26,0.9104477611940298,0.08955223880597014,89247,0.007215928826739274,SKVR II 330.; SKVR II 330 a).; SKVR II 861.; SKVR III2 1325.; SKVR III3 4085.; SKVR III3 4303.; SKVR III3 4436.; SKVR III3 4482.,SKVR II 143.; SKVR II 273.; SKVR II 461.; SKVR II 625.; SKVR II 638 a).; SKVR II 724.; SKVR II 805 a).; SKVR II 806.
jr,93,552,0,645,0.8558139534883721,0.14418604651162792,76,393,0,449,20,0.837953091684435,0.16204690831556504,85607,0.005244898197577301,JR 01460; JR 02106; JR 02239; JR 04413; JR 04789; JR 04968; JR 05375; JR 06222,JR 00217; JR 01173; JR 01460; JR 01466; JR 01876; JR 02106; JR 02187; JR 02236
erab,52,426,0,478,0.891213389121339,0.1087866108786611,41,192,0,205,28,0.8240343347639485,0.1759656652360515,108969,0.0018812689847571328,"E 1308/23; E 55486/520 (4); E 55546/51 (18); ERA II 3, 182 (31); ERA II 282, 517 (1); ERA II 299, 557 (26); ERM 21, 49; EÜS VIII 2013 (296)",E 17624 (13); E 18830/1; E 26738/9; E 39274 (d); E 39276 (4); E 43912 (1); E 45946/49; E 52182
