person_cluster,area_name,mentions,poems
Anna / Anne / Ann / Anni,Luopioinen,1,1
Anna / Anne / Ann / Anni,Lääne-Nigula,1,1
Anna / Anne / Ann / Anni,Lüganuse,6,5
Anna / Anne / Ann / Anni,Maarja-Magdaleena,23,14
Anna / Anne / Ann / Anni,Maksuatiha,2,2
Anna / Anne / Ann / Anni,Martna,3,2
Anna / Anne / Ann / Anni,Metsäpirtti,1,1
Anna / Anne / Ann / Anni,Mihkli,2,1
Anna / Anne / Ann / Anni,Moloskovitsa,9,6
Anna / Anne / Ann / Anni,Muhu,32,11
Anna / Anne / Ann / Anni,Muolaa,1,1
Anna / Anne / Ann / Anni,Mustjala,7,3
Anna / Anne / Ann / Anni,Mäntsälä,1,1
Anna / Anne / Ann / Anni,Mäntyharju,3,2
Anna / Anne / Ann / Anni,Märjamaa,7,7
Anna / Anne / Ann / Anni,Nakkila,1,1
Anna / Anne / Ann / Anni,Narvusi,33,18
Anna / Anne / Ann / Anni,Noarootsi,1,1
Anna / Anne / Ann / Anni,Nurmes,1,1
Anna / Anne / Ann / Anni,Nurmijärvi,1,1
Anna / Anne / Ann / Anni,Nõo,9,7
Anna / Anne / Ann / Anni,Orimattila,1,1
Anna / Anne / Ann / Anni,Otepää,12,10
Anna / Anne / Ann / Anni,Oulu,1,1
Anna / Anne / Ann / Anni,Paatene,16,1
Anna / Anne / Ann / Anni,Paattinen,2,2
Anna / Anne / Ann / Anni,Paide,11,5
Anna / Anne / Ann / Anni,Paistu,52,25
Anna / Anne / Ann / Anni,Palamuse,12,10
Anna / Anne / Ann / Anni,Parikkala,1,1
Anna / Anne / Ann / Anni,Peetri,16,11
Anna / Anne / Ann / Anni,Perho,1,1
Anna / Anne / Ann / Anni,Perniö,1,1
Anna / Anne / Ann / Anni,Pieksämäki,1,1
Anna / Anne / Ann / Anni,Pielisjärvi,2,1
Anna / Anne / Ann / Anni,Piippola,1,1
Anna / Anne / Ann / Anni,Pilistvere,31,10
Anna / Anne / Ann / Anni,Pirkkala,1,1
Anna / Anne / Ann / Anni,Porajärvi,4,1
Anna / Anne / Ann / Anni,Pudasjärvi,1,1
Anna / Anne / Ann / Anni,Puhja,9,5
Anna / Anne / Ann / Anni,Pukkila,1,1
Anna / Anne / Ann / Anni,Puolanka,2,2
Anna / Anne / Ann / Anni,Pyhäjärvi Ul.,1,1
Anna / Anne / Ann / Anni,Pyhäjärvi Vpl.,3,3
Anna / Anne / Ann / Anni,Pälkjärvi,1,1
Anna / Anne / Ann / Anni,Pälkäne,1,1
Anna / Anne / Ann / Anni,Pärnu,5,5
