person_cluster,area_name,mentions,poems
Jesus / Christ,Kuhmo,1,1
Jesus / Christ,Kuhmoinen,8,5
Jesus / Christ,Kuolemajärvi,1,1
Jesus / Christ,Kuopio,4,4
Jesus / Christ,Kuorevesi,3,3
Jesus / Christ,Kupanitsa,6,3
Jesus / Christ,Kurikka,1,1
Jesus / Christ,Kuru,2,1
Jesus / Christ,Kuusalu,20,11
Jesus / Christ,Kuusamo,4,4
Jesus / Christ,Kuusjärvi,1,1
Jesus / Christ,Kylmäkoski,1,1
Jesus / Christ,Kärkölä,1,1
Jesus / Christ,Kõpu,2,2
Jesus / Christ,Laihia,2,2
Jesus / Christ,Laiuse,6,5
Jesus / Christ,Lammi,2,1
Jesus / Christ,Lappajärvi,1,1
Jesus / Christ,Lappee,1,1
Jesus / Christ,Lavansaari,1,1
Jesus / Christ,Lehtimäki,1,1
Jesus / Christ,Lempaala,85,48
Jesus / Christ,Leppävirta,4,3
Jesus / Christ,Lieto,1,1
Jesus / Christ,Liissilä,41,17
Jesus / Christ,Liperi,9,7
Jesus / Christ,Loppi,6,5
Jesus / Christ,Luhanka,2,1
Jesus / Christ,Luopioinen,3,1
Jesus / Christ,Luumäki,4,3
Jesus / Christ,Lüganuse,6,3
Jesus / Christ,Maaninka,3,3
Jesus / Christ,Maaria,1,1
Jesus / Christ,Maarja-Magdaleena,5,1
Jesus / Christ,Markkova,3,1
Jesus / Christ,Marttila,12,8
Jesus / Christ,Metsäpirtti,12,6
Jesus / Christ,Mietoinen,2,1
Jesus / Christ,Moloskovitsa,12,6
Jesus / Christ,Muhos,1,1
Jesus / Christ,Muhu,1,1
Jesus / Christ,Multia,3,2
Jesus / Christ,Muonio,1,1
Jesus / Christ,Muurla,1,1
Jesus / Christ,Muuruvesi,1,1
Jesus / Christ,Mäntyharju,5,3
Jesus / Christ,Narvusi,98,46
Jesus / Christ,Nastola,3,2
Jesus / Christ,Nekkula,3,2
Jesus / Christ,Nilsiä,8,8
Jesus / Christ,Nord-Kapp,3,3
Jesus / Christ,Norra Finnskoga,3,2
Jesus / Christ,Nousiainen,1,1
Jesus / Christ,Nurmes,8,6
Jesus / Christ,Nyskoga,2,2
Jesus / Christ,Orsa,1,1
Jesus / Christ,Oulu,3,3
Jesus / Christ,Padasjoki,1,1
Jesus / Christ,Paistu,1,1
Jesus / Christ,Pajala,5,5
Jesus / Christ,Palamuse,6,3
Jesus / Christ,Paltamo,3,3
Jesus / Christ,Parkano,6,5
Jesus / Christ,Perniö,1,1
Jesus / Christ,Pieksämäki,3,3
Jesus / Christ,Pielavesi,9,6
Jesus / Christ,Pielisjärvi,12,7
Jesus / Christ,Piippola,4,2
Jesus / Christ,Pilistvere,3,3
Jesus / Christ,Pirkkala,2,2
Jesus / Christ,Pistojärvi,3,3
Jesus / Christ,Polvijärvi,1,1
Jesus / Christ,Pomarkku,1,1
Jesus / Christ,Porajärvi,14,13
Jesus / Christ,Pori,3,3
Jesus / Christ,Porsanki,3,3
Jesus / Christ,Pudasjärvi,1,1
Jesus / Christ,Puhja,3,3
Jesus / Christ,Puolanka,3,3
Jesus / Christ,Puumala,3,3
Jesus / Christ,Pyhäjärvi Ol.,2,2
Jesus / Christ,Pyhäjärvi Ul.,2,1
Jesus / Christ,Pyhäjärvi Vpl.,3,3
Jesus / Christ,Pyhämaa,1,1
Jesus / Christ,Pälkjärvi,3,1
Jesus / Christ,Pälkäne,2,2
Jesus / Christ,Pärnu-Jaagupi,7,1
Jesus / Christ,Põltsamaa,5,3
Jesus / Christ,Põlva,1,1
Jesus / Christ,Pöide,1,1
Jesus / Christ,Pühalepa,1,1
Jesus / Christ,Rannu,5,2
Jesus / Christ,Rantasalmi,4,3
Jesus / Christ,Rantsila,4,2
Jesus / Christ,Rautavaara,10,5
Jesus / Christ,Rautjärvi,2,2
Jesus / Christ,Rautu,4,3
Jesus / Christ,Reisjärvi,1,1
Jesus / Christ,Renko,2,2
Jesus / Christ,Repola,12,4
Jesus / Christ,Riipuskala,2,2
Jesus / Christ,Riistavesi,1,1
Jesus / Christ,Risti,2,1
Jesus / Christ,Ristiina,3,2
Jesus / Christ,Ropsu,3,1
Jesus / Christ,Rovaniemi,5,5
Jesus / Christ,Ruskeala,2,2
Jesus / Christ,Räisälä,2,1
Jesus / Christ,Räpina,14,2
Jesus / Christ,Rääkkylä,8,7
Jesus / Christ,Rääpyvä,3,3
Jesus / Christ,Rõngu,14,10
Jesus / Christ,Rõuge,1,1
Jesus / Christ,Saarde,10,5
Jesus / Christ,Saarijärvi,1,1
Jesus / Christ,Sahalahti,3,2
Jesus / Christ,Sakkola,11,6
Jesus / Christ,Salmi,44,18
Jesus / Christ,Sangaste,8,5
Jesus / Christ,Sauvo,4,2
Jesus / Christ,Savitaipale,3,2
Jesus / Christ,Seiskari,1,1
Jesus / Christ,Serepetta,2,2
Jesus / Christ,Setumaa,65,16
Jesus / Christ,Siikainen,1,1
Jesus / Christ,Simo,1,1
Jesus / Christ,Simuna,5,4
Jesus / Christ,Skuoritsa,5,2
Jesus / Christ,Soanlahti,12,8
Jesus / Christ,Sodankylä,9,9
Jesus / Christ,Soikkola,24,15
Jesus / Christ,Somerniemi,2,2
Jesus / Christ,Somero,7,5
Jesus / Christ,Sonkajärvi,2,2
Jesus / Christ,Sortavala,8,5
Jesus / Christ,Sotkamo,4,4
Jesus / Christ,Soutjärvi,3,2
Jesus / Christ,Spankkova,5,3
Jesus / Christ,Suistamo,180,67
Jesus / Christ,Suojärvi,62,15
Jesus / Christ,Suomussalmi,2,2
Jesus / Christ,Suonenjoki,6,3
Jesus / Christ,Suoniemi,2,2
Jesus / Christ,Suure-Jaani,6,4
Jesus / Christ,Sysmä,6,4
Jesus / Christ,Sääksmäki,25,12
Jesus / Christ,Sääminki,1,1
Jesus / Christ,Södra Finnskoga,4,4
Jesus / Christ,Taipalsaari,1,1
Jesus / Christ,Tammela,14,12
Jesus / Christ,Tampere,1,1
Jesus / Christ,Tarvasjoki,1,1
Jesus / Christ,Tarvastu,7,5
Jesus / Christ,Teisko,2,1
Jesus / Christ,Terijoki,1,1
Jesus / Christ,Tervo,1,1
Jesus / Christ,Tervola,1,1
Jesus / Christ,Tohmajärvi,23,14
Jesus / Christ,Toksova,2,2
Jesus / Christ,Tori,17,7
Jesus / Christ,Tottijärvi,1,1
Jesus / Christ,Tulemajärvi,8,7
Jesus / Christ,Tuulos,3,2
Jesus / Christ,Tuupovaara,1,1
Jesus / Christ,Tuutari,4,2
Jesus / Christ,Tyrvää,4,2
Jesus / Christ,Tyrö,13,8
Jesus / Christ,Tytärsaari,1,1
Jesus / Christ,Tõstamaa,1,1
Jesus / Christ,Töysä,2,2
Jesus / Christ,Türi,4,3
Jesus / Christ,Uhtua,4,4
Jesus / Christ,Urjala,1,1
Jesus / Christ,Urvaste,33,7
Jesus / Christ,Uskela,1,1
Jesus / Christ,Uukuniemi,8,3
Jesus / Christ,Uusikaarlepyy,1,1
Jesus / Christ,Uusikaupunki,1,1
Jesus / Christ,Valjala,1,1
Jesus / Christ,Valkjärvi,3,2
Jesus / Christ,Valtimo,2,2
Jesus / Christ,Vanaja,2,1
Jesus / Christ,Varpaisjärvi,7,6
Jesus / Christ,Vastseliina,49,13
Jesus / Christ,Vehmaa,1,1
Jesus / Christ,Venjoki,5,2
Jesus / Christ,Vesilahti,2,1
Jesus / Christ,Vigala,7,5
Jesus / Christ,Vihanti,1,1
Jesus / Christ,Viipuri,1,1
Jesus / Christ,Viljakkala,2,1
Jesus / Christ,Viljandi,12,4
Jesus / Christ,Virrat,2,2
Jesus / Christ,Virtasalmi,2,2
Jesus / Christ,Viru-Nigula,2,1
Jesus / Christ,Vitele,1,1
Jesus / Christ,Vittanki,2,2
Jesus / Christ,Vuokkiniemi,13,9
Jesus / Christ,Vuole,24,16
Jesus / Christ,Vähäkyrö,5,1
Jesus / Christ,Väike-Maarja,7,6
Jesus / Christ,Vändra,1,1
Jesus / Christ,Ylihärmä,1,1
Jesus / Christ,Yläne,3,3
Jesus / Christ,Ypäjä,1,1
Jesus / Christ,Östmark,10,8
John / Jaan / Jussi / Hans,Alajärvi,1,1
John / Jaan / Jussi / Hans,Alavus,4,3
John / Jaan / Jussi / Hans,Ambla,30,20
John / Jaan / Jussi / Hans,Anseküla,4,3
John / Jaan / Jussi / Hans,Asikkala,2,2
John / Jaan / Jussi / Hans,Askainen,1,1
John / Jaan / Jussi / Hans,Audru,18,12
John / Jaan / Jussi / Hans,Emmaste,1,1
John / Jaan / Jussi / Hans,Eurajoki,1,1
John / Jaan / Jussi / Hans,Evijärvi,3,3
John / Jaan / Jussi / Hans,Forssa,2,2
John / Jaan / Jussi / Hans,Hageri,2,2
John / Jaan / Jussi / Hans,Halikko,1,1
John / Jaan / Jussi / Hans,Haljala,41,20
John / Jaan / Jussi / Hans,Halliste,55,27
John / Jaan / Jussi / Hans,Hanila,16,7
John / Jaan / Jussi / Hans,Hargla,5,3
John / Jaan / Jussi / Hans,Harju-Jaani,19,14
John / Jaan / Jussi / Hans,Harju-Madise,1,1
John / Jaan / Jussi / Hans,Harlu,1,1
John / Jaan / Jussi / Hans,Hartola,5,4
John / Jaan / Jussi / Hans,Hattula,13,11
John / Jaan / Jussi / Hans,Hauho,5,4
John / Jaan / Jussi / Hans,Haukivuori,1,1
John / Jaan / Jussi / Hans,Hausjärvi,5,5
John / Jaan / Jussi / Hans,Heinjoki,7,3
John / Jaan / Jussi / Hans,Heinävesi,13,12
John / Jaan / Jussi / Hans,Helme,40,12
John / Jaan / Jussi / Hans,Helsinki,1,1
John / Jaan / Jussi / Hans,Humppila,1,1
John / Jaan / Jussi / Hans,Hyvinkää,1,1
John / Jaan / Jussi / Hans,Hämeenkyrö,2,2
John / Jaan / Jussi / Hans,Hämeenlinna,8,7
John / Jaan / Jussi / Hans,Häädemeeste,12,11
John / Jaan / Jussi / Hans,Iisaku,4,3
John / Jaan / Jussi / Hans,Iisalmi,4,4
John / Jaan / Jussi / Hans,Iitti,2,1
John / Jaan / Jussi / Hans,Ilomantsi,13,9
John / Jaan / Jussi / Hans,Impilahti,1,1
John / Jaan / Jussi / Hans,Isojoki,1,1
John / Jaan / Jussi / Hans,Jaani,2,2
John / Jaan / Jussi / Hans,Jalasjärvi,2,2
John / Jaan / Jussi / Hans,Janakkala,3,3
John / Jaan / Jussi / Hans,Jokioinen,1,1
John / Jaan / Jussi / Hans,Joroinen,5,5
John / Jaan / Jussi / Hans,Joutseno,1,1
John / Jaan / Jussi / Hans,Juuka,1,1
John / Jaan / Jussi / Hans,Juuru,3,3
John / Jaan / Jussi / Hans,Juva,2,2
John / Jaan / Jussi / Hans,Jällivaara,1,1
John / Jaan / Jussi / Hans,Jämsä,3,2
John / Jaan / Jussi / Hans,Järva-Jaani,13,6
John / Jaan / Jussi / Hans,Järva-Madise,16,6
John / Jaan / Jussi / Hans,Jõelähtme,11,9
John / Jaan / Jussi / Hans,Jõhvi,12,10
John / Jaan / Jussi / Hans,Jüri,17,10
John / Jaan / Jussi / Hans,Kaarma,15,2
John / Jaan / Jussi / Hans,Kaavi,4,4
John / Jaan / Jussi / Hans,Kadrina,25,21
John / Jaan / Jussi / Hans,Kalajoki,1,1
John / Jaan / Jussi / Hans,Kambja,2,2
John / Jaan / Jussi / Hans,Kanepi,3,2
John / Jaan / Jussi / Hans,Kangasala,1,1
John / Jaan / Jussi / Hans,Kangaslampi,2,2
John / Jaan / Jussi / Hans,Kangasniemi,6,3
John / Jaan / Jussi / Hans,Kankaanpää,1,1
John / Jaan / Jussi / Hans,Kanneljärvi,2,2
John / Jaan / Jussi / Hans,Kaprio,4,2
John / Jaan / Jussi / Hans,Karinainen,1,1
John / Jaan / Jussi / Hans,Karja,15,3
John / Jaan / Jussi / Hans,Karksi,60,25
John / Jaan / Jussi / Hans,Karstula,1,1
John / Jaan / Jussi / Hans,Karttula,1,1
John / Jaan / Jussi / Hans,Karula,11,9
John / Jaan / Jussi / Hans,Karuna,3,3
John / Jaan / Jussi / Hans,Karunki,1,1
John / Jaan / Jussi / Hans,Karuse,38,17
John / Jaan / Jussi / Hans,Kauhajoki,2,2
John / Jaan / Jussi / Hans,Kauhava,2,2
John / Jaan / Jussi / Hans,Kaukola,2,2
John / Jaan / Jussi / Hans,Kauvatsa,1,1
John / Jaan / Jussi / Hans,Kemi,1,1
John / Jaan / Jussi / Hans,Kerimäki,1,1
John / Jaan / Jussi / Hans,Kesälahti,3,1
John / Jaan / Jussi / Hans,Kihelkonna,10,3
John / Jaan / Jussi / Hans,Kihniö,2,2
John / Jaan / Jussi / Hans,Kiihtelysvaara,2,2
John / Jaan / Jussi / Hans,Kiikka,1,1
John / Jaan / Jussi / Hans,Kiikoinen,1,1
John / Jaan / Jussi / Hans,Kiimaisjärvi,1,1
John / Jaan / Jussi / Hans,Kinnula,1,1
John / Jaan / Jussi / Hans,Kirvu,1,1
John / Jaan / Jussi / Hans,Kitee,8,4
John / Jaan / Jussi / Hans,Kiukainen,2,1
John / Jaan / Jussi / Hans,Kiuruvesi,10,7
John / Jaan / Jussi / Hans,Kivennapa,2,2
John / Jaan / Jussi / Hans,Kivijärvi,3,3
John / Jaan / Jussi / Hans,Kodavere,2,2
John / Jaan / Jussi / Hans,Koeru,68,14
John / Jaan / Jussi / Hans,Kokemäki,2,2
John / Jaan / Jussi / Hans,Kolga-Jaani,72,32
John / Jaan / Jussi / Hans,Kontiolahti,5,4
John / Jaan / Jussi / Hans,Kontokki,1,1
John / Jaan / Jussi / Hans,Koprina,4,2
John / Jaan / Jussi / Hans,Korpilahti,2,1
John / Jaan / Jussi / Hans,Korpiselkä,1,1
John / Jaan / Jussi / Hans,Kose,46,22
John / Jaan / Jussi / Hans,Koski Hl.,4,4
John / Jaan / Jussi / Hans,Koski Tl.,1,1
John / Jaan / Jussi / Hans,Kuhmo,1,1
John / Jaan / Jussi / Hans,Kuhmoinen,2,1
John / Jaan / Jussi / Hans,Kullamaa,7,5
John / Jaan / Jussi / Hans,Kuopio,2,2
John / Jaan / Jussi / Hans,Kupanitsa,1,1
John / Jaan / Jussi / Hans,Kurikka,1,1
John / Jaan / Jussi / Hans,Kurkijoki,1,1
John / Jaan / Jussi / Hans,Kursi,10,7
John / Jaan / Jussi / Hans,Kuusalu,31,16
John / Jaan / Jussi / Hans,Kuusamo,3,1
John / Jaan / Jussi / Hans,Kymi,1,1
John / Jaan / Jussi / Hans,Käina,3,3
John / Jaan / Jussi / Hans,Kärkölä,2,2
John / Jaan / Jussi / Hans,Kärla,1,1
John / Jaan / Jussi / Hans,Kärsämäki,3,2
John / Jaan / Jussi / Hans,Kõpu,12,6
John / Jaan / Jussi / Hans,Lahti,4,2
John / Jaan / Jussi / Hans,Laihia,3,3
John / Jaan / Jussi / Hans,Laitila,2,2
John / Jaan / Jussi / Hans,Laiuse,18,12
John / Jaan / Jussi / Hans,Lapinlahti,1,1
John / Jaan / Jussi / Hans,Lappajärvi,1,1
John / Jaan / Jussi / Hans,Lappee,1,1
John / Jaan / Jussi / Hans,Lapua,7,6
John / Jaan / Jussi / Hans,Lapväärtti,1,1
John / Jaan / Jussi / Hans,Lehtimäki,1,1
John / Jaan / Jussi / Hans,Lempaala,5,4
John / Jaan / Jussi / Hans,Leppävirta,8,7
John / Jaan / Jussi / Hans,Lihula,6,1
John / Jaan / Jussi / Hans,Liissilä,5,2
John / Jaan / Jussi / Hans,Liperi,1,1
John / Jaan / Jussi / Hans,Lohja,2,1
John / Jaan / Jussi / Hans,Loppi,1,1
John / Jaan / Jussi / Hans,Lumivaara,1,1
John / Jaan / Jussi / Hans,Luopioinen,4,4
John / Jaan / Jussi / Hans,Luvia,1,1
John / Jaan / Jussi / Hans,Längelmäki,1,1
John / Jaan / Jussi / Hans,Lääne-Nigula,4,2
John / Jaan / Jussi / Hans,Lüganuse,8,6
John / Jaan / Jussi / Hans,Maaninka,5,3
John / Jaan / Jussi / Hans,Maarja-Magdaleena,7,7
John / Jaan / Jussi / Hans,Markkova,1,1
John / Jaan / Jussi / Hans,Martna,11,3
John / Jaan / Jussi / Hans,Marttila,2,1
John / Jaan / Jussi / Hans,Masku,2,1
John / Jaan / Jussi / Hans,Merikarvia,1,1
John / Jaan / Jussi / Hans,Merimasku,1,1
John / Jaan / Jussi / Hans,Messukylä,1,1
John / Jaan / Jussi / Hans,Metsäpirtti,1,1
John / Jaan / Jussi / Hans,Mietoinen,1,1
John / Jaan / Jussi / Hans,Mihkli,16,8
John / Jaan / Jussi / Hans,Moloskovitsa,1,1
John / Jaan / Jussi / Hans,Mouhijärvi,3,3
John / Jaan / Jussi / Hans,Muhos,1,1
John / Jaan / Jussi / Hans,Muhu,55,20
John / Jaan / Jussi / Hans,Muolaa,5,4
John / Jaan / Jussi / Hans,Mustjala,11,8
John / Jaan / Jussi / Hans,Muurla,21,13
John / Jaan / Jussi / Hans,Muuruvesi,3,1
John / Jaan / Jussi / Hans,Mynämäki,9,5
John / Jaan / Jussi / Hans,Myrskylä,1,1
John / Jaan / Jussi / Hans,Mäntsälä,4,4
John / Jaan / Jussi / Hans,Mäntyharju,3,2
John / Jaan / Jussi / Hans,Märjamaa,27,12
John / Jaan / Jussi / Hans,Nakkila,2,2
John / Jaan / Jussi / Hans,Narvusi,11,7
John / Jaan / Jussi / Hans,Nastola,1,1
John / Jaan / Jussi / Hans,Nilsiä,4,4
John / Jaan / Jussi / Hans,Noormarkku,1,1
John / Jaan / Jussi / Hans,Nousiainen,1,1
John / Jaan / Jussi / Hans,Nurmes,11,10
John / Jaan / Jussi / Hans,Nurmijärvi,1,1
John / Jaan / Jussi / Hans,Nõo,11,4
John / Jaan / Jussi / Hans,Orimattila,2,2
John / Jaan / Jussi / Hans,Otepää,10,7
John / Jaan / Jussi / Hans,Paattinen,1,1
John / Jaan / Jussi / Hans,Paavola,2,1
John / Jaan / Jussi / Hans,Paide,16,4
John / Jaan / Jussi / Hans,Paimio,3,3
John / Jaan / Jussi / Hans,Paistu,89,18
John / Jaan / Jussi / Hans,Palamuse,12,6
John / Jaan / Jussi / Hans,Paltamo,2,2
John / Jaan / Jussi / Hans,Peetri,64,14
John / Jaan / Jussi / Hans,Perho,1,1
John / Jaan / Jussi / Hans,Perniö,1,1
John / Jaan / Jussi / Hans,Pertteli,3,3
John / Jaan / Jussi / Hans,Pielavesi,6,4
John / Jaan / Jussi / Hans,Pielisjärvi,4,4
John / Jaan / Jussi / Hans,Pihtipudas,2,1
John / Jaan / Jussi / Hans,Pilistvere,16,12
John / Jaan / Jussi / Hans,Pirkkala,1,1
John / Jaan / Jussi / Hans,Polvijärvi,1,1
John / Jaan / Jussi / Hans,Pomarkku,2,2
John / Jaan / Jussi / Hans,Pori,2,2
John / Jaan / Jussi / Hans,Pudasjärvi,5,3
John / Jaan / Jussi / Hans,Puhja,13,7
John / Jaan / Jussi / Hans,Punkalaidun,4,4
John / Jaan / Jussi / Hans,Pusula,1,1
John / Jaan / Jussi / Hans,Pyhäjärvi Ol.,5,4
John / Jaan / Jussi / Hans,Pyhäjärvi Ul.,4,3
John / Jaan / Jussi / Hans,Pyhäselkä,2,2
John / Jaan / Jussi / Hans,Pälkjärvi,1,1
John / Jaan / Jussi / Hans,Pälkäne,2,2
John / Jaan / Jussi / Hans,Pärnu,26,13
John / Jaan / Jussi / Hans,Pärnu-Jaagupi,4,4
John / Jaan / Jussi / Hans,Põltsamaa,42,14
John / Jaan / Jussi / Hans,Põlva,6,4
John / Jaan / Jussi / Hans,Pöide,9,6
John / Jaan / Jussi / Hans,Pöytyä,7,4
John / Jaan / Jussi / Hans,Pühalepa,5,3
John / Jaan / Jussi / Hans,Rakvere,3,2
John / Jaan / Jussi / Hans,Rannu,9,5
John / Jaan / Jussi / Hans,Ranua,6,6
John / Jaan / Jussi / Hans,Rapla,14,5
John / Jaan / Jussi / Hans,Rauma,1,1
John / Jaan / Jussi / Hans,Rautalampi,1,1
John / Jaan / Jussi / Hans,Rautavaara,1,1
John / Jaan / Jussi / Hans,Rautjärvi,2,1
John / Jaan / Jussi / Hans,Rautu,3,3
John / Jaan / Jussi / Hans,Reigi,3,2
John / Jaan / Jussi / Hans,Renko,6,4
John / Jaan / Jussi / Hans,Repola,2,1
John / Jaan / Jussi / Hans,Ridala,3,2
John / Jaan / Jussi / Hans,Risti,25,11
John / Jaan / Jussi / Hans,Rovaniemi,1,1
John / Jaan / Jussi / Hans,Ruokolahti,4,3
John / Jaan / Jussi / Hans,Ruotsin Ylitornio,2,1
John / Jaan / Jussi / Hans,Ruovesi,7,6
John / Jaan / Jussi / Hans,Rusko,1,1
John / Jaan / Jussi / Hans,Räisälä,2,2
John / Jaan / Jussi / Hans,Räpina,15,4
John / Jaan / Jussi / Hans,Rääkkylä,3,3
John / Jaan / Jussi / Hans,Rääpyvä,1,1
John / Jaan / Jussi / Hans,Rõngu,9,8
John / Jaan / Jussi / Hans,Rõuge,19,9
John / Jaan / Jussi / Hans,Saarde,14,4
John / Jaan / Jussi / Hans,Saarijärvi,13,13
John / Jaan / Jussi / Hans,Sakkola,7,4
John / Jaan / Jussi / Hans,Sangaste,13,10
John / Jaan / Jussi / Hans,Savonlinna,5,5
John / Jaan / Jussi / Hans,Serepetta,3,1
John / Jaan / Jussi / Hans,Setumaa,17,11
John / Jaan / Jussi / Hans,Siikajoki,1,1
John / Jaan / Jussi / Hans,Siilinjärvi,1,1
John / Jaan / Jussi / Hans,Simo,1,1
John / Jaan / Jussi / Hans,Simuna,15,8
John / Jaan / Jussi / Hans,Soanlahti,1,1
John / Jaan / Jussi / Hans,Soikkola,3,3
John / Jaan / Jussi / Hans,Somerniemi,1,1
John / Jaan / Jussi / Hans,Somero,5,5
John / Jaan / Jussi / Hans,Sonkajärvi,4,4
John / Jaan / Jussi / Hans,Sortavala,3,2
John / Jaan / Jussi / Hans,Sotkamo,3,3
John / Jaan / Jussi / Hans,Suistamo,6,5
John / Jaan / Jussi / Hans,Sulkava,1,1
John / Jaan / Jussi / Hans,Suojärvi,2,1
John / Jaan / Jussi / Hans,Suomusjärvi,3,2
John / Jaan / Jussi / Hans,Suomussalmi,1,1
John / Jaan / Jussi / Hans,Suonenjoki,5,3
John / Jaan / Jussi / Hans,Suure-Jaani,35,23
John / Jaan / Jussi / Hans,Sysmä,4,4
John / Jaan / Jussi / Hans,Sääksmäki,1,1
John / Jaan / Jussi / Hans,Taivassalo,1,1
John / Jaan / Jussi / Hans,Tammela,10,5
John / Jaan / Jussi / Hans,Tampere,3,3
John / Jaan / Jussi / Hans,Tartu-Maarja,16,6
John / Jaan / Jussi / Hans,Tarvasjoki,1,1
John / Jaan / Jussi / Hans,Tarvastu,37,17
John / Jaan / Jussi / Hans,Terijoki,1,1
John / Jaan / Jussi / Hans,Tervo,1,1
John / Jaan / Jussi / Hans,Tervola,2,1
John / Jaan / Jussi / Hans,Teuva,4,4
John / Jaan / Jussi / Hans,Tohmajärvi,1,1
John / Jaan / Jussi / Hans,Tori,20,12
John / Jaan / Jussi / Hans,Torma,11,6
John / Jaan / Jussi / Hans,Turku,3,2
John / Jaan / Jussi / Hans,Turtola,4,4
John / Jaan / Jussi / Hans,Tuulos,5,5
John / Jaan / Jussi / Hans,Tuusniemi,5,5
John / Jaan / Jussi / Hans,Tuusula,3,2
John / Jaan / Jussi / Hans,Tyrväntö,1,1
John / Jaan / Jussi / Hans,Tyrvää,3,3
John / Jaan / Jussi / Hans,Tyrö,1,1
John / Jaan / Jussi / Hans,Tytärsaari,1,1
John / Jaan / Jussi / Hans,Tõstamaa,5,5
John / Jaan / Jussi / Hans,Töysä,3,2
John / Jaan / Jussi / Hans,Türi,13,8
John / Jaan / Jussi / Hans,Uhtua,2,2
John / Jaan / Jussi / Hans,Ulvila,1,1
John / Jaan / Jussi / Hans,Urjala,4,4
John / Jaan / Jussi / Hans,Urvaste,8,7
John / Jaan / Jussi / Hans,Uskela,18,15
John / Jaan / Jussi / Hans,Uusikaupunki,2,2
John / Jaan / Jussi / Hans,Vaivara,7,5
John / Jaan / Jussi / Hans,Valjala,1,1
John / Jaan / Jussi / Hans,Vanaja,1,1
John / Jaan / Jussi / Hans,Varbla,6,3
John / Jaan / Jussi / Hans,Varkaus,5,3
John / Jaan / Jussi / Hans,Vastseliina,2,2
John / Jaan / Jussi / Hans,Vehkalahti,1,1
John / Jaan / Jussi / Hans,Vehmaa,1,1
John / Jaan / Jussi / Hans,Venjoki,4,1
John / Jaan / Jussi / Hans,Vesanto,1,1
John / Jaan / Jussi / Hans,Vesilahti,2,2
John / Jaan / Jussi / Hans,Veteli,1,1
John / Jaan / Jussi / Hans,Vigala,22,14
John / Jaan / Jussi / Hans,Vihti,2,1
John / Jaan / Jussi / Hans,Viipuri,1,1
John / Jaan / Jussi / Hans,Viljandi,53,33
John / Jaan / Jussi / Hans,Virtasalmi,2,2
John / Jaan / Jussi / Hans,Viru-Jaagupi,4,3
John / Jaan / Jussi / Hans,Viru-Nigula,11,9
John / Jaan / Jussi / Hans,Vuokkiniemi,12,3
John / Jaan / Jussi / Hans,Vuole,11,6
John / Jaan / Jussi / Hans,Väike-Maarja,22,13
John / Jaan / Jussi / Hans,Vändra,24,11
John / Jaan / Jussi / Hans,Võnnu,21,10
John / Jaan / Jussi / Hans,Ylihärmä,1,1
John / Jaan / Jussi / Hans,Ylikiiminki,1,1
John / Jaan / Jussi / Hans,Ylistaro,2,2
John / Jaan / Jussi / Hans,Yläne,4,2
John / Jaan / Jussi / Hans,Ypäjä,1,1
John / Jaan / Jussi / Hans,Äksi,10,7
John / Jaan / Jussi / Hans,Östmark,1,1
Martin / Mart / Märt,Ambla,46,12
Martin / Mart / Märt,Anseküla,3,2
Martin / Mart / Märt,Audru,29,5
Martin / Mart / Märt,Hageri,13,3
Martin / Mart / Märt,Halikko,1,1
Martin / Mart / Märt,Haljala,67,10
Martin / Mart / Märt,Halliste,250,18
Martin / Mart / Märt,Hanila,8,2
Martin / Mart / Märt,Hargla,3,1
Martin / Mart / Märt,Harju-Jaani,16,5
Martin / Mart / Märt,Harju-Madise,3,2
Martin / Mart / Märt,Haukipudas,1,1
Martin / Mart / Märt,Helme,299,10
Martin / Mart / Märt,Hietamäki,1,1
Martin / Mart / Märt,Hiitola,1,1
Martin / Mart / Märt,Häädemeeste,36,6
Martin / Mart / Märt,Iisaku,10,3
Martin / Mart / Märt,Iisalmi,2,1
Martin / Mart / Märt,Jaani,1,1
Martin / Mart / Märt,Juuru,4,2
Martin / Mart / Märt,Järva-Jaani,6,4
Martin / Mart / Märt,Järva-Madise,21,7
Martin / Mart / Märt,Jõelähtme,10,4
Martin / Mart / Märt,Jõhvi,24,8
Martin / Mart / Märt,Jüri,1,1
Martin / Mart / Märt,Kaarma,9,3
Martin / Mart / Märt,Kadrina,5,3
Martin / Mart / Märt,Kambja,12,2
Martin / Mart / Märt,Kanepi,6,4
Martin / Mart / Märt,Kaprio,1,1
Martin / Mart / Märt,Karksi,78,12
Martin / Mart / Märt,Karuse,46,7
Martin / Mart / Märt,Kattila,1,1
Martin / Mart / Märt,Keila,10,3
Martin / Mart / Märt,Kestilä,1,1
Martin / Mart / Märt,Kiestinki,1,1
Martin / Mart / Märt,Kirbla,1,1
Martin / Mart / Märt,Kiuruvesi,2,2
Martin / Mart / Märt,Kivennapa,1,1
Martin / Mart / Märt,Kivijärvi,2,2
Martin / Mart / Märt,Kodavere,34,6
Martin / Mart / Märt,Koeru,13,5
Martin / Mart / Märt,Koivisto,1,1
Martin / Mart / Märt,Kolga-Jaani,14,5
Martin / Mart / Märt,Kontokki,1,1
Martin / Mart / Märt,Kose,12,6
Martin / Mart / Märt,Kuhmo,1,1
Martin / Mart / Märt,Kullamaa,5,4
