person_cluster,variant,broad_region,mentions,poems,variant_total,group_region_total,share_of_variant_in_region,share_within_group_region
John / Jaan / Jussi / Hans,Juhan,Other/unclear,2,2,86,82,0.023255813953488372,0.024390243902439025
John / Jaan / Jussi / Hans,Juhan,South Estonia/Seto,10,9,86,98,0.11627906976744186,0.10204081632653061
John / Jaan / Jussi / Hans,Juhani/Juhana/Juho,East Karelia/Veps/Tver,3,2,48,36,0.0625,0.08333333333333333
John / Jaan / Jussi / Hans,Juhani/Juhana/Juho,Estonia core/west,4,2,48,1721,0.08333333333333333,0.002324230098779779
John / Jaan / Jussi / Hans,Juhani/Juhana/Juho,Finland/Savo-Karelia,31,20,48,630,0.6458333333333334,0.049206349206349205
John / Jaan / Jussi / Hans,Juhani/Juhana/Juho,Ingria,10,8,48,57,0.20833333333333334,0.17543859649122806
John / Jaan / Jussi / Hans,Jussi/Juss,East Karelia/Veps/Tver,26,15,638,36,0.04075235109717868,0.7222222222222222
John / Jaan / Jussi / Hans,Jussi/Juss,Estonia core/west,22,18,638,1721,0.034482758620689655,0.012783265543288786
John / Jaan / Jussi / Hans,Jussi/Juss,Finland/Savo-Karelia,565,476,638,630,0.8855799373040752,0.8968253968253969
John / Jaan / Jussi / Hans,Jussi/Juss,Ingria,21,11,638,57,0.032915360501567396,0.3684210526315789
John / Jaan / Jussi / Hans,Jussi/Juss,Other/unclear,3,3,638,82,0.004702194357366771,0.036585365853658534
John / Jaan / Jussi / Hans,Jussi/Juss,South Estonia/Seto,1,1,638,98,0.001567398119122257,0.01020408163265306
John / Jaan / Jussi / Hans,Other John-family,Estonia core/west,19,12,34,1721,0.5588235294117647,0.011040092969203951
John / Jaan / Jussi / Hans,Other John-family,Finland/Savo-Karelia,10,8,34,630,0.29411764705882354,0.015873015873015872
John / Jaan / Jussi / Hans,Other John-family,Ingria,4,2,34,57,0.11764705882352941,0.07017543859649122
John / Jaan / Jussi / Hans,Other John-family,Other/unclear,1,1,34,82,0.029411764705882353,0.012195121951219513
Martin / Mart / Märt,Mard/Mardi,Estonia core/west,664,131,685,3257,0.9693430656934306,0.2038685907276635
Martin / Mart / Märt,Mard/Mardi,Other/unclear,16,3,685,60,0.02335766423357664,0.26666666666666666
Martin / Mart / Märt,Mard/Mardi,South Estonia/Seto,5,3,685,128,0.0072992700729927005,0.0390625
Martin / Mart / Märt,Mart/Martin,East Karelia/Veps/Tver,1,1,1093,2,0.0009149130832570906,0.5
Martin / Mart / Märt,Mart/Martin,Estonia core/west,1070,224,1093,3257,0.9789569990850869,0.328523180841265
Martin / Mart / Märt,Mart/Martin,Finland/Savo-Karelia,3,3,1093,43,0.0027447392497712718,0.06976744186046512
Martin / Mart / Märt,Mart/Martin,Other/unclear,19,8,1093,60,0.01738334858188472,0.31666666666666665
Martin / Mart / Märt,Martti,East Karelia/Veps/Tver,1,1,53,2,0.018867924528301886,0.5
Martin / Mart / Märt,Martti,Finland/Savo-Karelia,39,35,53,43,0.7358490566037735,0.9069767441860465
Martin / Mart / Märt,Martti,Ingria,13,10,53,13,0.24528301886792453,1.0
Martin / Mart / Märt,Märt,Estonia core/west,1303,135,1429,3257,0.9118264520643807,0.4000614062020264
Martin / Mart / Märt,Märt,Other/unclear,11,5,1429,60,0.007697690692792162,0.18333333333333332
Martin / Mart / Märt,Märt,South Estonia/Seto,115,21,1429,128,0.08047585724282715,0.8984375
Martin / Mart / Märt,Märti,Estonia core/west,206,9,224,3257,0.9196428571428571,0.06324838808719681
Martin / Mart / Märt,Märti,Other/unclear,14,1,224,60,0.0625,0.23333333333333334
Martin / Mart / Märt,Märti,South Estonia/Seto,4,1,224,128,0.017857142857142856,0.03125
Martin / Mart / Märt,Other Martin-family,Estonia core/west,14,1,19,3257,0.7368421052631579,0.004298434141848327
Martin / Mart / Märt,Other Martin-family,Finland/Savo-Karelia,1,1,19,43,0.05263157894736842,0.023255813953488372
Martin / Mart / Märt,Other Martin-family,South Estonia/Seto,4,1,19,128,0.21052631578947367,0.03125
Mary / Maria / Maarja / Mari,Maari,Estonia core/west,22,8,27,2321,0.8148148148148148,0.009478672985781991
Mary / Maria / Maarja / Mari,Maari,Finland/Savo-Karelia,2,2,27,1031,0.07407407407407407,0.0019398642095053346
Mary / Maria / Maarja / Mari,Maari,Ingria,3,1,27,709,0.1111111111111111,0.004231311706629055
Mary / Maria / Maarja / Mari,Maaria,East Karelia/Veps/Tver,102,82,469,372,0.21748400852878466,0.27419354838709675
Mary / Maria / Maarja / Mari,Maaria,Estonia core/west,23,13,469,2321,0.04904051172707889,0.00990952175786299
Mary / Maria / Maarja / Mari,Maaria,Finland/Savo-Karelia,203,154,469,1031,0.43283582089552236,0.19689621726479145
Mary / Maria / Maarja / Mari,Maaria,Ingria,137,89,469,709,0.2921108742004264,0.19322990126939352
Mary / Maria / Maarja / Mari,Maaria,Other/unclear,4,4,469,87,0.008528784648187633,0.04597701149425287
Mary / Maria / Maarja / Mari,Maarja,Estonia core/west,355,218,512,2321,0.693359375,0.15295131408875484
Mary / Maria / Maarja / Mari,Maarja,Finland/Savo-Karelia,7,4,512,1031,0.013671875,0.006789524733268671
Mary / Maria / Maarja / Mari,Maarja,Ingria,5,5,512,709,0.009765625,0.007052186177715092
Mary / Maria / Maarja / Mari,Maarja,Other/unclear,6,6,512,87,0.01171875,0.06896551724137931
Mary / Maria / Maarja / Mari,Maarja,South Estonia/Seto,139,59,512,543,0.271484375,0.2559852670349908
Mary / Maria / Maarja / Mari,Maija/Maie,East Karelia/Veps/Tver,28,25,698,372,0.04011461318051576,0.07526881720430108
Mary / Maria / Maarja / Mari,Maija/Maie,Estonia core/west,4,3,698,2321,0.0057306590257879654,0.0017233950883239983
Mary / Maria / Maarja / Mari,Maija/Maie,Finland/Savo-Karelia,371,327,698,1031,0.5315186246418339,0.35984481086323955
Mary / Maria / Maarja / Mari,Maija/Maie,Ingria,295,84,698,709,0.42263610315186245,0.41607898448519043
Mary / Maria / Maarja / Mari,Mari,East Karelia/Veps/Tver,29,19,2418,372,0.011993382961124897,0.07795698924731183
Mary / Maria / Maarja / Mari,Mari,Estonia core/west,1774,1059,2418,2321,0.7336641852770885,0.7643257216716932
Mary / Maria / Maarja / Mari,Mari,Finland/Savo-Karelia,71,32,2418,1031,0.029363110008271298,0.06886517943743937
Mary / Maria / Maarja / Mari,Mari,Ingria,123,66,2418,709,0.05086848635235732,0.17348377997179126
Mary / Maria / Maarja / Mari,Mari,Other/unclear,73,47,2418,87,0.030190239867659223,0.8390804597701149
Mary / Maria / Maarja / Mari,Mari,South Estonia/Seto,348,211,2418,543,0.14392059553349876,0.6408839779005525
Mary / Maria / Maarja / Mari,Maria,East Karelia/Veps/Tver,209,165,805,372,0.2596273291925466,0.5618279569892473
Mary / Maria / Maarja / Mari,Maria,Estonia core/west,98,71,805,2321,0.12173913043478261,0.04222317966393796
