person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
God / Jumala / Jumal,religious_title_or_deity,medium,10466,5969,37,172,470,405,herra (2677); Jumala (1923); luoja (1196); jumal (847); jumala (717); härra (677); Jumal (640); Herra (472); Luoja (327); looja (249); isand (98); Looja (68); Issand (51); Luojan (47); jumalainen (43),herra (2401); Jumala (1508); luoja (1064); jumala (832); jumal (738); härra (549); Jumal (424); Herra (408); Luoja (270); looja (239); jummal (145); herrä (86); härrä (84); herran (79); isand (76); jumalan (71); Jummal (70); Looja (70),Jumala (1323); herra (1213); Jumalan (752); härra (618); herran (585); Jumal (560); jumal (442); Luoja (428); jumala (342); luojan (330); Herra (322); luoja (315); Herran (296); herrat (226); looja (223); Luojan (180); jumalan (172); Looja (100),God (2538); lord (1649); God's (979); lord's (587); creator (551); Creator (514); Lord (487); Lord's (371); creator's (299); lords (250); Creator's (206); god (200),Laatokan Karjala (Raja-Karjala) (1195); Länsi-Inkeri (1115); Pohjois-Karjala (837); Keski-Inkeri (737); Itä- ja Pohjois-Inkeri (554); Viljandimaa (506); Virumaa (490); Etelä-Savo (441); Pärnumaa (425); Tartumaa (373),991,5619; 5645; 5670; 5789; 5796; 5803; 5804; 5897; 6224; 6239,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
Mary / Maria / Maarja / Mari,biblical_religious,medium,5063,3142,35,99,330,326,Mari (1256); mari (1125); Maria (772); Maija (582); Maarja (502); Maaria (441); maija (98); Maari (27); Marja (17); Marian (15); marja (13); marjake (13); maaria (13); marjuke (12); marjakene (11),Mari (1082); mari (842); Maaria (485); Maija (411); Maria (381); Maarja (305); marja (170); maija (121); Maie (81); Maari (79); maarja (66); maria (39); Maije (35); maaria (33); mara (32); Moaria (29); maari (24); Maarija (22),Mari (970); marja (555); Maria (388); Maaria (381); Maarja (369); Maija (330); marjad (142); Marian (116); mari (111); marju (78); Maie (70); Maarian (65); marjakene (61); Maijan (56); Maari (55); Maijaa (49); Marit (42); Maril (39),Mary (1413); Mari (695); berry (612); Maija (373); Mary's (334); berries (230); Maria (98); little berry (92); Maija's (80); Maie (73); to Mary (55); berry's (48),Viljandimaa (474); Virumaa (456); Länsi-Inkeri (455); Pärnumaa (374); Tartumaa (355); Harjumaa (294); Setumaa (293); Laatokan Karjala (Raja-Karjala) (248); Võrumaa (246); Läänemaa (172),105,5792; 7771; 9398; 9615; 9623; 10846; 12729; 13013; 13253; 14796,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
Martin / Mart / Märt,given_name_family,medium,3503,532,26,47,51,69,Märt (903); Mart (541); märt (453); mart (452); mard (389); Mard (195); Märti (138); marti (84); märti (81); märd (57); Martti (53); Mardi (22); mardi (16); karu (14); mardid (13),Mart (531); Märti (520); mart (439); Märt (372); märti (365); marti (323); mard (295); märt (136); Mard (112); Mardi (67); märdi (61); Marti (56); märd (44); Martti (34); mardi (29); mardid (19); Martin (13); Märdi (12),Märti (718); Mart (357); märti (346); marti (338); Mardi (304); mardi (253); mart (201); mardid (188); märdi (150); Märt (127); Marti (95); mardile (54); Mardil (38); mardil (31); Martin (30); Märdi (29); märt (25); Mardid (23),Martin (742); Märti (347); (refrain) (292); Mart (281); Martin's (242); Märt (232); Märt's (223); Mardi's (122); Marti (118); Mart's (114); marti (57); Martins (52),Viljandimaa (1007); Pärnumaa (844); Tartumaa (605); Virumaa (258); Läänemaa (258); Harjumaa (131); Järvamaa (125); Võrumaa (117); Saaremaa (29); välismaa (25),83,89316; 90103; 94609; 108339; 110390; 113138; 113166; 113169; 114837; 123630,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,2624,1448,33,61,116,158,Jaan (868); Jussi (618); Hans (454); Ants (239); jaan (145); Juhan (85); Iivana (26); Johannes (22); Juhani (17); Juss (14); Juhana (13); jään (10); jaanike (8); hans (8); jaanikene (7),Jaan (652); Jussi (608); Hans (400); Ants (231); Juhan (78); jaan (78); jaanike (63); Jaanike (37); jaanikene (33); Jaanikene (33); Jaani (29); Jaanik (25); jaani (23); Iivana (22); hans (20); Hants (18); Juhani (12); jaen (11),Jussi (534); Jaan (332); Jaani (281); Hans (263); Ants (156); Hansu (105); jaanike (82); Jussin (70); Juhan (65); Antsu (53); Jaanike (45); Jaanikene (40); jaanikene (38); Hansule (35); Jaaniga (35); Jaanil (24); jaani (24); jaaniku (24),Jussi (528); Hans (282); Jaan (241); Jaan's (159); Ants (158); John (151); John's (120); little Jaan (87); Jussi's (73); Hans's (68); Juhan (60); little John (53),Viljandimaa (402); Pärnumaa (242); Järvamaa (227); Läänemaa (194); Tartumaa (185); Harjumaa (181); Virumaa (165); Saaremaa (125); Häme (117); Varsinais-Suomi (95),106,92750; 94058; 94142; 94390; 95110; 96307; 105865; 107345; 108704; 108738,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
Anna / Anne / Ann / Anni,given_name_family,medium,2263,1260,31,63,147,176,Anne (708); Anni (511); Ann (443); anne (332); Anna (68); Anu (37); anni (22); ann (11); Annikki (10); Änni (7); Annin (7); Annolle (7); Annel (6); anu (6); Annike (5),Anne (639); Anni (472); Ann (398); anne (243); anni (62); Anna (56); Annekene (33); Anu (31); ann (20); annekene (19); and (17); Annin (15); anneke (12); anu (11); anned (9); Annel (8); Annõ (8); Annikki (8),Anne (588); Anni (380); Ann (372); Annin (81); andeid (63); Annekene (49); Annel (44); annid (42); Anna (39); ande (35); Annele (31); Anu (30); anne (27); annet (27); Anneke (22); Anned (22); Annille (21); anni (19),Anne (535); Ann (425); Anni (370); gifts (150); gift (68); little Anne (54); Anni's (50); Anna (46); Ann's (40); to Anne (34); Anne's (33); Anu (31),Viljandimaa (350); Virumaa (249); Tartumaa (210); Pärnumaa (191); Läänemaa (134); Harjumaa (123); Järvamaa (121); Saaremaa (94); Võrumaa (81); Laatokan Karjala (Raja-Karjala) (81),85,16367; 30887; 31235; 31248; 33439; 46392; 90984; 91590; 121619; 124101,Same name family/diminutive set; individual identity depends on poem context.
Jesus / Christ,biblical_religious,high,2235,1298,34,29,156,81,Jeesus (1712); Jesus (264); Kristus (205); Jeesuksen (16); Jeesukene (4); Jeesuse (4); hristos (3); Jeesusesse (2); Jeesu (2); kristillinen (2); Kristian (2); Iesus (1); Jeesu_kene (1); Eesus (1); jeesus (1),Jeesus (968); Jesus (327); Jiesus (155); Kristus (136); Iesus (58); jeesus (40); Kiesus (39); Jeesu (38); jiesus (29); Jessus (25); Iessus (21); Jiessus (19); Ristus (18); jeesu (14); eesus (12); jessu (11); Jiesuksen (11); jesus (11),Jeesus (1024); Jeesuksen (398); Jesus (227); Kristus (121); Jesuksen (61); Jeesuse (41); Kristuksen (39); Jeesu (34); Jeesukene (30); Jeesukselle (23); Jeesukselta (17); Jeesust (14); Jeesusele (13); Jeesusta (11); Ristus (11); Jiesus (10); Iesus (9); Jesusta (9),Jesus (1368); Jesus's (467); Christ (153); Christ's (54); to Jesus (42); little Jesus (33); Jesus' (33); from Jesus (22); of Jesus (12); my Jesus (6); at Jesus (3); dear Jesus (3),Laatokan Karjala (Raja-Karjala) (389); Pohjois-Karjala (226); Häme (158); Länsi-Inkeri (130); Keski-Inkeri (126); Itä- ja Pohjois-Inkeri (118); Võrumaa (103); Etelä-Savo (96); Pohjois-Savo (72); Setumaa (65),92,10976; 11338; 11471; 11517; 11521; 15941; 15976; 16081; 16082; 16132,Jeesus/Jesus/Kristus/Christ are treated as the same religious figure.
Ukko,mythic_or_religious_deity,medium,2207,1642,25,16,84,92,ukko (1793); Ukko (389); ukkonen (7); (as above) (3); ukon (2); Ukkonen (2); Uku (1); ukko (proto-Finnic *ukko 'old man') (1); Ukon (1); ukki (1); ukkojen (1); ukkojalla (1); ukot (1); uksi (1); ukottaa (1),ukko (1682); Ukko (349); ukon (17); uko (12); ukki (12); uukko (12); ukkonen (8); äijä (8); ukot (5); ukkas (4); ukku (3); okka (3); ukko+ni (3); ukko (vocative) (2); ukkoa (2); utti (2); ukkolo (2); ukkoi (2),ukko (1219); Ukko (401); ukon (189); ukot (100); Ukon (26); ukkoa (19); ukkojen (17); ukolle (13); ukkoja (12); ukolta (12); ukkoilta (11); ukkas (10); ukosta (10); ukoilta (10); ukkonen (9); ukkis (9); uukon (8); ukolla (7),old man (1263); Ukko (175); old man's (108); Ukko's (89); men (68); Old Man (50); old men (44); old-man (33); old man/god (31); man (26); from old men (21); husband (16),Laatokan Karjala (Raja-Karjala) (348); Pohjois-Karjala (288); Etelä-Savo (267); Etelä-Karjala (234); Länsi-Inkeri (130); Pohjois-Savo (122); Keski-Inkeri (104); Viena (100); Peräpohjola (97); Itä- ja Pohjois-Inkeri (95),17,5661; 6209; 25687; 28851; 29895; 30589; 30773; 32301; 37090; 37425,May be a mythic sky deity or an appellative 'old man'; context needed.
Catherine / Kadri / Katri,given_name_family_or_saint,medium,2169,638,34,45,99,127,Kadri (893); Katri (372); Kaisa (219); kadri (165); Kati (99); katri (88); kadrina (70); kadrik (47); Katariina (37); kadrike (29); kaisa (27); Katriina (17); Kadrina (14); kadr (12); Kadril (9),Kadri (809); Katri (344); kadri (210); Kaisa (194); katri (111); Kati (91); kadrina (70); kadrike (47); kaisa (31); kadrikene (23); Katrina (21); Kadrina (14); kadr (12); Katriina (11); Katariina (10); Kaie (10); kati (10); Triinu (8),Kadri (696); Katri (321); Kaisa (150); katri (109); kadri (99); Kati (80); Kadril (76); kadrina (70); kadrid (59); Kadrike (52); Kadrid (43); Kaisan (39); kadril (33); Kadrile (24); Katrina (21); Katrin (19); kadrikesed (14); Katriina (14),Kadri (730); Katri (313); Kaisa (168); (refrain) (130); Kati (81); Kadris (81); Kadri's (65); on Kadri (65); Kadrina (55); Kadrike (49); Kaisa's (45); Catherine (30),Viljandimaa (444); Pärnumaa (268); Võrumaa (207); Harjumaa (129); Virumaa (123); Läänemaa (115); Keski-Inkeri (112); Tartumaa (108); Järvamaa (106); Länsi-Inkeri (105),55,7709; 7943; 12272; 12678; 13263; 14227; 16648; 17149; 17161; 100315,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
Peter / Pietari / Peeter,given_name_family_or_biblical,medium,1795,1245,35,31,173,162,Pietari (759); Peeter (470); Pekka (366); Petteri (77); Petri (30); Peetrus (29); pekka (8); Petra (7); Pietarin (7); Piiter (6); peeter (6); Perttu (3); Pietarista (3); Peterburi (2); Petter (2),Pietari (513); Pekka (344); Peeter (329); Petteri (56); Petri (30); Pietar (29); Peetrus (28); Piiter (27); Pedri (24); Piitre (21); pietari (19); Petter (17); peeter (15); Pieter (15); pekka (15); Piatari (14); Petra (13); Petro (12),Pietari (321); Pekka (310); Peeter (251); Pietarin (151); Peetri (90); Pietariin (47); Pietarista (35); Pietarille (32); Petteri (31); Pietarissa (30); Peetrus (29); Petri (26); Pekan (25); Pietar (21); Piitre (16); Piiter (13); Pedri (13); Peetrile (12),Peter (734); Pekka (293); Peter's (181); Peeter (66); to Peter (60); Peeter's (52); Pekka's (24); from Peter (23); in Petersburg (19); to St. Petersburg (14); Petteri (12); Piitre (11),Pohjois-Karjala (203); Laatokan Karjala (Raja-Karjala) (174); Viljandimaa (107); Pohjois-Savo (107); Etelä-Savo (106); Länsi-Inkeri (87); Etelä-Karjala (77); Virumaa (68); Tartumaa (68); Varsinais-Suomi (60),52,5751; 5753; 8595; 11660; 25142; 25144; 25145; 25146; 35140; 35144,"Pietari/Peeter/Peter are close equivalents; Pekka is included as a name-family variant, not guaranteed same person."
Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,1285,729,29,27,69,88,Liisu (451); Liisa (333); Elli (265); Elina (166); liisu (12); Eliina (12); Liisuke (8); Liisakene (5); Liisukene (5); Liis (3); Elinainen (3); liisukene (2); Liisul (2); Elli (proper noun) (2); elinainen (2),Liisu (403); Liisa (299); Elli (255); Elina (126); Elinainen (30); liisu (26); Liiso (14); Liisukene (11); liisa (11); Eliina (9); elinainen (8); Liisuke (6); Liisakene (5); liisukene (5); elli (4); liisud (3); Liisoo (3); Liisul (3),Liisu (311); Liisa (237); Elli (196); Elina (90); Ellin (60); Elinainen (37); Liisul (36); Elinan (31); Liisan (30); Liisukene (26); Liisud (21); Liisut (19); Liisuke (13); Liiso (12); Liisule (11); Liisaa (9); Liisal (8); Liisakene (7),Liisu (283); Liisa (247); Elli (191); Elina (130); Elli's (60); Liisu's (52); Elina's (41); Liisa's (37); Liisus (24); Lisa (23); little Liisu (17); at Liisu's (17),Satakunta (176); Virumaa (92); Läänemaa (88); Viljandimaa (85); Etelä-Savo (85); Etelä-Karjala (77); Pärnumaa (76); Harjumaa (71); Tartumaa (71); Keski-Suomi (53),20,118962; 124510; 127725; 143147; 146343; 155996; 158334; 163315; 168303; 171953,Elizabeth-derived name family; not one person unless poem context supports it.
Matthew / Matti,given_name_family,medium,1281,868,34,33,67,87,Matti (893); Mats (164); matti (87); mats (59); mätti (13); matto (9); Matsi (8); matin (8); Madis (7); matt (5); Mattias (3); matilla (2); Matin (2); matsatama (1); matsima (1),Matti (811); Mats (146); matti (108); mats (43); Matsi (19); matin (17); mati (11); mätti (8); Madis (7); matsi (7); matista (7); matt (6); malts (5); Matin (5); Matto (5); Mati (4); mattiin (4); matti+ni (4),Matti (672); Matin (86); Mats (73); Matsi (69); Mattiin (48); Matista (47); Matille (27); matti (22); matista (22); matsi (21); matin (16); Mattia (15); mattiin (15); matsu (12); mats (10); matsil (6); Madis (6); Matsil (6),Matti (693); Matti's (104); Mats (74); Mats's (68); Matthew (38); to Matti (36); from Matti (35); into Matti (17); Matt (14); mats (12); from Matthew (11); on Mats (6),Etelä-Karjala (101); Keski-Suomi (99); Häme (96); Itä- ja Pohjois-Inkeri (73); Etelä-Pohjanmaa (72); Länsi-Inkeri (72); Peräpohjola (58); Etelä-Savo (57); Satakunta (56); Pohjois-Savo (52),13,14338; 49073; 185058; 189264; 204826; 205629; 214704; 217411; 217610; 235056,Matthew/Matthias/Matti name family; not one individual across poems.
Väinämöinen,mythic_epic,high,1225,585,20,15,91,42,Väinämöinen (1176); Väinämöisen (9); Väinö (9); (as above) (7); väinämöinen (6); väinä & möö (6); Wäinämöinen (3); Väinämöinen (via metathesis) (1); Proper noun (1); Vainämöinen (1); V. (1); Väinämöisellä (1); Väinämöistä (1); väinö (1); (proper noun) (1),Väinämöinen (824); väinämöinen (42); väinämöine (33); Väinämöini (31); väinämöini (28); Väinämöine (28); Wäinämöinen (22); Väinämöin (21); väinämöisen (10); Väinämöisen (10); väinämöne (10); Väinämö (9); Väinämöise+n (8); väinämöistä (7); Väinö (7); vänämöinen (5); vänämöne (5); Väinämöinen+sen (5),Väinämöinen (730); Väinämöisen (349); Väinämöistä (29); Väinämöin (15); Väinämöisestä (12); Väinämöisistä (10); Väinämöisellä (8); Väinämöiselle (8); Väinö (7); väinämöisen (5); Väinämösen (5); Väinämöini (4); Väinämöiseltä (4); Veännälmöinen (4); Wäinämöisen (3); Väinön (3); väinämöinen (2); V. (2),Väinämöinen (799); Väinämöinen's (344); from Väinämöinen (20); to Väinämöinen (9); of Väinämöinen (8); with Väinämöinen (6); Väinö (6); Väinämö's (5); from Väinämöinens (4); Väinö's (3); Väinämöinens (3); Väinämöisiä (2),Laatokan Karjala (Raja-Karjala) (360); Pohjois-Karjala (296); Viena (133); Aunus (82); Etelä-Savo (64); Pohjois-Savo (53); Kainuu (48); Keski-Inkeri (35); Länsi-Inkeri (30); Itä- ja Pohjois-Inkeri (25),13,30478; 30589; 30604; 30605; 30636; 30638; 30647; 30691; 31091; 36221,Epic figure; variants are very likely the same character.
Andrew / Antti,given_name_family_or_saint,medium,794,611,33,20,49,58,Antti (630); Andres (131); Andrei (7); äntti (5); andres (2); Andsu (2); Äntti (2); Anttonen (2); Ants (1); Antsu (1); Andrese (1); Andrese+le (1); (Antti) (1); Anttinen (1); antti/Antti (1),Antti (599); Andres (109); antti (7); Ondrei (5); Andsu (4); andres (4); Ands (4); änttiki (4); Antsu (3); äntti (3); antillee (3); Ants (2); Andresse-lle (2); antin (2); Antan (2); Anti (2); änttikki (2); Anttu (2),Antti (531); Andres (78); Antin (38); Anttia (29); Antille (12); Andrese (10); Andresele (8); Andsu (6); Andreks (5); Andresse (5); änttiki (4); Antsu (3); Andre (3); Andrest (2); Andreselt (2); Andsule (2); Andreksel (2); Antilla (2),Antti (523); Andrew (59); Andres (43); Antti's (39); Antti (object) (15); Andres's (14); to Andres (9); to Antti (9); Andrew's (4); exclamation (4); Antti (Andrew) (4); as Andres (3),Etelä-Savo (75); Pohjois-Karjala (67); Pohjois-Savo (63); Häme (52); Etelä-Karjala (50); Satakunta (50); Virumaa (44); Keski-Suomi (41); Peräpohjola (39); Itä- ja Pohjois-Inkeri (39),7,8367; 156584; 192854; 199246; 213450; 251892; 282966,Andrew/Antti/Andres equivalents; context needed.
George / Jüri,given_name_family_or_saint,medium,759,471,30,14,55,67,Jüri (553); Yrjö (138); Juri (19); Jyrki (13); jüri (12); Jyri (9); jyri (5); Jürikene (2); juuri (2); Juku (1); jürile (1); Yrjö (modern equivalent) (1); yrjö (1); Juura (1),Jüri (446); Jyrki (47); Yrjö (40); Juri (37); Jyrgi (32); jüri (20); Jürg (12); juri (10); Jyri (9); Jürje (7); jürikene (6); Jurje (6); jyri (6); Yrjänä (6); Yrkkö (5); Jurgi (4); Jürikene (4); djyrgi (4),Jüri (455); Jyrki (61); Yrjö (34); Juri (19); Yrjön (15); Jürikene (14); Jyri (12); Jyrgi (12); jürikene (10); Jürile (10); Jürje (10); Jüril (8); jüri (7); Jürid (7); Yrjänä (7); Jürike (5); Jürg (5); Jürilt (4),George (270); Jüri (255); Jüri's (40); Juri (24); George's (13); Yrjö (12); little Jüri (9); little George (9); Yrjö's (9); to Jüri (6); from Jüri (6); Georges (6),Virumaa (123); Viljandimaa (101); Harjumaa (78); Laatokan Karjala (Raja-Karjala) (73); Pärnumaa (63); Tartumaa (52); Saaremaa (50); Läänemaa (42); Järvamaa (42); Võrumaa (19),7,90729; 150580; 154595; 157832; 190857; 195865; 224126,George/Jüri equivalent; can be saint or ordinary name.
Michael / Mikko / Mihkel,given_name_family,medium,748,474,32,27,83,113,Mikko (340); Mihkel (230); Mikk (70); Mikael (35); Miku (15); mihkel (13); Mikki (8); mikko (8); Mikkoon (3); Mihail (3); Miikael (2); Mihkelit (2); Migu (2); Mikon (2); Mihkile (2),Mikko (259); Mihkel (167); Mikk (41); mihkel (28); Miku (28); Mikkeli (19); Miikkula (14); mikko (14); mikku (14); Mikkel (13); Mikki (10); miko (7); Mihkeli (7); miku (6); Mihk (6); Mikku (5); Mikkeeli (5); Mikkoo (5),Mikko (210); Mihkel (141); Miku (48); Mikon (36); Mihkli (23); Mikku (17); Mikk (14); Miikkula (13); Mikkeli (12); Mihklil (10); Mikosta (10); Mikkelistä (10); Mihklile (9); Mikkoon (9); Mikkeliin (8); Mihkeli (7); Mikkel (7); Mihk (6),Mikko (206); Michael (137); Mihkel (68); Mikko's (36); Michael's (27); Miku's (22); to Mihkel (16); Mikk (15); Mikku (14); Mihkel's (13); Mikkel (12); Miku (10),Peräpohjola (87); Harjumaa (64); Häme (63); Saaremaa (60); Pärnumaa (46); Virumaa (44); Viljandimaa (39); Etelä-Karjala (33); Läänemaa (28); Etelä-Savo (25),9,25363; 125593; 160803; 165041; 165107; 174470; 197503; 215658; 275196,Michael/Mikko/Mihkel equivalents.
Kalev / Kalervo,mythic_epic_or_name,medium,744,449,22,31,94,115,Kalev (285); Kalervo (274); kalev (120); Kalervoinen (9); Kalevi (8); Kalervan (7); Kalerva (5); Kalervainen (4); kalervo (4); Kalervalla (3); kalevine (2); kalkun (2); Kalevile (2); kalevitse (2); kalevne (1),Kalev (209); Kalervo (203); kalev (102); Kalevi (26); kalevine (22); kalervoin (14); kalevi (12); kalervo (11); Kalerva (10); Kalervoinen (8); kalevitse (7); Kalervainen (5); kalevise (4); Kalervan (4); kalervan (4); Kalevine (3); Kalevile (3); kalevid (3),Kalevi (110); Kalervon (86); Kalervo (60); Kalev (42); Kalervan (27); Kalevile (25); kalevid (22); kalevist (17); kalevised (15); Kalervojen (15); Kalevise (14); Kalervalla (13); kalevi (12); Kalervoin (12); Kalervoja (11); Kalervoilla (11); Kalevite (10); Kalevisse (10),Kalev's (189); Kalervo's (147); Kalervo (66); Kalev (37); to Kalev (24); at Kalervo's (17); of Kalev (12); at Kalervo (9); into Kalev's (8); of Kalervo (8); strong (7); Kalervos (7),Länsi-Inkeri (141); Harjumaa (69); Keski-Inkeri (66); Viljandimaa (65); Virumaa (63); Tartumaa (56); Pärnumaa (41); Itä- ja Pohjois-Inkeri (39); Järvamaa (38); Etelä-Karjala (33),14,7731; 9741; 10424; 12239; 13657; 14193; 15668; 122999; 180272; 186416,Kalev/Kalervo/Kaleva are related epic/name forms; not always one individual.
Henry / Heikki,given_name_family_or_saint,medium,736,562,24,16,51,50,Heikki (685); Henrik (24); Henrikki (8); Hindrek (4); Heikin (4); Indrek (1); Henrikule (1); Hendrik (1); Hekko (1); Hessu (diminutive) (1); hippaheikki (1); Heikka (1); Henriikka (1); Heikkinen (1); Teppo (1),Heikki (638); Heikin (14); Henrikki (10); Hindrek (4); Heekki (4); Heiki (4); heikki (4); Henrikki-lle (3); heikki+lle (3); heinirichi (3); heikil (2); Hessu (2); Hekki (2); Henrik (2); hennikki (2); Hentrikki (2); Heikil (2); henrichillen (2),Heikki (423); Heikin (224); Henrikki (11); Heikille (6); Heinrich (5); Hindrek (4); Heikillä (4); Heikkiä (4); Henrikille (3); Henrik (3); Hessu (2); Heikistä (2); Hekki (2); heikin (2); Heekki (2); Hennikki (2); Hentrikki (2); Heikkini (2),Heikki (422); Heikki's (226); Henry (32); to Heikki (6); to Henry (5); Henrik (5); Heikin (5); Heikki (Henry) (3); from Heikki (2); at Heikki's (2); my Heikki (2); to Henrik (1),Häme (107); Etelä-Savo (82); Satakunta (64); Pohjois-Savo (59); Varsinais-Suomi (58); Pohjois-Karjala (57); Peräpohjola (57); Etelä-Karjala (50); Etelä-Pohjanmaa (35); Pohjois-Pohjanmaa (35),5,23489; 248069; 271655; 280175; 282827,Henry/Heikki equivalents.
Tuoni,mythic_deity,high,708,480,21,10,32,36,Tuoni (417); tuoni (264); Tuonen (9); tuonen (9); tuonelaan (3); Tuonelan (2); toonine (1); tuoninen (1); tuonne (1); tuon (1),Tuoni (343); tuoni (242); tuonen (35); Tuonen (30); tuone (10); Tuonelta (5); Tuuri (5); Tuanen (4); tuoni-n (3); Toonen (3); tuoni+n (3); tuone-n (2); Toonelta (2); Tuone-n (2); Tuoni-n (2); tuonine (1); Tuoni+en (1); tuoni- (1),Tuonen (263); tuonen (259); Tuoni (82); Tuonelta (44); tuoni (9); tuonelle (6); Tuonelle (5); tuonelta (4); Tuonelaan (3); Tuurin (3); Tuonnen (2); tuon (2); Tuonella (2); tuone (2); tuonisell (1); tuonelaan (1); Tuonenk (1); Tuonessa (1),death's (144); Tuoni's (121); Death's (94); Tuoni (67); of death (58); of Tuoni (47); from Tuoni (43); of Death (38); death (18); of Death's (14); Death (9); to death (4),Pohjois-Karjala (130); Länsi-Inkeri (116); Keski-Inkeri (103); Laatokan Karjala (Raja-Karjala) (71); Etelä-Savo (63); Etelä-Karjala (42); Pohjois-Savo (33); Itä- ja Pohjois-Inkeri (24); Häme (19); Aunus (19),1,26521,Personified death/underworld figure; not the place Tuonela.
Thomas / Toomas / Tuomas,given_name_family_or_biblical,medium,667,468,30,10,35,45,Tuomas (407); Toomas (243); Tuomaan (7); tuomas (3); Toomast (2); Tomas (1); Tooma (1); Biblical name Thomas (1); Nurmi-Tuomas (1); Tuomas (proper name adaptation) (1),Tuomas (341); Toomas (211); Tuomaas (17); Tuamas (16); tuomas (12); toomas (11); Tooma (8); Tuoma (8); Tuomo (5); Tuomaan (3); Tuomalin (3); toomase (2); Toomast (2); Tuomaa (2); Tommo (2); Tuomas+han (2); Foma (2); Tuomahan (2),Tuomas (291); Toomas (201); Tuomaasta (35); Tuomaan (34); Tooma (19); Toomast (7); Toomale (6); Tuomasta (6); Tuomaaseen (6); Tuomo (5); Tuamas (5); Tuoma (4); Toomasid (3); Tuomaalle (3); Tuomasi (3); Tuomalin (3); Toomase (2); Tuomal (2),Thomas (388); Toomas (106); from Thomas (27); Tuomas (26); Thomas's (15); to Tuomas (14); to Thomas (10); to Toomas (8); from Tuomas (8); Toomases (5); Thomas' (5); Tooma's (4),Etelä-Karjala (68); Varsinais-Suomi (58); Etelä-Savo (50); Virumaa (45); Häme (42); Peräpohjola (39); Setumaa (37); Viljandimaa (35); Itä- ja Pohjois-Inkeri (30); Harjumaa (29),3,19089; 150277; 160280,Thomas/Toomas/Tuomas equivalents.
Nicholas / Nikka / Klaus,given_name_family,low,621,207,19,13,25,34,"Nikka (268); Klaus (217); Nikko (65); nikka (19); Nikolaus (15); Niko (12); nikko (7); Nikodemus (7); Nikolai (6); Niklus (2); Mikolai (1); Nikko/nikkua (1); Nikko (proper name, no further) (1)",Nikka (282); Klaus (194); Nikko (59); Klavus (20); nikka (17); Nikolaus (13); nikko (10); Nikolai (4); Nikon (4); Niklus (2); Nikolta (2); Mikolai (1); nikolta (1); Nikolaiksi (1); nikko-a (1); Klavu (1); klaulle (1); klaun (1),Nikka (276); Klaus (156); Nikko (51); Klaulle (19); Klavus (16); Nikolaus (13); Klaun (13); Nikon (12); nikan (9); nikka (7); Nikolta (6); Nikan (6); Klavun (4); Nikolai (3); Klavulle (3); nikon (3); nikko (3); Nikluse (2),Nikka (251); Klaus (175); Nikko (48); to Klaus (19); Klaus's (16); Nikka's (14); (refrain) (12); Nikko's (12); Nicholas (11); Nikolaus (10); from Nikko (7); Nick (6),Satakunta (214); Häme (214); Varsinais-Suomi (66); Etelä-Savo (38); Pohjois-Karjala (17); Etelä-Pohjanmaa (17); Keski-Suomi (12); Etelä-Karjala (10); Länsi-Inkeri (7); Pohjois-Pohjanmaa (6),3,26866; 214209; 260095,"Possible Nicholas/Klaus/Nikka family, but this is weak and needs manual checking."
Simon / Siim / Simo,given_name_family_or_biblical,medium,504,231,28,16,42,64,Siim (235); Simo (139); Siiman (37); simo (24); siim (18); Siime (14); siiman (13); Siimon (10); Siimann (3); Simon (3); siimukene (2); siime (2); Simun (1); Siimu (1); varjo (1),Siim (195); Simo (113); Siiman (29); simo (24); Siimu (23); Siime (14); siim (13); siiman (11); Siimon (10); siimu (8); Siimann (7); Siimani (6); siimani (4); simon (4); simonen (4); Siimo (3); siimanni (3); Simon (3),Siimu (137); Simo (99); Siim (71); siimani (21); Siimanni (19); Siiman (19); Siime (14); Simon (11); simoisilla (10); Siimul (8); simoa (7); Siimule (6); Siimani (6); Siimo (4); Simolle (4); Siimoni (3); Siimon (3); simon (3),Simo (91); Siim's (90); Siim (67); Simon's (28); Siimu (26); Siiman (20); Simon (19); Siime (14); Siiman's (13); Siimu's (10); on simo-boats (10); to Siim (6),Järvamaa (76); Etelä-Karjala (59); Võrumaa (51); Harjumaa (41); Virumaa (40); Pärnumaa (34); Tartumaa (29); Viljandimaa (17); Itä- ja Pohjois-Inkeri (17); Läänemaa (16),0,,Simon/Siim/Simo/Siime equivalents.
