person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Laurukainen,unmapped_possible_person_name,low,1,1,1,1,1,1,Laurukainen (1),laurukainen (1),Laurukainen (1),Laurukainen (name) (1),Peräpohjola (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Laus,unmapped_possible_person_name,low,1,1,1,1,1,1,Laus (1),Laus (1),Laus (1),Laus (1),Pärnumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lautija,unmapped_possible_person_name,low,1,1,1,1,1,1,Lautija (1),Lautija (1),Lautijalle (1),to Lautija (1),Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Laviola,unmapped_possible_person_name,low,1,1,1,1,1,1,Laviola (1),Laviola (1),Laviolan (1),Laviola's (1),Pohjois-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leeland,unmapped_possible_person_name,low,1,1,1,1,1,1,Leeland (1),Leeland (1),Leelandi (1),Leeland's (1),Järvamaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leena+kene,unmapped_possible_person_name,low,1,1,1,1,1,1,Leena+kene (1),Leena+kese (1),Leenakese (1),Leena (dim.) (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leena-Liis,unmapped_possible_person_name,low,1,1,1,1,1,1,Leena-Liis (1),Leena-Liis (1),Leena-Liis (1),(name) (1),Tartumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leer,unmapped_possible_person_name,low,1,1,1,1,1,1,Leer (1),Leer (1),Leeri (1),Leer's (1),Saaremaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lehk,unmapped_possible_person_name,low,1,1,1,1,1,1,Lehk (1),Lehk (1),Lehul (1),at Lehk's (1),Võrumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leigerpung,unmapped_possible_person_name,low,1,1,1,1,1,1,Leigerpung (1),Leigerpung (1),Leigerpungi (1),to Leigerpung (1),Läänemaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Leila,unmapped_possible_person_name,low,1,1,1,1,1,1,Leila (1),Leila (1),Leila (1),Leila (1),Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
