unified_name,county,broad_region,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
Mary / Maria / Maarja / Mari,Keski-Inkeri,Ingria,164,91,14,36,Mari (46); Maria (34); Maaria (33); Maija (24); maija (10); Marja (5); Marjatta (3); marja (2),Mari (45); Maaria (31); Maie (16); Maria (15); Maariainen (5); maijoi (5); Maarja (5); maija (4)
Mary / Maria / Maarja / Mari,Pohjois-Karjala,Finland/Savo-Karelia,159,138,12,26,Maria (66); Maaria (51); Maija (17); maija (7); Mari (7); Maarian (3); maaria (2); Marian (2),Maaria (67); Maria (29); Maija (16); Mari (8); maija (6); Moari (4); Maarian (3); Moarijja (2)
Mary / Maria / Maarja / Mari,Häme,Finland/Savo-Karelia,152,123,6,17,Maija (60); Maria (47); Maaria (38); maija (3); Mari (3); Marja (1),Maija (53); Maaria (49); Maria (25); maija (8); Maarian (3); maarian (2); Marii (2); Mari (1)
Mary / Maria / Maarja / Mari,Järvamaa,Estonia core/west,130,84,9,16,Mari (56); mari (42); Maarja (14); Maria (9); Maaria (3); Marie (2); Marija (2); marjuke (1),Mari (50); mari (41); Maarja (13); Maria (9); Maaria (3); Marie (2); Marija (2); marja (2)
Mary / Maria / Maarja / Mari,Etelä-Savo,Finland/Savo-Karelia,110,96,11,20,Maria (58); Maaria (17); Maija (15); maija (11); Mari (2); Marialta (2); Marja (1); Marianen (1),Maria (38); Maaria (19); Maija (14); maija (13); maria (5); Marija (2); Marja (2); mariainen (2)
Mary / Maria / Maarja / Mari,Itä- ja Pohjois-Inkeri,Ingria,90,51,12,30,Mari (24); Maria (22); Maija (16); Maaria (16); maija (4); Maaria & -ine (2); Marja (1); Marin (1),Mari (16); Maie (16); Maaria (11); Maria (8); maija (3); Muaria (3); Maariainen (3); mari (2)
Mary / Maria / Maarja / Mari,Varsinais-Suomi,Finland/Savo-Karelia,90,71,6,17,Maija (57); Maria (18); Maaria (6); Maarja (5); Mari (2); maaria (2),Maija (50); Maaria (9); Maarja (8); maija (4); Maria (2); mar (2); maria (2); Mari (2)
Mary / Maria / Maarja / Mari,Satakunta,Finland/Savo-Karelia,75,60,4,7,Maija (42); Maaria (18); Maria (14),Maija (40); Maaria (19); Maria (11); maija (2); Maijal (1); Maaria(n) (1); Maarija (1)
Mary / Maria / Maarja / Mari,Pohjois-Pohjanmaa,Finland/Savo-Karelia,74,39,10,14,Mari (21); Maija (18); Maria (15); Maaria (9); maija (4); maaria (2); Maarija (2); Maija (prop.) (1),Mari (21); Maija (17); Maaria (10); Maria (9); maija (5); Maarija (4); maaria (1); Maija-n (1)
Mary / Maria / Maarja / Mari,Etelä-Pohjanmaa,Finland/Savo-Karelia,71,60,7,13,Maria (32); Maija (31); Maaria (3); marja (2); Maariaan (1); Mariasta (1); Marja (1),Maija (28); Maria (24); Maaria (6); Marja (2); Maijja (2); marja (2); marija (1); maariaan (1)
Mary / Maria / Maarja / Mari,Pohjois-Savo,Finland/Savo-Karelia,69,53,7,14,Maria (45); Maija (10); Maaria (8); maija (2); Marian (2); maja (1); marja (berry) or Maria (name) (1),Maria (25); Maaria (14); Maija (10); maria (6); maija (3); marija (2); Marian (2); Muaria (1)
Mary / Maria / Maarja / Mari,Saaremaa,Estonia core/west,66,41,7,10,Mari (36); mari (20); Maarja (4); marjuke (3); Maria (1); maria (1); marjake (1),Maie (20); mari (19); Mari (14); Maarja (4); marjuke (3); Marike (2); Maria (1); maria (1)
Mary / Maria / Maarja / Mari,Etelä-Karjala,Finland/Savo-Karelia,65,45,6,10,Mari (34); Maija (12); Maria (9); Maaria (6); maija (3); meri (1),Mari (34); Maija (11); Maaria (5); Maria (5); maija (4); Maariainen (2); Muariai-sta (1); mari (1)
Mary / Maria / Maarja / Mari,Viena,East Karelia/Veps/Tver,64,47,12,23,Maria (34); Mari (15); Maaria (4); Maija (2); maarian (2); Marjatta (1); Marian (1); Maria/muori (1),Maria (13); Mari (11); Moarie (4); Moaria (4); mari (4); Marian (3); maria (3); Maaria (3)
Mary / Maria / Maarja / Mari,,Other/unclear,58,38,7,11,Mari (32); mari (15); Maaria (4); Maarja (3); Maria (2); marra (1); marj (1),Mari (28); mari (12); marja (4); Maaria (4); Maarja (3); Marja (2); marran (1); marä (1)
Mary / Maria / Maarja / Mari,Aunus,East Karelia/Veps/Tver,57,44,6,13,Maaria (30); Maria (21); Mari (2); Maija (2); maija (1); Moari (archaic) (1),Maaria (31); Moaria (10); maariainen (3); Maria (2); Mari (2); Moari (2); maijon (1); Maija (1)
Mary / Maria / Maarja / Mari,Peräpohjola,Finland/Savo-Karelia,55,45,8,9,Maija (31); Maria (13); maija (4); maaria (2); Maijaa (2); Marja (1); maijjaa (1); Maaria (1),Maija (25); Maria (8); maija (8); maijaa (3); maaria (3); maria (3); Marja (3); maijja (1)
