person_cluster,variant_collapsed,broad_region,mentions,share_within_group,share_within_variant
Jesus / Christ,Other,East Karelia/Veps/Tver,0,0.0,0.0
Jesus / Christ,Other,Other/unclear,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Estonia core/west,951,0.3624237804878049,0.9005681818181818
John / Jaan / Jussi / Hans,Jaan,South Estonia/Seto,65,0.024771341463414635,0.061553030303030304
John / Jaan / Jussi / Hans,Jaan,Finland/Savo-Karelia,2,0.0007621951219512195,0.001893939393939394
John / Jaan / Jussi / Hans,Jaan,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,East Karelia/Veps/Tver,1,0.00038109756097560977,0.000946969696969697
John / Jaan / Jussi / Hans,Jaan,Other/unclear,37,0.014100609756097561,0.035037878787878785
John / Jaan / Jussi / Hans,Jussi/Juss,Estonia core/west,22,0.008384146341463415,0.034482758620689655
John / Jaan / Jussi / Hans,Jussi/Juss,South Estonia/Seto,1,0.00038109756097560977,0.001567398119122257
John / Jaan / Jussi / Hans,Jussi/Juss,Finland/Savo-Karelia,565,0.21532012195121952,0.8855799373040752
John / Jaan / Jussi / Hans,Jussi/Juss,Ingria,21,0.008003048780487805,0.032915360501567396
John / Jaan / Jussi / Hans,Jussi/Juss,East Karelia/Veps/Tver,26,0.009908536585365854,0.04075235109717868
John / Jaan / Jussi / Hans,Jussi/Juss,Other/unclear,3,0.0011432926829268292,0.004702194357366771
John / Jaan / Jussi / Hans,Hans,Estonia core/west,427,0.16272865853658536,0.9008438818565401
John / Jaan / Jussi / Hans,Hans,South Estonia/Seto,5,0.0019054878048780487,0.010548523206751054
John / Jaan / Jussi / Hans,Hans,Finland/Savo-Karelia,2,0.0007621951219512195,0.004219409282700422
John / Jaan / Jussi / Hans,Hans,Ingria,6,0.0022865853658536584,0.012658227848101266
John / Jaan / Jussi / Hans,Hans,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Hans,Other/unclear,34,0.012957317073170731,0.07172995780590717
John / Jaan / Jussi / Hans,Ants,Estonia core/west,219,0.08346036585365854,0.9163179916317992
John / Jaan / Jussi / Hans,Ants,South Estonia/Seto,15,0.005716463414634146,0.06276150627615062
John / Jaan / Jussi / Hans,Ants,Finland/Savo-Karelia,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,Other/unclear,5,0.0019054878048780487,0.02092050209205021
John / Jaan / Jussi / Hans,Iivana,Estonia core/west,0,0.0,0.0
John / Jaan / Jussi / Hans,Iivana,South Estonia/Seto,0,0.0,0.0
John / Jaan / Jussi / Hans,Iivana,Finland/Savo-Karelia,6,0.0022865853658536584,0.23076923076923078
John / Jaan / Jussi / Hans,Iivana,Ingria,15,0.005716463414634146,0.5769230769230769
John / Jaan / Jussi / Hans,Iivana,East Karelia/Veps/Tver,5,0.0019054878048780487,0.19230769230769232
John / Jaan / Jussi / Hans,Iivana,Other/unclear,0,0.0,0.0
John / Jaan / Jussi / Hans,Other,Estonia core/west,102,0.038871951219512195,0.5340314136125655
John / Jaan / Jussi / Hans,Other,South Estonia/Seto,12,0.004573170731707317,0.06282722513089005
John / Jaan / Jussi / Hans,Other,Finland/Savo-Karelia,55,0.020960365853658538,0.2879581151832461
John / Jaan / Jussi / Hans,Other,Ingria,15,0.005716463414634146,0.07853403141361257
John / Jaan / Jussi / Hans,Other,East Karelia/Veps/Tver,4,0.001524390243902439,0.020942408376963352
John / Jaan / Jussi / Hans,Other,Other/unclear,3,0.0011432926829268292,0.015706806282722512
Peter / Pietari / Peeter,Pietari,Estonia core/west,4,0.0022284122562674096,0.005134788189987163
Peter / Pietari / Peeter,Pietari,South Estonia/Seto,5,0.002785515320334262,0.006418485237483954
Peter / Pietari / Peeter,Pietari,Finland/Savo-Karelia,445,0.2479108635097493,0.5712451861360719
Peter / Pietari / Peeter,Pietari,Ingria,138,0.07688022284122563,0.17715019255455713
Peter / Pietari / Peeter,Pietari,East Karelia/Veps/Tver,183,0.10194986072423398,0.23491655969191272
Peter / Pietari / Peeter,Pietari,Other/unclear,4,0.0022284122562674096,0.005134788189987163
Peter / Pietari / Peeter,Peeter,Estonia core/west,406,0.22618384401114205,0.8529411764705882
Peter / Pietari / Peeter,Peeter,South Estonia/Seto,54,0.030083565459610027,0.1134453781512605
Peter / Pietari / Peeter,Peeter,Finland/Savo-Karelia,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,Ingria,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,East Karelia/Veps/Tver,0,0.0,0.0
Peter / Pietari / Peeter,Peeter,Other/unclear,16,0.008913649025069638,0.03361344537815126
Peter / Pietari / Peeter,Pekka,Estonia core/west,0,0.0,0.0
Peter / Pietari / Peeter,Pekka,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Pekka,Finland/Savo-Karelia,332,0.18495821727019499,0.8853333333333333
Peter / Pietari / Peeter,Pekka,Ingria,9,0.005013927576601671,0.024
Peter / Pietari / Peeter,Pekka,East Karelia/Veps/Tver,30,0.016713091922005572,0.08
Peter / Pietari / Peeter,Pekka,Other/unclear,4,0.0022284122562674096,0.010666666666666666
Peter / Pietari / Peeter,Petteri/Petri,Estonia core/west,0,0.0,0.0
Peter / Pietari / Peeter,Petteri/Petri,South Estonia/Seto,1,0.0005571030640668524,0.008928571428571428
Peter / Pietari / Peeter,Petteri/Petri,Finland/Savo-Karelia,30,0.016713091922005572,0.26785714285714285
Peter / Pietari / Peeter,Petteri/Petri,Ingria,40,0.022284122562674095,0.35714285714285715
Peter / Pietari / Peeter,Petteri/Petri,East Karelia/Veps/Tver,40,0.022284122562674095,0.35714285714285715
Peter / Pietari / Peeter,Petteri/Petri,Other/unclear,1,0.0005571030640668524,0.008928571428571428
Peter / Pietari / Peeter,Other,Estonia core/west,31,0.017270194986072424,0.5849056603773585
Peter / Pietari / Peeter,Other,South Estonia/Seto,10,0.005571030640668524,0.18867924528301888
Peter / Pietari / Peeter,Other,Finland/Savo-Karelia,4,0.0022284122562674096,0.07547169811320754
Peter / Pietari / Peeter,Other,Ingria,3,0.001671309192200557,0.05660377358490566
Peter / Pietari / Peeter,Other,East Karelia/Veps/Tver,3,0.001671309192200557,0.05660377358490566
Peter / Pietari / Peeter,Other,Other/unclear,2,0.0011142061281337048,0.03773584905660377
Martin / Mart / Märt,Märt,Estonia core/west,1303,0.3719668855266914,0.9118264520643807
Martin / Mart / Märt,Märt,South Estonia/Seto,115,0.03282900371110477,0.08047585724282715
Martin / Mart / Märt,Märt,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Märt,Ingria,0,0.0,0.0
Martin / Mart / Märt,Märt,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Märt,Other/unclear,11,0.003140165572366543,0.007697690692792162
Martin / Mart / Märt,Mart/Martin,Estonia core/west,1070,0.30545246931201825,0.9789569990850869
Martin / Mart / Märt,Mart/Martin,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Mart/Martin,Finland/Savo-Karelia,3,0.0008564087924636027,0.0027447392497712718
Martin / Mart / Märt,Mart/Martin,Ingria,0,0.0,0.0
Martin / Mart / Märt,Mart/Martin,East Karelia/Veps/Tver,1,0.00028546959748786756,0.0009149130832570906
Martin / Mart / Märt,Mart/Martin,Other/unclear,19,0.005423922352269483,0.01738334858188472
Martin / Mart / Märt,Mard/Mardi,Estonia core/west,664,0.18955181273194405,0.9693430656934306
