person_cluster,variant_casefold_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Jesus / Christ,Other,Ingria,6,0.0026845637583892616,0.11538461538461539
Jesus / Christ,Other,East Karelia/Veps/Tver,13,0.0058165548098434005,0.25
Jesus / Christ,Other,Other/unclear,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Estonia core/west,917,0.34946646341463417,0.9052319842053307
John / Jaan / Jussi / Hans,Jaan,South Estonia/Seto,59,0.022484756097560975,0.05824284304047384
John / Jaan / Jussi / Hans,Jaan,Finland/Savo-Karelia,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Other/unclear,37,0.014100609756097561,0.03652517275419546
John / Jaan / Jussi / Hans,Jussi/Juss,Estonia core/west,21,0.008003048780487805,0.033123028391167195
John / Jaan / Jussi / Hans,Jussi/Juss,South Estonia/Seto,1,0.00038109756097560977,0.0015772870662460567
John / Jaan / Jussi / Hans,Jussi/Juss,Finland/Savo-Karelia,563,0.2145579268292683,0.88801261829653
John / Jaan / Jussi / Hans,Jussi/Juss,Ingria,20,0.007621951219512195,0.031545741324921134
John / Jaan / Jussi / Hans,Jussi/Juss,East Karelia/Veps/Tver,26,0.009908536585365854,0.04100946372239748
John / Jaan / Jussi / Hans,Jussi/Juss,Other/unclear,3,0.0011432926829268292,0.00473186119873817
John / Jaan / Jussi / Hans,Hans,Estonia core/west,422,0.16082317073170732,0.9134199134199135
John / Jaan / Jussi / Hans,Hans,South Estonia/Seto,5,0.0019054878048780487,0.010822510822510822
John / Jaan / Jussi / Hans,Hans,Finland/Savo-Karelia,2,0.0007621951219512195,0.004329004329004329
John / Jaan / Jussi / Hans,Hans,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Hans,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Hans,Other/unclear,33,0.012576219512195123,0.07142857142857142
John / Jaan / Jussi / Hans,Ants,Estonia core/west,219,0.08346036585365854,0.9163179916317992
