person_cluster,variant_by_standard_lemma,Estonia core/west,South Estonia/Seto,Finland/Savo-Karelia,Ingria,East Karelia/Veps/Tver,Other/unclear
Ilmarinen,Ilmarinen,0,0,160,35,87,6
Ilmarinen,Other,0,0,7,0,4,0
Lemminkäinen,Lemminkäinen,4,0,61,1,175,0
Lemminkäinen,Other,0,0,7,0,21,0
Väinämöinen,Other,0,0,3,2,43,1
Väinämöinen,Väinämöinen,1,0,539,88,532,16
