county,person_cluster,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
,God / Jumala / Jumal,189,93,15,22,herra (67); jumal (24); Jumala (24); härra (20); luoja (18); Jumal (10); jumala (7); isand (5),herra (64); jumal (21); Jumala (21); härra (19); luoja (17); jumala (10); jummal (6); looja (6)
,John / Jaan / Jussi / Hans,62,31,10,13,Hans (27); Jaan (25); Ants (2); Juhan (2); jussi (1); Juss (1); jaan (1); Hannus (1),Hans (27); Jaan (12); jani (10); Jussi (2); Ants (2); Juhan (2); jussi (1); jaan (1)
,Mary / Maria / Maarja / Mari,58,38,7,11,Mari (32); mari (15); Maaria (4); Maarja (3); Maria (2); marra (1); marj (1),Mari (28); mari (12); marja (4); Maaria (4); Maarja (3); Marja (2); marran (1); marä (1)
,Martin / Mart / Märt,35,8,6,6,märti (14); Märt (8); Mart (5); mard (4); märt (2); marti (2),märti (14); Märt (8); Mart (5); mard (4); märt (2); marti (2)
,Anna / Anne / Ann / Anni,30,11,4,5,Ann (13); Anne (13); Anni (3); anne (1),Ann (13); Anne (10); Annekene (3); Anni (3); anne (1)
,Ukko,29,21,2,3,ukko (22); Ukko (7),ukko (21); Ukko (7); ukko+n (1)
,Kokki,25,3,1,1,Kokki (25),Kokki (25)
,Jesus / Christ,24,19,2,7,Jeesus (22); Kristus (2),Jeesus (10); Jiesus (5); Jeesu (4); Kristus (2); jeesus + -kene (1); jesuxen (1); Jesus (1)
,Catherine / Kadri / Katri,23,9,3,3,Kadri (18); Kaisa (3); Kati (2),Kadri (18); Kaisa (3); Kati (2)
,Matthew / Matti,19,12,4,5,Matti (7); mats (6); Mats (5); Matsi (1),Matti (7); Mats (5); mats (5); malts (1); Matsi (1)
,Peter / Pietari / Peeter,19,15,7,8,Peeter (8); Pekka (4); Pietari (3); Peet (1); peeter (1); Petteri (1),Peeter (6); Pekka (5); Pietari (3); Pert (1); Peet (1); peetrikene (1); petteri (1); Peetrus (1)
,Thomas / Toomas / Tuomas,18,8,2,3,Toomas (9); Tuomas (9),Tuomas (9); Toomas (8); toomas (1)
,Väinämöinen,15,7,1,1,Väinämöinen (15),Väinämöinen (15)
,Kai,12,3,1,1,Kai (12),Kai (12)
,George / Jüri,9,9,2,4,Jüri (8); Juri (1),Jüri (6); Juri (1); jüri (1); Jürikene (1)
,Henry / Heikki,9,4,2,2,Heikki (8); Henrikki (1),Heikki (8); Henrikki (1)
,Jacob / Jaak / Jaakko,8,6,4,4,Jaak (4); Jakob (1); Jaakko (1),Jaak (4); Jakob (1); Jaakko (1)
,Michael / Mikko / Mihkel,8,5,3,4,Mihkel (5); Mikk (2); Mikko (1),Mihkel (4); Miku (2); Mikko (1); mihkel (1)
,Tuoni,8,7,3,3,Tuoni (6); tuoni (1); tuonen (1),Tuoni (6); tuoni (1); tuone-n (1)
,Lauri,7,3,1,1,Lauri (7),Lauri (7)
,Oudin,7,1,1,1,Oudin (7),Oudin (7)
,Andrew / Antti,6,3,1,1,Antti (6),Antti (6)
,Elizabeth / Liisa / Liisu / Elli,6,6,3,4,Liisu (3); Liisa (2),Liisu (2); Liisa (2); Liisuke (1)
,Eve / Eeva,6,4,2,2,Eeva (5); aatto (1),Eeva (5); aatto (1)
,Ilmarinen,6,6,1,2,Ilmarinen (6),Ilmarinen (5); Silmarinen (1)
,Makkonen,6,1,1,1,Makkonen (6),Makkonen (6)
,Kalev / Kalervo,5,5,1,2,Kalev (5),Kalev (4); kalev (1)
,Simana,5,1,1,1,Simana (5),Simana (5)
,Tapio,5,3,1,1,Tapio (5),Tapio (5)
,Judas / Juudas,4,2,2,2,Juudas (2); Juutas (2),Juudas (2); Juutas (2)
,Kaie,4,2,1,1,Kaie (4),Kaie (4)
,(proper noun),3,2,1,3,(proper noun) (3),loja (1); junne (1); Immerki (1)
,Esko,3,2,1,2,Esko (3),Esko (2); Eskon (1)
,Helkka,3,1,1,1,Helkka (3),Helka (3)
,Lilla,3,2,1,2,Lilla (3),Lilla (2); lilla (1)
,Mulk,3,1,1,1,Mulk (3),Mulk (3)
,Taipale,3,1,1,1,Taipale (3),Taipale (3)
,Tarjus,3,1,1,1,Tarjus (3),Tarjus (3)
,Vasko,3,1,1,1,Vasko (3),Vasko (3)
,(name),2,1,1,2,(name) (2),Santi (1); Lauri (1)
,Duomar,2,1,1,1,Duomar (2),Duomar (2)
,Elias / Eljas,2,2,2,2,eljas (1); Elias (1),eljas (1); Elias (1)
,Hippa,2,1,1,1,Hippa (2),Hippa (2)
,Ivar,2,1,1,1,Ivar (2),Ivar (2)
,Johan,2,1,1,1,Johan (2),Johan (2)
,Jääsken,2,1,1,1,Jääsken (2),Jääsken (2)
,Kuokkala,2,2,1,1,Kuokkala (2),Kuokkala (2)
,Kuri,2,1,1,1,Kuri (2),Kuri (2)
,Luukas,2,1,1,1,Luukas (2),Luukas (2)
,Mai,2,1,1,1,Mai (2),Mai (2)
,Maie,2,1,1,1,Maie (2),Maie (2)
,Malle,2,1,1,1,Malle (2),Malle (2)
,Nirgi,2,2,1,1,Nirgi (2),Nirgi (2)
,Olli,2,1,1,1,Olli (2),Olli (2)
,Rampori,2,1,1,1,Rampori (2),Rampori (2)
,Simon / Siim / Simo,2,2,1,1,Siim (2),Siim (2)
,Tahvo,2,1,1,1,Tahvo (2),Tahvo (2)
,Talna,2,2,1,1,Talna (2),Talna (2)
,Teppo,2,1,1,1,Teppo (2),Teppana (2)
,Tetermann,2,1,1,1,Tetermann (2),tetermann (2)
,Tiiu,2,1,1,1,Tiiu (2),Tiiu (2)
,Viia,2,1,1,1,Viia (2),Viio (2)
,Viire,2,1,1,1,Viire (2),viire (2)
,Aadam,1,1,1,1,Aadam (1),Aadam (1)
,Ahmo,1,1,1,1,Ahmo (1),Ahmo (1)
,Ahti,1,1,1,1,Ahti (1),Ahti (1)
,Alli,1,1,1,1,Alli (1),Alli (1)
,Amber,1,1,1,1,Amber (1),Ambr (1)
,Ankarström,1,1,1,1,Ankarström (1),Ankarström (1)
,Ants,1,1,1,1,Ants (1),Antsu (1)
,Ants (gen),1,1,1,1,Ants (gen) (1),Ansu (gen) (1)
,Ats,1,1,1,1,Ats (1),Ats (1)
,Berg,1,1,1,1,Berg (1),Berg (1)
,Eevake,1,1,1,1,Eevake (1),Eevake (1)
,Else,1,1,1,1,Else (1),Else (1)
,Elts,1,1,1,1,Elts (1),Eltse (1)
,Gajanus,1,1,1,1,Gajanus (1),Gajanus (1)
,Hannu,1,1,1,1,Hannu (1),Hannu (1)
,Hants,1,1,1,1,Hants (1),Hants (1)
,Henrikki,1,1,1,1,Henrikki (1),Henrikki (1)
,Hynny,1,1,1,1,Hynny (1),Hynny (1)
,Härkänen,1,1,1,1,Härkänen (1),Härkänen (1)
,Håvi,1,1,1,1,Håvi (1),Håvi (1)
,Iiri,1,1,1,1,Iiri (1),Iiri (1)
,Iiva,1,1,1,1,Iiva (1),Iiva (1)
,Inko,1,1,1,1,Inko (1),Inko (1)
,Jaska,1,1,1,1,Jaska (1),Jaska (1)
,Jordan,1,1,1,1,Jordan (1),Jordan (1)
,Joseph / Joosep,1,1,1,1,Joosef (1),Joosep (1)
,Joukeinen,1,1,1,1,Joukeinen (1),Joukeinen (1)
,Järd,1,1,1,1,Järd (1),Järd (1)
,Kehvo,1,1,1,1,Kehvo (1),Kehvo (1)
,Kimai,1,1,1,1,Kimai (1),Kimai (1)
,Koitse,1,1,1,1,Koitse (1),Koends (1)
,Kontio,1,1,1,1,Kontio (1),Kontio (1)
,Kurupatkin,1,1,1,1,Kurupatkin (1),Kurupatkin (1)
,Kyrsi,1,1,1,1,Kyrsi (1),Kyrsi (1)
,Kärt,1,1,1,1,Kärt (1),Kärt (1)
,Laamanen,1,1,1,1,Laamanen (1),Laamanen (1)
,Laavi,1,1,1,1,Laavi (1),Laavi (1)
,Lainne,1,1,1,1,Lainne (1),Lainnela (1)
,Lassi,1,1,1,1,Lassi (1),Lassi (1)
,Lempo,1,1,1,1,Lempo (1),Lempo (1)
,Lihhoniko,1,1,1,1,Lihhoniko (1),Lihhoniko (1)
,Lire,1,1,1,1,Lire (1),Lire (1)
,Luostarinen,1,1,1,1,Luostarinen (1),Luostarinen (1)
,Maksima,1,1,1,1,Maksima (1),Maksima (1)
,Marketta,1,1,1,1,Marketta (1),Marketta (1)
,Miilut,1,1,1,1,Miilut (1),Miilut (1)
,Muriaani,1,1,1,1,Muriaani (1),Muriaani (1)
,Mutro,1,1,1,1,Mutro (1),Mutro (1)
,Nebokatov,1,1,1,1,Nebokatov (1),Nebokatov (1)
,Nirg,1,1,1,1,Nirg (1),Nirg (1)
,Nyyrikki,1,1,1,1,Nyyrikki (1),Nyyrikki (1)
,Oiderma,1,1,1,1,Oiderma (1),Oiderma (1)
,Osmatar,1,1,1,1,Osmatar (1),Osmatar (1)
,Pampuri,1,1,1,1,Pampuri (1),Pampuri (1)
,Pisakopp,1,1,1,1,Pisakopp (1),Pisakopp (1)
,Räimä,1,1,1,1,Räimä (1),Räimä (1)
,Saastamoinen,1,1,1,1,Saastamoinen (1),Saastamoinen (1)
,Sairainen,1,1,1,1,Sairainen (1),Sairainen (1)
,Sampsa,1,1,1,1,Sampsa (1),Sampsa (1)
,Sandi,1,1,1,1,Sandi (1),Sandi (1)
,Seäminki,1,1,1,1,Seäminki (1),Seäminki-ssä (1)
,Siimu,1,1,1,1,Siimu (1),Siimu (1)
,Siinevitsh,1,1,1,1,Siinevitsh (1),Siinevitsh (1)
,Skobelev,1,1,1,1,Skobelev (1),Skobelev (1)
,Tari,1,1,1,1,Tari (1),Tari (1)
,Tavi,1,1,1,1,Tavi (1),Tavi (1)
,To,1,1,1,1,To (1),To (1)
,Tolberi,1,1,1,1,Tolberi (1),Tolberi (1)
,Totleben,1,1,1,1,Totleben (1),Totleeben (1)
,Turtila,1,1,1,1,Turtila (1),Turtila (1)
,Tyyne,1,1,1,1,Tyyne (1),Taari (1)
,Undre/Proper name,1,1,1,1,Undre/Proper name (1),Under (1)
,Uta,1,1,1,1,Uta (1),Uta (1)
,Vesteniusta,1,1,1,1,Vesteniusta (1),Vesteniusta (1)
,Viidu,1,1,1,1,Viidu (1),Viidu (1)
,Vikelsuka,1,1,1,1,Vikelsuka (1),Vikelsuka (1)
,Vänänen,1,1,1,1,Vänänen (1),Vänänen (1)
,Yrjänä,1,1,1,1,Yrjänä (1),Yrjänä (1)
,kaiho,1,1,1,1,kaiho (1),kaiho (1)
,kivikiikka,1,1,1,1,kivikiikka (1),kivikiikka (1)
,kurat (archaic bird term),1,1,1,1,kurat (archaic bird term) (1),kurikas (1)
,lepatriinu,1,1,1,1,lepatriinu (1),lepatriinu (1)
,maijamaali,1,1,1,1,maijamaali (1),maijamaali (1)
,miilut,1,1,1,1,miilut (1),miilut (1)
,miilutsema,1,1,1,1,miilutsema (1),miilutsema (1)
,nimi,1,1,1,1,nimi (1),nimi (1)
,reintruhvadi,1,1,1,1,reintruhvadi (1),reintruhvadi (1)
,seelik/seelut,1,1,1,1,seelik/seelut (1),seelut (1)
,seelutsema,1,1,1,1,seelutsema (1),seelutsema (1)
Aunus,God / Jumala / Jumal,170,101,20,32,Jumala (50); herra (37); jumala (27); luoja (18); Herra (8); jumalista (7); Hospodi (6); Luoja (3),Jumala (40); herra (31); jumala (20); luoja (16); Hospodi (9); jumalista (6); Herra (6); jumalan (5)
Aunus,Lemminkäinen,82,17,5,11,Lemminkäinen (73); Lemminkäistä (4); lemminkäistä (2); Lemminkäisen (2); lemminkäinen (1),Lemminkäinen (61); lemminkäistä (5); lemminkäinen (4); lemminkäisen (3); Lemminkäin (2); lemmiŋgäistä (2); Lemminkäini (1); lemmingöini (1)
Aunus,Väinämöinen,82,32,3,9,Väinämöinen (80); Väinämöisen (1); väinämöinen (1),Väinämöinen (43); väinämöine (13); Väinämöine (8); Väinämöini (7); Väinämöisen (4); väinämöinen (4); väinämöinji (1); väinämöise (1)
Aunus,Ukko,68,53,2,3,ukko (45); Ukko (23),ukko (49); Ukko (15); ukon (4)
Aunus,Anna / Anne / Ann / Anni,62,27,6,11,Anni (34); anni (16); Annolle (7); anta- (2); Anna (2); Anu (1),Anni (26); anni (19); annoi (7); antaa (2); Annjo (2); annil (1); Annil (1); Annii (1)
Aunus,Mary / Maria / Maarja / Mari,57,44,6,13,Maaria (30); Maria (21); Mari (2); Maija (2); maija (1); Moari (archaic) (1),Maaria (31); Moaria (10); maariainen (3); Maria (2); Mari (2); Moari (2); maijon (1); Maija (1)
Aunus,Peter / Pietari / Peeter,45,23,4,15,Pietari (23); Petri (13); Pekka (8); Petteri (1),Petri (10); Pekka (8); Pedri (7); Petra (5); Pietari (3); Piiteri (2); Pietarin (2); Piiterihin (1)
Aunus,Jesus / Christ,41,30,6,19,Jeesus (23); Kristus (11); Jesus (3); Kristian (2); Hristos (Russian) (1); Kristos (1),Jeesus (8); Jeussei (6); Kristus (5); Jiesus (3); Jesus (3); Kristos (2); hristoa (2); Krista + an (1)
Aunus,Matthew / Matti,28,12,2,2,Matti (27); mätti (1),Matti (27); mätti (1)
Aunus,Joukamoinen / Joukahainen,25,9,3,9,Joukahainen (14); Joukamoinen (9); (Joukahainen) (2),Joukamoinen (12); jougahoine (3); joukamoise-n (2); jougahaine (2); jougamoinji (2); jougamoinen (1); Joukahainen (1); Jougamoinen (1)
Aunus,Ilmarinen,22,8,1,6,Ilmarinen (22),Ilmarinen (7); Ilmoninen (5); ilmollinen (4); ilmolline (4); Ilmari (1); Iivana (1)
Aunus,Lauri,19,10,1,2,Lauri (19),Lauri (17); Lauren (2)
Aunus,Tuoni,19,16,2,3,tuoni (11); Tuoni (8),tuoni (10); Tuoni (8); tuoni-n (1)
Aunus,Ahti,18,5,2,5,Ahti (17); Ahin (1),ahti (10); Ahti (5); ahin (1); Ahin (1); ahilla (1)
Aunus,George / Jüri,17,14,2,5,Yrjö (14); Jyrki (3),Jyrgi (9); Jyrki (5); jyrgi (1); Jyryi (1); Yrjö-n (1)
Aunus,Kyrsö,14,1,1,1,Kyrsö (14),Kyrsö (14)
Aunus,Kalev / Kalervo,11,4,2,3,Kalervo (10); Kalervan (1),Kalervo (8); Kalervainen (2); Kalervan (1)
Aunus,Michael / Mikko / Mihkel,11,7,3,6,Mikael (7); Mikko (3); Mikki (1),Miikkula (4); Mihhail (3); Mikko (1); miikkula (1); Miikkul (1); Mikki (1)
Aunus,Untamo,8,1,1,1,Untamo (8),Untamo (8)
Aunus,Lemmingäinen,7,3,1,4,Lemmingäinen (7),Lemmingäinen (4); Lemmingäin (1); lemmingäist (1); lemmingäine (1)
Aunus,Iro,5,1,1,1,Iro (5),Iro (5)
Aunus,Tapio,5,5,2,3,Tapio (4); Tapiola (1),Tapio (3); Tapiola (1); Tapivo (1)
Aunus,Jyrri,4,4,1,1,Jyrri (4),Jyrri (4)
Aunus,Laurin,4,1,1,1,Laurin (4),Lauren (4)
Aunus,(name),3,2,1,2,(name) (3),Vasselei (2); Hoapa (1)
Aunus,Catherine / Kadri / Katri,3,2,2,3,Katri (2); Katariina (1),Katjerina (1); katji (1); Kateri (1)
Aunus,John / Jaan / Jussi / Hans,3,2,2,2,Iivana (2); jää+n (1),Iivana (2); jää+n (1)
Aunus,Kaija,3,1,1,1,Kaija (3),Kaija (3)
Aunus,Kateri,3,2,1,2,Kateri (3),Katerin (2); katerilna (1)
Aunus,Kyllikki,3,1,1,3,Kyllikki (3),kyllikkie (1); kyllikkes (1); kyllikki (1)
Aunus,Temi,3,1,1,1,Temi (3),Temi (3)
Aunus,Tiittu,3,1,1,1,Tiittu (3),Tiittu (3)
Aunus,ainoa,3,2,1,2,ainoa (3),ainoa (2); aino (1)
Aunus,(place),2,1,1,1,(place) (2),Jouhkima (2)
Aunus,(proper name),2,1,1,2,(proper name) (2),Kyökeröinen (1); Keäkeräinen (1)
Aunus,Andrew / Antti,2,2,2,2,Antti (1); Andrei (1),Antti (1); Ondrei (1)
Aunus,Anjoi,2,1,1,1,Anjoi (2),Anjoi (2)
Aunus,Annikki,2,2,1,1,Annikki (2),Annikki (2)
Aunus,Iivana,2,2,1,1,Iivana (2),Iivana (2)
Aunus,Judas / Juudas,2,1,2,1,juutas (piru) (1); juutas (1),juutas (2)
Aunus,Katshera,2,1,1,1,Katshera (2),Katsherai (2)
Aunus,Kormila,2,1,1,1,Kormila (2),Kormila (2)
Aunus,Kullervo,2,2,1,1,Kullervo (2),Kullervo (2)
Aunus,Lassi,2,1,1,1,Lassi (2),Lassi (2)
Aunus,Lyyti/Lyydia,2,1,1,1,Lyyti/Lyydia (2),Lyyli (2)
Aunus,Moaria,2,2,1,1,Moaria (2),Moaria (2)
Aunus,Ondroi,2,1,1,1,Ondroi (2),Ondroi (2)
Aunus,Osmotar,2,2,1,1,Osmotar (2),Osmotar (2)
Aunus,Päivölä,2,2,1,1,Päivölä (2),Päivölä (2)
Aunus,Tabio,2,1,1,1,Tabio (2),Tabio (2)
Aunus,Teugamoi,2,1,1,1,Teugamoi (2),Teugamoi (2)
Aunus,Ägröi,2,1,1,1,Ägröi (2),Ägröi (2)
Aunus,(personal name),1,1,1,1,(personal name) (1),Annisel (1)
Aunus,(proper noun),1,1,1,1,(proper noun) (1),Panu (1)
Aunus,Ahilla,1,1,1,1,Ahilla (1),ahilla (1)
Aunus,Ainikki,1,1,1,1,Ainikki (1),Ainikki (1)
Aunus,Aki,1,1,1,1,Aki (1),Aki (1)
Aunus,Alava,1,1,1,1,Alava (1),Alava (1)
Aunus,Alus,1,1,1,1,Alus (1),Alus (1)
Aunus,Boris,1,1,1,1,Boris (1),borissu (1)
Aunus,Dassu,1,1,1,1,Dassu (1),Dassu (1)
Aunus,Demi,1,1,1,1,Demi (1),Demi (1)
Aunus,Fedo,1,1,1,1,Fedo (1),Fedo (1)
Aunus,Johra,1,1,1,1,Johra (1),Johra (1)
Aunus,Jorosalma,1,1,1,1,Jorosalma (1),jorosalmaan (1)
Aunus,Jortana,1,1,1,1,Jortana (1),Jortana (1)
Aunus,Jyrki,1,1,1,1,Jyrki (1),jyrin (1)
Aunus,Jänölä,1,1,1,1,Jänölä (1),Jänölä (1)
Aunus,Kalerva,1,1,1,1,Kalerva (1),Kalerva (1)
Aunus,Kallervo,1,1,1,1,Kallervo (1),Kallervo (1)
Aunus,Kateriina,1,1,1,1,Kateriina (1),Kateriina (1)
Aunus,Katja,1,1,1,1,Katja (1),Katjoi (1)
Aunus,Kaunikki,1,1,1,1,Kaunikki (1),Kaunikki (1)
Aunus,Konjola,1,1,1,1,Konjola (1),Konjola (1)
Aunus,Kuobio,1,1,1,1,Kuobio (1),Kuobio (1)
Aunus,Kuudola,1,1,1,1,Kuudola (1),Kuudola (1)
Aunus,Kyllikin,1,1,1,1,Kyllikin (1),kylliken (1)
Aunus,Kyllikkiä,1,1,1,1,Kyllikkiä (1),kyllikke (1)
Aunus,Kyrsi,1,1,1,1,Kyrsi (1),Kyrsi (1)
Aunus,Lapitargo,1,1,1,1,Lapitargo (1),Lapitargo (1)
Aunus,Lemmes,1,1,1,1,Lemmes (1),Lemmes (1)
Aunus,Mahikki,1,1,1,1,Mahikki (1),Mahikki (1)
Aunus,Mandali,1,1,1,1,Mandali (1),Mandali (1)
Aunus,Marinko,1,1,1,1,Marinko (1),Marinko (1)
Aunus,Miiloitumen,1,1,1,1,Miiloitumen (1),Miiloidu-han (1)
Aunus,Miiloitumessa,1,1,1,1,Miiloitumessa (1),Miiloidu-sal (1)
Aunus,Morzha,1,1,1,1,Morzha (1),morzien (1)
Aunus,Muari,1,1,1,1,Muari (1),Muariine (1)
Aunus,Olli,1,1,1,1,Olli (1),Olli (1)
Aunus,Onni,1,1,1,1,Onni (1),Onni (1)
Aunus,Ontrei,1,1,1,1,Ontrei (1),Ontrei (1)
Aunus,Pertti,1,1,1,1,Pertti (1),Pertti (1)
Aunus,Soarelainen,1,1,1,1,Soarelainen (1),Soarelainen (1)
Aunus,Sungu,1,1,1,1,Sungu (1),Sungu (1)
Aunus,Tanu,1,1,1,1,Tanu (1),Tanu (1)
Aunus,Temminen,1,1,1,1,Temminen (1),Temminen (1)
Aunus,Tiitta,1,1,1,1,Tiitta (1),Tiitta (1)
Aunus,Turunen,1,1,1,1,Turunen (1),Turunen (1)
Aunus,Tuutsi,1,1,1,1,Tuutsi (1),Tuutsa (1)
Aunus,Tötti,1,1,1,1,Tötti (1),tötti (1)
Aunus,Vajakkalaan,1,1,1,1,Vajakkalaan (1),Vajokkalahan (1)
Aunus,Vasa,1,1,1,1,Vasa (1),Vasa (1)
Aunus,Vasilli,1,1,1,1,Vasilli (1),Vassilju (1)
Aunus,Vasko,1,1,1,1,Vasko (1),Vasko (1)
Aunus,Vemmel,1,1,1,1,Vemmel (1),Vemmel (1)
Aunus,Viedola,1,1,1,1,Viedola (1),Viedola (1)
Aunus,Virboi,1,1,1,1,Virboi (1),Virboi (1)
Aunus,Väinö,1,1,1,1,Väinö (1),Väinö (1)
Aunus,Ytti,1,1,1,1,Ytti (1),ytti (1)
Aunus,riuku-ja,1,1,1,1,riuku-ja (1),riuku-jA-ne (1)
Aunus,sofjanpoika,1,1,1,1,sofjanpoika (1),sofju-boa-boi (1)
Aunus,tsitsiliusko,1,1,1,1,tsitsiliusko (1),tsitsiliusko (1)
Etelä-Karjala,God / Jumala / Jumal,336,226,12,28,herra (162); Jumala (86); jumala (34); luoja (25); Herra (15); Luoja (6); Luojan (2); herrasta (2),herra (133); Jumala (68); jumala (41); luoja (26); Herra (13); herran (11); herra-n (8); herroil (7)
Etelä-Karjala,Ukko,234,180,3,14,ukko (203); Ukko (30); ukki (1),ukko (187); Ukko (28); uko (7); ukot (2); ukko-i-lta (1); ukki (1); uokkii (1); Ukkola (1)
Etelä-Karjala,Matthew / Matti,101,73,3,7,Matti (93); matti (7); (name) (1),Matti (85); matti (8); matti+ni (4); matin (1); Matti+lle (1); Mati (1); Mati-llä (1)
Etelä-Karjala,Elizabeth / Liisa / Liisu / Elli,77,49,5,7,Elli (50); Liisa (24); Liisu (1); Elli (proper noun) (1); Elina (1),Elli (49); Liisa (22); elli (2); Liisu (1); Ieva (1); Elinainen (1); Liisan (1)
Etelä-Karjala,Peter / Pietari / Peeter,77,65,3,14,Pietari (48); Pekka (27); Petteri (2),Pietari (37); Pekka (23); pietar (2); pietari (2); Pekko (2); Pietarii (2); Petteri (2); pekka (1)
Etelä-Karjala,Anna / Anne / Ann / Anni,68,38,4,7,Anni (65); Annin (1); Annille (1); Anna (1),Anni (61); Annin (2); tanni (1); Annilta (1); Anilta (1); Annill (1); Anna (1)
Etelä-Karjala,Thomas / Toomas / Tuomas,68,47,1,7,Tuomas (68),Tuomas (61); Tuomas+han (2); tuomaan (1); Tommo (1); Tuomaan (1); Tuoma (1); Tuomahan (1)
Etelä-Karjala,Mary / Maria / Maarja / Mari,65,45,6,10,Mari (34); Maija (12); Maria (9); Maaria (6); maija (3); meri (1),Mari (34); Maija (11); Maaria (5); Maria (5); maija (4); Maariainen (2); Muariai-sta (1); mari (1)
Etelä-Karjala,Jesus / Christ,61,42,4,16,Jeesus (52); Kristus (4); Jesus (4); kristillinen (1),Jeesus (30); Iessus (5); Jesus (5); Jiesus (4); Kristus (3); Iesus (3); Jeesu (2); Jiusus (1)
Etelä-Karjala,Simon / Siim / Simo,59,28,4,6,Simo (53); simo (3); siiman (2); simonen (1),Simo (48); simo (4); simonen (3); siima+na (2); simolt (1); Simo-lla (1)
Etelä-Karjala,Andrew / Antti,50,39,3,5,Antti (48); Antilla (1),Antti (46); Anttija (1); Anti (1); Anti (adess) (1); Antti-a (1)
Etelä-Karjala,Henry / Heikki,50,40,3,8,Heikki (47); Henrik (2); Teppo (1),Heikki (41); Henrikki (2); Heiki (2); Heikin (1); Hetti (1); heikil (1); Heiki-llä (1); Teppo (1)
Etelä-Karjala,Sarah / Saara,49,24,3,4,Saara (47); Saaraa (1); säärä (1),Saara (46); Saara-n (1); Saaraa (1); säärä (1)
Etelä-Karjala,Lauri,47,32,1,3,Lauri (47),Lauri (45); Laurim (1); lauri+m (1)
Etelä-Karjala,John / Jaan / Jussi / Hans,46,36,2,6,Jussi (45); Juhana (1),Jussi (41); Jassi (1); Juhana (1); Jusse (1); jussi (1); Jussikko-kin (1)
Etelä-Karjala,Tuoni,42,35,2,5,Tuoni (22); tuoni (20),Tuoni (20); tuoni (19); Tuoni+en (1); tuonen (1); tuuvi (1)
Etelä-Karjala,Untamo,41,7,1,4,Untamo (41),Untamo (27); untamo (10); untamon (3); untamolta (1)
Etelä-Karjala,Catherine / Kadri / Katri,40,19,3,5,Katri (26); Kaisa (13); Katriina (1),Katri (24); Kaisa (12); Katri-n (2); Katriina (1); Kaisa-lla (1)
Etelä-Karjala,Kalev / Kalervo,33,7,6,16,Kalervo (19); Kalervan (6); Kalervalla (3); Kalerva (2); Kalervainen (2); kalervo (1),Kalervo (9); kalervan (4); Kalerva (3); kalervo (3); kalerva (2); kalerval (2); Kelervaine (1); Kalervall (1)
Etelä-Karjala,Michael / Mikko / Mihkel,33,24,2,7,Mikko (32); Mikael (1),Mikko (23); Mikkel (4); Mikkeli (2); makkeli (1); miko (1); Mikkeliks (1); Mikkoo (1)
Etelä-Karjala,Eve / Eeva,16,11,2,4,Eeva (9); aatto (7),Eeva (6); aatto (6); Ieva (3); aato (1)
Etelä-Karjala,Jacob / Jaak / Jaakko,16,12,3,4,Jaakko (14); Jaakko (Jacob) (1); Jaakko+lle (1),Jaakko (13); Jaakoppi (1); Jaakko+lle (1); Jaakko-lla (1)
Etelä-Karjala,Emuli,12,1,1,1,Emuli (12),Emuli (12)
Etelä-Karjala,Kalle,11,7,1,2,Kalle (11),Kalle (10); Kalle-lla (1)
Etelä-Karjala,Alli,10,10,1,1,Alli (10),Alli (10)
Etelä-Karjala,Martin / Mart / Märt,10,7,1,3,Martti (10),Martti (6); Martti-n (2); martti (2)
Etelä-Karjala,Nicholas / Nikka / Klaus,10,9,3,4,Nikolaus (6); Nikko (3); Nikka (1),Nikolaus (5); Nikko (3); Nikka (1); Nikolavus (1)
Etelä-Karjala,Jere,9,1,1,1,Jere (9),Jere (9)
Etelä-Karjala,Väinämöinen,9,9,1,4,Väinämöinen (9),Väinämöinen (5); väinämöinen (2); Väinämöine (1); Wäinämöinen (1)
Etelä-Karjala,George / Jüri,8,7,1,5,Yrjö (8),Yrjö (4); Yrjö-n (1); Yrjänä (1); Jyrki (1); Jyri (1)
Etelä-Karjala,Eva,7,1,1,1,Eva (7),Eva (7)
Etelä-Karjala,Taneli,7,3,1,1,Taneli (7),Taneli (7)
Etelä-Karjala,(retained),6,1,1,4,(retained) (6),Kostelma (3); Sinkinen (1); Pekko (1); Maikko (1)
Etelä-Karjala,Esko,6,5,1,3,Esko (6),Esko (4); Eskon (1); Esko-ki (1)
Etelä-Karjala,Eveliko,6,1,1,1,Eveliko (6),eveliko (6)
Etelä-Karjala,Tuuteri,6,6,1,1,Tuuteri (6),Tuuteri (6)
Etelä-Karjala,Elias / Eljas,5,5,4,4,Eljas (2); Eelis (1); Elias (1); Eeli (1),Eljas (2); Eelis (1); Elias (1); Eeli (1)
Etelä-Karjala,Laamanen,5,4,1,3,Laamanen (5),Laamanen (3); Laaman (1); Laamane (1)
Etelä-Karjala,Martti,5,5,1,1,Martti (5),Martti (5)
Etelä-Karjala,Pekko,5,4,1,2,Pekko (5),Pekko (3); pekolle (2)
Etelä-Karjala,Tonkka,5,1,1,1,Tonkka (5),Tonkka (5)
Etelä-Karjala,Vappu,5,1,1,2,Vappu (5),Vappu (4); Vappu+sta (1)
Etelä-Karjala,Ahti,4,4,1,1,Ahti (4),Ahti (4)
Etelä-Karjala,Eero,4,3,1,1,Eero (4),Eero (4)
