person_cluster,person_category,same_person_confidence,standard_lemma,local_lemma,word_normalised,root,word_in_english,mentions,poems,counties,county_counts,place_counts
Ukko,mythic_or_religious_deity,medium,ukko,ukko,ukko,ukko,old man,931,692,22,Etelä-Savo (149); Laatokan Karjala (Raja-Karjala) (131); Etelä-Karjala (105); Pohjois-Karjala (103); Viena (65); Itä- ja Pohjois-Inkeri (51); Pohjois-Savo (48); Länsi-Inkeri (46),Suistamo (63); Narvusi (28); Vuokkiniemi (25); Juva (23); Ilomantsi (23); Saarijärvi (23); Lempaala (19); Suojärvi (18)
God / Jumala / Jumal,religious_title_or_deity,medium,herra,herra,herra,herra,lord,691,460,31,Itä- ja Pohjois-Inkeri (63); Länsi-Inkeri (58); Keski-Inkeri (55); Virumaa (52); Varsinais-Suomi (49); Pohjois-Karjala (48); Laatokan Karjala (Raja-Karjala) (45); Etelä-Karjala (32),Vuole (29); Soikkola (27); Narvusi (23); Lempaala (20); Kivennapa (15); Impilahti (14); Karula (13); Kaprio (13)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumala,Jumala,Jumala,Jumala,God,542,426,20,Länsi-Inkeri (98); Pohjois-Karjala (90); Laatokan Karjala (Raja-Karjala) (79); Itä- ja Pohjois-Inkeri (55); Etelä-Savo (48); Keski-Inkeri (45); Etelä-Karjala (30); Pohjois-Savo (21),Narvusi (55); Lempaala (35); Suistamo (32); Ilomantsi (30); Soikkola (25); Korpiselkä (18); Kattila (17); Kitee (14)
God / Jumala / Jumal,religious_title_or_deity,medium,härra,härra,härra,härra,lord,415,258,11,Virumaa (69); Pärnumaa (67); Viljandimaa (66); Tartumaa (56); Järvamaa (38); Harjumaa (36); Läänemaa (28); Saaremaa (19),Haljala (19); Ambla (16); Põltsamaa (16); Viljandi (15); Halliste (15); Saarde (13); Laiuse (12); Pärnu (12)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Mari,Mari,Mari,Mari,Mari,411,242,19,Viljandimaa (69); Virumaa (56); Pärnumaa (46); Harjumaa (45); Tartumaa (41); Läänemaa (30); Võrumaa (24); Järvamaa (22),Risti (18); Jõhvi (17); Kolga-Jaani (12); Suure-Jaani (12); Tori (11); Narvusi (11); Pohjois-Pohjanmaa (11); Rõuge (10)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumala,Jumala,Jumalan,Jumala,God's,387,285,19,Laatokan Karjala (Raja-Karjala) (84); Pohjois-Karjala (69); Länsi-Inkeri (60); Aunus (26); Viena (23); Pohjois-Savo (21); Etelä-Savo (18); Keski-Inkeri (17),Suistamo (43); Narvusi (30); Soikkola (28); Ilomantsi (28); Repola (21); Suojärvi (16); Vuokkiniemi (14); Korpiselkä (12)
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Anne,Anne,Anne,Anne,358,184,11,Viljandimaa (110); Pärnumaa (72); Tartumaa (48); Virumaa (40); Järvamaa (29); Harjumaa (21); Saaremaa (13); Läänemaa (11),Karksi (28); Paistu (26); Kolga-Jaani (20); Helme (15); Halliste (13); Kadrina (13); Koeru (12); Põltsamaa (12)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöinen,Väinämöinen,Väinämöinen,Väinämöinen,340,191,18,Pohjois-Karjala (135); Laatokan Karjala (Raja-Karjala) (83); Pohjois-Savo (24); Aunus (23); Viena (18); Etelä-Savo (16); Pohjois-Pohjanmaa (7); Keski-Inkeri (7),Ilomantsi (84); Suistamo (31); Suojärvi (18); Vuokkiniemi (16); Korpiselkä (16); Kesälahti (14); Impilahti (11); Rääkkylä (9)
Jesus / Christ,biblical_religious,high,Jeesus,Jeesus,Jeesus,Jeesus,Jesus,311,190,29,Laatokan Karjala (Raja-Karjala) (44); Võrumaa (34); Pohjois-Karjala (29); Itä- ja Pohjois-Inkeri (26); Virumaa (22); Pärnumaa (21); Viljandimaa (19); Tartumaa (17),Suistamo (24); Vastseliina (19); Lempaala (19); Setumaa (14); Urvaste (14); Salmi (10); Viljandi (9); Ilomantsi (9)
Mary / Maria / Maarja / Mari,biblical_religious,medium,mari,mari,marja,mari,berry,307,216,11,Virumaa (88); Harjumaa (45); Viljandimaa (44); Pärnumaa (36); Tartumaa (19); Võrumaa (18); Läänemaa (16); Setumaa (13),Haljala (33); Kuusalu (27); Kadrina (15); Helme (14); Setumaa (13); Karksi (10); Halliste (9); Vaivara (9)
God / Jumala / Jumal,religious_title_or_deity,medium,jumal,jumal,jumal,jumal,God,296,232,12,Virumaa (54); Pärnumaa (47); Viljandimaa (40); Järvamaa (32); Tartumaa (32); Harjumaa (28); Läänemaa (25); Võrumaa (13),Koeru (13); Tori (11); Haljala (10); Tarvastu (10); Karksi (8); Jõhvi (8); Risti (8); Simuna (7)
Matthew / Matti,given_name_family,medium,Matti,Matti,Matti,Matti,Matti,287,202,21,Keski-Suomi (58); Häme (24); Etelä-Karjala (24); Aunus (22); Keski-Inkeri (19); Itä- ja Pohjois-Inkeri (17); Länsi-Inkeri (17); Peräpohjola (15),Saarijärvi (54); Narvusi (14); Porajärvi (13); Kivennapa (8); Repola (7); Suojärvi (7); Kerimäki (5); Moloskovitsa (5)
God / Jumala / Jumal,religious_title_or_deity,medium,herra,herra,herran,herra,lord's,280,237,20,Keski-Inkeri (34); Varsinais-Suomi (27); Itä- ja Pohjois-Inkeri (27); Länsi-Inkeri (25); Etelä-Pohjanmaa (25); Pohjois-Karjala (21); Satakunta (19); Laatokan Karjala (Raja-Karjala) (18),Narvusi (14); Vuole (12); Suojärvi (10); Moloskovitsa (9); Soikkola (9); Kaprio (8); Saarijärvi (6); Uskela (6)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumal,Jumal,Jumal,Jumal,God,219,178,10,Viljandimaa (39); Virumaa (37); Pärnumaa (36); Harjumaa (26); Tartumaa (22); Saaremaa (17); Järvamaa (15); Võrumaa (11),Väike-Maarja (10); Risti (9); Saarde (9); Karksi (9); Harju-Jaani (7); Paistu (7); Viljandi (7); Pöide (7)
Catherine / Kadri / Katri,given_name_family_or_saint,medium,Kadri,Kadri,Kadri,Kadri,Kadri,202,64,10,Viljandimaa (75); Pärnumaa (37); Läänemaa (18); Järvamaa (18); Võrumaa (18); Virumaa (16); Tartumaa (10); Saaremaa (5),Helme (17); Paistu (16); Suure-Jaani (11); Viljandimaa (9); Karuse (9); Türi (9); Põlva (9); Põltsamaa (9)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Ann,Ann,Ann,Ann,181,96,10,Läänemaa (46); Viljandimaa (31); Saaremaa (22); Virumaa (19); Tartumaa (17); Järvamaa (17); Pärnumaa (11); Harjumaa (7),Pühalepa (11); Varbla (10); Käina (9); Koeru (7); Võnnu (7); Põltsamaa (6); Karja (6); Muhu (6)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,Antti,Antti,178,155,18,Pohjois-Savo (28); Pohjois-Karjala (26); Etelä-Savo (16); Etelä-Karjala (14); Satakunta (14); Pohjois-Pohjanmaa (10); Itä- ja Pohjois-Inkeri (10); Kainuu (9),Sonkajärvi (8); Pyhäjärvi Vpl. (6); Leppävirta (6); Saarijärvi (5); Vuole (5); Rantsila (4); Kauvatsa (4); Nurmes (4)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Mari,Mari,Mari,Mari,Mary,177,104,19,Viljandimaa (57); Virumaa (25); Tartumaa (18); Harjumaa (17); Järvamaa (12); Läänemaa (9); Etelä-Karjala (7); Võrumaa (6),Viljandi (19); Põltsamaa (11); Pilistvere (9); Paistu (8); Kadrina (7); Jõelähtme (6); Kolga-Jaani (5); Järva-Jaani (4)
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,Jussi,Jussi,Jussi,Jussi,Jussi,171,143,20,Pohjois-Savo (30); Häme (29); Pohjois-Karjala (18); Satakunta (12); Varsinais-Suomi (12); Etelä-Savo (12); Viena (10); Etelä-Karjala (10),Vuokkiniemi (9); Kiuruvesi (8); Tammela (5); Saarijärvi (4); Uskela (4); Leppävirta (4); Nurmes (4); Kangasniemi (4)
Catherine / Kadri / Katri,given_name_family_or_saint,medium,Katri,Katri,Katri,Katri,Katri,163,26,9,Viljandimaa (102); Keski-Inkeri (19); Etelä-Karjala (12); Virumaa (10); Laatokan Karjala (Raja-Karjala) (7); Itä- ja Pohjois-Inkeri (7); Länsi-Inkeri (3); Võrumaa (2),Viljandimaa (50); Paistu (50); Haljala (10); Pyhäjärvi Vpl. (7); Venjoki (7); Koprina (6); Koivisto (4); Sortavala (3)
Väinämöinen,mythic_epic,high,Väinämöinen,Väinämöinen,Väinämöisen,Väinämöinen,Väinämöinen's,156,123,14,Pohjois-Karjala (65); Laatokan Karjala (Raja-Karjala) (31); Viena (21); Kainuu (7); Pohjois-Savo (7); Aunus (4); Keski-Suomi (4); Pohjois-Pohjanmaa (4),Ilomantsi (20); Suistamo (16); Kitee (11); Kesälahti (10); Vuokkiniemi (8); Kaavi (5); Pistojärvi (4); Haapajärvi (4)
God / Jumala / Jumal,religious_title_or_deity,medium,herra,herra,herra,herra,master,154,125,27,Varsinais-Suomi (21); Peräpohjola (20); Itä- ja Pohjois-Inkeri (14); Etelä-Karjala (10); Pohjois-Karjala (9); Länsi-Inkeri (9); Virumaa (8); Keski-Inkeri (8),Kemi (8); Narvusi (6); Vuole (6); Vuokkiniemi (4); Lempaala (4); Suistamo (4); Kontiolahti (4); Yläne (4)
Martin / Mart / Märt,given_name_family,medium,märt,märti,märti,märt,(refrain),154,2,1,Viljandimaa (154),Helme (66); Viljandimaa (44); Paistu (44)
George / Jüri,given_name_family_or_saint,medium,Jüri,Jüri,Jüri,Jüri,Jüri,148,82,8,Viljandimaa (30); Virumaa (26); Pärnumaa (21); Tartumaa (18); Läänemaa (16); Järvamaa (14); Harjumaa (14); Saaremaa (9),Helme (8); Vigala (7); Kolga-Jaani (7); Harju-Jaani (6); Muhu (6); Kursi (6); Vaivara (5); Viru-Nigula (5)
Henry / Heikki,given_name_family_or_saint,medium,Heikki,Heikki,Heikki,Heikki,Heikki,148,121,15,Etelä-Savo (24); Pohjois-Savo (19); Pohjois-Karjala (17); Häme (13); Peräpohjola (11); Etelä-Pohjanmaa (9); Pohjois-Pohjanmaa (9); Etelä-Karjala (8),Kauhava (5); Kiuruvesi (5); Heinävesi (5); Leppävirta (4); Pohjois-Karjala (4); Virtasalmi (4); Karunki (4); Saarijärvi (3)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Maria,Maria,Maria,Maria,Mary,145,121,24,Laatokan Karjala (Raja-Karjala) (24); Pohjois-Savo (13); Virumaa (12); Pohjois-Karjala (12); Etelä-Savo (11); Länsi-Inkeri (10); Viljandimaa (8); Järvamaa (7),Narvusi (9); Suistamo (6); Suojärvi (6); Kiuruvesi (6); Põltsamaa (5); Korpiselkä (5); Järva-Jaani (4); Laiuse (4)
Peter / Pietari / Peeter,given_name_family_or_biblical,medium,Pekka,Pekka,Pekka,Pekka,Pekka,142,135,15,Pohjois-Savo (38); Pohjois-Karjala (27); Etelä-Savo (25); Etelä-Karjala (10); Kainuu (7); Pohjois-Pohjanmaa (6); Aunus (6); Keski-Suomi (5),Sonkajärvi (10); Nurmes (8); Leppävirta (7); Porajärvi (6); Heinävesi (5); Pielavesi (4); Kiuruvesi (3); Virtasalmi (3)
Peter / Pietari / Peeter,given_name_family_or_biblical,medium,Pietari,Pietari,Pietari,Pietari,Peter,136,104,16,Laatokan Karjala (Raja-Karjala) (36); Häme (17); Pohjois-Karjala (15); Varsinais-Suomi (11); Keski-Inkeri (9); Satakunta (8); Etelä-Savo (7); Pohjois-Savo (6),Korpiselkä (13); Salmi (9); Ilomantsi (7); Suistamo (6); Toijala (4); Soanlahti (4); Suojärvi (4); Uskela (3)
Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,Liisu,Liisu,Liisu,Liisu,Liisu,135,91,11,Pärnumaa (25); Tartumaa (20); Harjumaa (20); Virumaa (19); Läänemaa (12); Viljandimaa (12); Järvamaa (12); Saaremaa (7),Kose (7); Vändra (6); Haljala (6); Paistu (6); Tõstamaa (5); Väike-Maarja (5); Häädemeeste (5); Räpina (5)
God / Jumala / Jumal,religious_title_or_deity,medium,jumala,jumala,Jumala,jumala,God,132,115,16,Laatokan Karjala (Raja-Karjala) (32); Itä- ja Pohjois-Inkeri (21); Länsi-Inkeri (18); Pohjois-Karjala (16); Keski-Inkeri (14); Etelä-Karjala (9); Etelä-Savo (4); Viena (3),Suistamo (14); Narvusi (13); Suojärvi (8); Lempaala (8); Toksova (7); Korpiselkä (5); Soikkola (4); Keski-Inkeri (4)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumala,Jumala,Jumala,jumala,God,126,116,20,Laatokan Karjala (Raja-Karjala) (24); Pohjois-Karjala (22); Länsi-Inkeri (16); Etelä-Savo (12); Itä- ja Pohjois-Inkeri (10); Keski-Inkeri (9); Pohjois-Savo (5); Etelä-Karjala (4),Suistamo (13); Narvusi (12); Vuole (5); Juva (5); Kaavi (5); Ilomantsi (3); Pielisjärvi (3); Soikkola (3)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Maaria,Maaria,Maaria,Maria,Mary,126,98,18,Länsi-Inkeri (28); Pohjois-Karjala (21); Laatokan Karjala (Raja-Karjala) (20); Keski-Inkeri (15); Aunus (12); Häme (7); Harjumaa (3); Itä- ja Pohjois-Inkeri (3),Narvusi (19); Kaprio (13); Suojärvi (9); Soikkola (9); Suistamo (5); Ilomantsi (5); Nurmes (5); Tulemajärvi (4)
Henry / Heikki,given_name_family_or_saint,medium,Heikki,Heikki,Heikin,Heikki,Heikki's,125,117,16,Satakunta (23); Peräpohjola (18); Häme (17); Varsinais-Suomi (12); Pohjois-Savo (9); Itä- ja Pohjois-Inkeri (8); Etelä-Karjala (7); Etelä-Savo (6),Rovaniemi (8); Leppävirta (6); Itä- ja Pohjois-Inkeri (5); Kiikoinen (4); Alatornio (4); Kemi (4); Nakkila (3); Hyvinkää (3)
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,Hans,Hans,Hans,Hans,Hans,124,65,9,Viljandimaa (42); Tartumaa (18); Harjumaa (14); Pärnumaa (13); Järvamaa (12); Saaremaa (12); Läänemaa (4); Virumaa (3),Põltsamaa (12); Võnnu (9); Tarvastu (7); Kose (7); Karja (7); Ambla (5); Audru (5); Viljandi (5)
God / Jumala / Jumal,religious_title_or_deity,medium,Herra,Herra,Herran,Herra,Lord's,123,105,17,Pohjois-Karjala (20); Häme (18); Laatokan Karjala (Raja-Karjala) (13); Varsinais-Suomi (10); Etelä-Savo (10); Pohjois-Savo (9); Keski-Suomi (8); Kainuu (6),Suistamo (7); Saarijärvi (5); Ilomantsi (5); Narvusi (5); Vuole (4); Pielisjärvi (4); Viena (3); Kiuruvesi (3)
Kirsti,unmapped_possible_person_name,low,Kirsti,Kirsti,Kirsti,Kirsti,Kirsti,122,30,9,Satakunta (94); Varsinais-Suomi (18); Keski-Inkeri (3); Häme (2); Pohjois-Savo (1); Länsi-Inkeri (1); Itä- ja Pohjois-Inkeri (1); Etelä-Savo (1),Karkku (37); Tyrvää (26); Vesilahti (16); Marttila (16); Tottijärvi (10); Lempäälä (5); Uskela (1); Sonkajärvi (1)
Jesus / Christ,biblical_religious,high,Jesus,Jesus,Jesus,Jesus,Jesus,119,84,21,Häme (16); Itä- ja Pohjois-Inkeri (15); Laatokan Karjala (Raja-Karjala) (15); Pohjois-Karjala (15); Länsi-Inkeri (12); Etelä-Savo (8); Keski-Inkeri (6); Etelä-Pohjanmaa (4),Narvusi (11); Lempaala (7); Soanlahti (5); Sakkola (4); Vuole (4); Suistamo (4); Isokyrö (3); Piippola (3)
God / Jumala / Jumal,religious_title_or_deity,medium,jumal,jumal,Jumal,jumal,God,117,84,11,Virumaa (23); Viljandimaa (22); Tartumaa (14); Pärnumaa (13); Järvamaa (13); Harjumaa (12); Läänemaa (8); Saaremaa (6),Suure-Jaani (8); Haljala (7); Türi (5); Ambla (5); Jõhvi (4); Risti (4); Saarde (4); Pilistvere (4)
Ukko,mythic_or_religious_deity,medium,Ukko,Ukko,Ukko,Ukko,Ukko,116,111,18,Laatokan Karjala (Raja-Karjala) (33); Pohjois-Karjala (22); Aunus (8); Häme (7); Etelä-Savo (7); Pohjois-Savo (6); Peräpohjola (6); Etelä-Karjala (5),Suistamo (8); Impilahti (7); Suojärvi (6); Kitee (5); Soikkola (5); Sortavala (4); Repola (4); Korpiselkä (4)
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,Jaan,Jaan,Jaan,Jaan,Jaan,115,64,10,Läänemaa (41); Viljandimaa (16); Harjumaa (14); Tartumaa (14); Saaremaa (7); Järvamaa (5); Pärnumaa (5); Virumaa (4),Karuse (12); Hanila (10); Risti (8); Lihula (6); Mihkli (5); Märjamaa (4); Viljandi (4); Muhu (3)
Martin / Mart / Märt,given_name_family,medium,Märt,Märti,Märti,Märt,Martin,114,2,1,Viljandimaa (114),Helme (69); Paistu (45)
God / Jumala / Jumal,religious_title_or_deity,medium,Herra,Herra,Herra,Herra,Lord,113,86,17,Pohjois-Karjala (39); Laatokan Karjala (Raja-Karjala) (17); Etelä-Savo (10); Itä- ja Pohjois-Inkeri (8); Satakunta (6); Häme (6); Etelä-Karjala (4); Keski-Suomi (4),Ilomantsi (11); Suistamo (9); Lempaala (6); Kitee (5); Korpiselkä (5); Rääkkylä (5); Kaavi (4); Savonranta (3)
God / Jumala / Jumal,religious_title_or_deity,medium,Jumala,jumala,Jumala,jumala,God,112,87,12,Länsi-Inkeri (28); Itä- ja Pohjois-Inkeri (19); Keski-Inkeri (19); Laatokan Karjala (Raja-Karjala) (16); Viena (7); Etelä-Karjala (5); Pohjois-Savo (5); Pohjois-Karjala (4),Narvusi (13); Soikkola (10); Lempaala (9); Suojärvi (7); Vuole (6); Moloskovitsa (6); Impilahti (5); Kattila (4)
Mary / Maria / Maarja / Mari,biblical_religious,medium,mari,marja,marja,mari,berry,112,68,8,Virumaa (25); Tartumaa (25); Setumaa (17); Pärnumaa (12); Võrumaa (11); Viljandimaa (9); Harjumaa (7); välismaa (4),Setumaa (17); Puhja (10); Rannu (10); Kuusalu (7); Haljala (7); Lüganuse (6); Viru-Nigula (5); Tarvastu (5)
Peter / Pietari / Peeter,given_name_family_or_biblical,medium,Peeter,Peeter,Peeter,Peeter,Peter,112,73,10,Virumaa (26); Tartumaa (21); Pärnumaa (18); Viljandimaa (12); Harjumaa (10); Saaremaa (8); Läänemaa (5); Võrumaa (5),Karksi (11); Jõhvi (8); Halliste (6); Võnnu (5); Põlva (5); Kadrina (4); Suure-Jaani (4); Torma (4)
Martin / Mart / Märt,given_name_family,medium,Märti,Märti,Märti,Märt,Märti,111,2,1,Viljandimaa (111),Tarvastu (92); Helme (19)
Mary / Maria / Maarja / Mari,biblical_religious,medium,mari,mari,marjad,mari,berries,111,86,10,Harjumaa (30); Virumaa (17); Viljandimaa (14); Järvamaa (13); Tartumaa (13); Pärnumaa (9); Läänemaa (6); Saaremaa (5),Kuusalu (11); Kolga-Jaani (7); Harju-Jaani (7); Järva-Madise (5); Väike-Maarja (5); Kadrina (4); Laiuse (3); Palamuse (3)
Martin / Mart / Märt,given_name_family,medium,Mart,Mart,Mart,Mart,Mart,109,47,9,Pärnumaa (41); Virumaa (29); Harjumaa (12); Viljandimaa (7); Läänemaa (5); Saaremaa (5); Järvamaa (4); Tartumaa (4),Pärnu l. (14); Haljala (11); Saarde (10); Tori (8); Väike-Maarja (7); Jõhvi (6); Audru (6); Kuusalu (4)
God / Jumala / Jumal,religious_title_or_deity,medium,herra,herra,herrat,herra,lords,108,84,16,Länsi-Inkeri (22); Itä- ja Pohjois-Inkeri (16); Etelä-Savo (16); Keski-Inkeri (15); Etelä-Karjala (9); Keski-Suomi (6); Satakunta (6); Viena (3),Narvusi (12); Juva (9); Soikkola (8); Lempaala (7); Vuole (4); Tyrö (4); Keuruu (4); Petäjävesi (4)
Kaie,unmapped_possible_person_name,low,Kaie,Kaie,Kaie,Kaie,Kaie,107,65,9,Virumaa (23); Viljandimaa (20); Järvamaa (15); Pärnumaa (14); Tartumaa (12); Harjumaa (10); Läänemaa (6); Saaremaa (6),Kadrina (8); Paistu (6); Paide (6); Põltsamaa (6); Väike-Maarja (5); Kose (5); Kolga-Jaani (4); Karksi (4)
Nicholas / Nikka / Klaus,given_name_family,low,Klaus,Klaus,Klaus,Klaus,Klaus,106,21,2,Satakunta (83); Varsinais-Suomi (23),Tyrvää (39); Karkku (26); Marttila (22); Vesilahti (18); Yläne (1)
Thomas / Toomas / Tuomas,given_name_family_or_biblical,medium,Tuomas,Tuomas,Tuomas,Tuomas,Thomas,104,83,15,Etelä-Savo (17); Peräpohjola (15); Etelä-Karjala (14); Itä- ja Pohjois-Inkeri (11); Häme (10); Varsinais-Suomi (10); Pohjois-Karjala (6); Pohjois-Pohjanmaa (5),Kerimäki (10); Peräpohjola (6); Rautu (5); Rovaniemi (3); Kivennapa (3); Kuusalu (2); Haljala (2); Juva (2)
Catherine / Kadri / Katri,given_name_family_or_saint,medium,Kadri,Kadri,Kadri,Katariina,Kadri,102,20,10,Pärnumaa (25); Viljandimaa (22); Läänemaa (19); Virumaa (10); Setumaa (4); Järvamaa (4); Võrumaa (4); Tartumaa (3),Helme (22); Karksi (16); Märjamaa (10); Halliste (9); Karuse (9); Haljala (8); Setumaa (4); Peetri (4)
God / Jumala / Jumal,religious_title_or_deity,medium,jumala,jumala,jumala,jumala,God,102,81,11,Länsi-Inkeri (20); Laatokan Karjala (Raja-Karjala) (17); Keski-Inkeri (16); Viena (11); Itä- ja Pohjois-Inkeri (9); Etelä-Karjala (8); Pohjois-Karjala (8); Etelä-Savo (5),Soikkola (8); Narvusi (7); Suistamo (7); Vuokkiniemi (7); Impilahti (5); Kattila (4); Lempaala (4); Tyrvää (3)
Jesus / Christ,biblical_religious,high,Jeesus,Jeesus,Jeesuksen,Jeesus,Jesus's,100,91,15,Pohjois-Karjala (22); Laatokan Karjala (Raja-Karjala) (17); Pohjois-Savo (10); Häme (9); Viena (8); Länsi-Inkeri (6); Itä- ja Pohjois-Inkeri (6); Pohjois-Pohjanmaa (4),Suistamo (11); Narvusi (6); Ilomantsi (6); Lempaala (4); Tohmajärvi (3); Vuokkiniemi (3); Korpiselkä (3); Pielisjärvi (3)
Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,Liisa,Liisa,Liisa,Liisa,Liisa,98,65,24,Tartumaa (12); Harjumaa (9); Etelä-Savo (9); Virumaa (8); Laatokan Karjala (Raja-Karjala) (8); Etelä-Karjala (7); Pohjois-Karjala (6); Häme (6),Torma (6); Suistamo (6); Jõelähtme (5); Kuusalu (4); Uusikirkko Vpl. (4); Padasjoki (4); Lemi (4); Mustjala (3)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Maarja,Maarja,Maarja,Maarja,Mary,95,55,11,Pärnumaa (25); Viljandimaa (18); Setumaa (15); Virumaa (9); Tartumaa (7); Läänemaa (6); Harjumaa (5); Võrumaa (5),Setumaa (15); Karksi (12); Halliste (6); Paistu (5); Räpina (5); Pärnu-Jaagupi (4); Narva l. (4); Helme (4)
God / Jumala / Jumal,religious_title_or_deity,medium,luoja,luoja,luoja,luoda,creator,93,69,12,Laatokan Karjala (Raja-Karjala) (24); Länsi-Inkeri (23); Pohjois-Savo (11); Pohjois-Karjala (9); Etelä-Savo (6); Viena (5); Keski-Inkeri (5); Etelä-Karjala (3),Narvusi (14); Suistamo (7); Suojärvi (7); Soikkola (5); Vuokkiniemi (5); Impilahti (5); Leppävirta (5); Kitee (4)
Tuoni,mythic_deity,high,tuoni,tuoni,tuonen,tuoni,death's,92,77,13,Pohjois-Karjala (24); Laatokan Karjala (Raja-Karjala) (17); Etelä-Karjala (12); Pohjois-Savo (8); Kainuu (7); Etelä-Savo (7); Keski-Suomi (4); Aunus (4),Suistamo (7); Paltamo (5); Kitee (5); Metsäpirtti (4); Repola (4); Juva (4); Korpiselkä (4); Kesälahti (4)
God / Jumala / Jumal,religious_title_or_deity,medium,jumala,jumala,jumala,jumala,god,91,80,14,Laatokan Karjala (Raja-Karjala) (26); Pohjois-Karjala (16); Länsi-Inkeri (12); Etelä-Karjala (8); Etelä-Savo (6); Viena (4); Pohjois-Savo (4); Pohjois-Pohjanmaa (3),Suistamo (9); Impilahti (8); Narvusi (8); Ilomantsi (5); Salmi (4); Kitee (4); Jääski (4); Juva (4)
Ukko,mythic_or_religious_deity,medium,ukko,ukko,ukko,*ukko,old man,87,69,17,Pohjois-Karjala (22); Etelä-Savo (14); Etelä-Karjala (11); Laatokan Karjala (Raja-Karjala) (9); Itä- ja Pohjois-Inkeri (5); Viena (4); Keski-Suomi (4); Pohjois-Savo (3),Liperi (4); Saarijärvi (3); Ilomantsi (3); Kiihtelysvaara (3); Vuole (3); Suojärvi (3); Kitee (3); Sortavala (2)
Kai,unmapped_possible_person_name,low,Kai,Kai,Kai,Kai,Kai,85,57,9,Virumaa (16); Järvamaa (13); Viljandimaa (10); Harjumaa (9); Tartumaa (9); Pärnumaa (8); Läänemaa (7); Võrumaa (3),Kose (5); Tori (5); Väike-Maarja (4); Viljandi l. (4); Peetri (4); Haljala (4); Rannu (3); Türi (3)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Maarja,Maarja,Maarja,Maarja,Mary's,85,54,11,Viljandimaa (15); Võrumaa (15); Pärnumaa (10); Tartumaa (9); Setumaa (8); Virumaa (8); Läänemaa (8); Harjumaa (4),Vastseliina (10); Setumaa (8); Karksi (6); Paistu (6); Haljala (6); Helme (4); Räpina (3); Türi (3)
John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,Ants,Ants,Ants,Ants,Ants,84,64,10,Virumaa (16); Viljandimaa (15); Harjumaa (12); Läänemaa (10); Võrumaa (9); Tartumaa (9); Pärnumaa (5); Järvamaa (4),Viljandi (8); Haljala (6); Märjamaa (4); Rõuge (4); Sangaste (4); Vaivara (3); Koeru (3); Tarvastu (3)
Martin / Mart / Märt,given_name_family,medium,märt,marti,marti,Mardus (Latin),Martin,82,1,1,Tartumaa (82),Torma (82)
Martin / Mart / Märt,given_name_family,medium,Mart,Mart,Mart,Mart,Martin,81,29,6,Pärnumaa (34); Virumaa (24); Viljandimaa (7); Harjumaa (6); Läänemaa (5); Järvamaa (4),Vändra (17); Tori (11); Viru-Jaagupi (6); Väike-Maarja (5); Ambla (4); Põltsamaa (4); Haljala (4); Pärnu-Jaagupi (3)
Mary / Maria / Maarja / Mari,biblical_religious,medium,Maija,Maija,Maija,Maija,Maija,81,46,15,Länsi-Inkeri (39); Varsinais-Suomi (5); Pohjois-Karjala (5); Häme (4); Satakunta (4); Keski-Suomi (4); Etelä-Savo (3); Peräpohjola (3),Narvusi (39); Saarijärvi (4); Kivennapa (2); Ranua (2); Pudasjärvi (2); Yläne (2); Asikkala (1); Hyvinkää (1)
Martin / Mart / Märt,given_name_family,medium,Märt,Märti,Märti,Proper name,Märti,80,1,1,Viljandimaa (80),Helme (80)
Michael / Mikko / Mihkel,given_name_family,medium,Mikko,Mikko,Mikko,Mikko,Mikko,80,72,15,Peräpohjola (22); Häme (16); Etelä-Karjala (9); Itä- ja Pohjois-Inkeri (6); Etelä-Savo (5); Pohjois-Savo (4); Pohjois-Pohjanmaa (4); Keski-Inkeri (3),Kemi (6); Hattula (5); Alatornio (4); Sonkajärvi (3); Kivennapa (3); Turtola (3); Peräpohjola (3); Uusikirkko Vpl. (3)
Martin / Mart / Märt,given_name_family,medium,Märt,Märt,Märti,Märt,Märt,79,5,3,Viljandimaa (72); Tartumaa (6); Pärnumaa (1),Tarvastu (48); Paistu (11); Viljandi (11); Äksi (6); Kolga-Jaani (2); Karksi (1)
