person_cluster,person_category,same_person_confidence,standard_lemma,local_lemma,word_normalised,root,word_in_english,mentions,poems,counties,county_counts,place_counts
Tiit,unmapped_possible_person_name,low,Tiit,Tiit,Tiit,Tiit (proper noun),Tiit,4,3,3,Setumaa (2); Võrumaa (1); Etelä-Savo (1),Setumaa (2); Võrumaa (1); Heinävesi (1)
Tipunipu,unmapped_possible_person_name,low,Tipunipu,Tipunipu,Tipunipu,Proper name,Tipu-nipu,4,1,1,Saaremaa (4),Muhu (4)
Tooni,unmapped_possible_person_name,low,Tooni,Tooni,Tooni,Proper name,Tooni's,4,1,1,Setumaa (4),Setumaa (4)
Tormio,unmapped_possible_person_name,low,Tormio,Tormio,Tormion,(proper noun),Tormio's,4,2,3,Länsi-Inkeri (2); Itä- ja Pohjois-Inkeri (1); Keski-Inkeri (1),Itä- ja Pohjois-Inkeri (1); Keski-Inkeri (1); Länsi-Inkeri (1); Narvusi (1)
Tsiimani,unmapped_possible_person_name,low,Tsiimani,Tsiimani,Tsiimani,(proper name),Tsiimani,4,1,1,Tartumaa (4),Sangaste (4)
Tuoni,mythic_deity,high,Tuoni,Tuonelta,Tuonelta,Tuoni,from Tuoni,4,2,1,Länsi-Inkeri (4),Soikkola (4)
Tuoni,mythic_deity,high,Tuoni,Tuonen,Tuonen,Tuoni,Death's,4,2,2,Keski-Inkeri (2); Etelä-Savo (2),Kaprio (2); Etelä-Savo (2)
Tuoni,mythic_deity,high,Tuoni,Tuonen,Tuonen,Tuoni,of Tuoni,4,4,3,Häme (2); Itä- ja Pohjois-Inkeri (1); Laatokan Karjala (Raja-Karjala) (1),Keltto (1); Hausjärvi (1); Suistamo (1); Joutsa (1)
Tuoni,mythic_deity,high,Tuoni,Tuoni,Tuonen,(proper),Tuoni's,4,1,1,Pohjois-Karjala (4),Ilomantsi (4)
Tuoni,mythic_deity,high,Tuoni,Tuoni,Tuonen,Tuoni,death's,4,4,2,Pohjois-Karjala (3); Keski-Inkeri (1),Kitee (1); Venjoki (1); Nurmes (1); Ilomantsi (1)
Tuoni,mythic_deity,high,tuoni,tuoni,tuonen,*tooni,of death,4,4,3,Pohjois-Karjala (2); Laatokan Karjala (Raja-Karjala) (1); Metsäsuomalaisten alue (1),Ilomantsi (1); Kitee (1); Suistamo (1); Nyskoga (1)
Tuoni,mythic_deity,high,tuoni,tuoni,tuonen,*tuoni,death's,4,4,4,Etelä-Karjala (1); Länsi-Inkeri (1); Etelä-Savo (1); Pohjois-Karjala (1),Kivennapa (1); Soikkola (1); Juva (1); Kaavi (1)
Tuoni,mythic_deity,high,tuoni,tuoni,tuonen,tuoni,death,4,4,4,Etelä-Karjala (1); Etelä-Savo (1); Laatokan Karjala (Raja-Karjala) (1); Häme (1),Kaukola (1); Juva (1); Suojärvi (1); Iitti (1)
Tuura,unmapped_possible_person_name,low,Tuura,Tuura,Tuura,Proper name,Tuura,4,1,1,Länsi-Inkeri (4),Narvusi (4)
Tuuri,unmapped_possible_person_name,low,Tuuri,Tuuri,Tuurin,*Tuuri (proper noun),Tuuri's,4,4,1,Häme (4),Hattula (2); Orimattila (1); Loppi (1)
