unified_name,Estonia core/west,South Estonia/Seto,Finland/Savo-Karelia,Ingria,East Karelia/Veps/Tver,Other/unclear
Mary / Maria / Maarja / Mari,0.4584238593719139,0.1072486667983409,0.2036342089670156,0.14003555204424253,0.07347422476792416,0.017183488050562908
Jesus / Christ,0.13243847874720358,0.07516778523489932,0.4053691275167785,0.167337807606264,0.20671140939597316,0.012975391498881432
John / Jaan / Jussi / Hans,0.6558689024390244,0.037347560975609755,0.24009146341463414,0.021722560975609755,0.013719512195121951,0.03125
Peter / Pietari / Peeter,0.2456824512534819,0.03899721448467967,0.45181058495821724,0.10584958217270195,0.1426183844011142,0.015041782729805013
Martin / Mart / Märt,0.9297744790179846,0.03654010847844705,0.012275192691978304,0.003711104767342278,0.0005709391949757351,0.01712817584927205
Catherine / Kadri / Katri,0.6141078838174274,0.11065006915629322,0.1111111111111111,0.12494236975564776,0.0239741816505302,0.015214384508990318
Anna / Anne / Ann / Anni,0.6504639858594786,0.054352629253203714,0.11621741051701281,0.07865665046398586,0.08086610693769333,0.019443216968625717
