person_cluster,area_name,category,mentions,poems
Smith / Blacksmith,Viljandi,sepp,21,14
Smith / Blacksmith,Virolahti,seppä,2,2
Smith / Blacksmith,Viru-Jaagupi,Other,2,1
Smith / Blacksmith,Viru-Jaagupi,compound -sepp,2,2
Smith / Blacksmith,Viru-Jaagupi,sepp,3,1
Smith / Blacksmith,Viru-Nigula,Other,1,1
Smith / Blacksmith,Viru-Nigula,sepp,16,6
Smith / Blacksmith,Vuokkiniemi,seppä,11,9
Smith / Blacksmith,Vuokkiniemi,takoja,3,2
Smith / Blacksmith,Vuole,compound -sepp,4,3
Smith / Blacksmith,Vuole,seppo,1,1
Smith / Blacksmith,Vuole,seppä,37,21
Smith / Blacksmith,Vuole,takoja,1,1
Smith / Blacksmith,Väike-Maarja,Other,2,2
Smith / Blacksmith,Väike-Maarja,compound -sepp,7,4
Smith / Blacksmith,Väike-Maarja,sepp,13,8
Smith / Blacksmith,Vändra,Other,1,1
Smith / Blacksmith,Vändra,compound -sepp,4,2
Smith / Blacksmith,Vändra,sepp,9,6
Smith / Blacksmith,Võnnu,compound -sepp,2,1
Smith / Blacksmith,Võnnu,sepp,1,1
Smith / Blacksmith,Ylikiiminki,seppä,1,1
Smith / Blacksmith,Ylistaro,seppä,2,1
Smith / Blacksmith,Ylitornio,compound -sepp,1,1
Smith / Blacksmith,Ylämaa,Other,1,1
Smith / Blacksmith,Ylämaa,seppä,1,1
Smith / Blacksmith,Yläne,seppä,4,1
Smith / Blacksmith,Ypäjä,seppä,4,1
Smith / Blacksmith,Ähtäri,compound -sepp,1,1
Smith / Blacksmith,Ähtäri,seppä,6,2
Smith / Blacksmith,Äksi,Other,2,2
Smith / Blacksmith,Äksi,compound -sepp,2,1
Smith / Blacksmith,Äksi,sepp,5,2
