person_cluster,area_name,category,mentions,poems
Smith / Blacksmith,Karuse,compound -sepp,19,5
Smith / Blacksmith,Karuse,sepp,11,2
Smith / Blacksmith,Karvia,seppä,2,2
Smith / Blacksmith,Kattila,Other,1,1
Smith / Blacksmith,Kattila,seppä,2,1
Smith / Blacksmith,Kattila,takoja,1,1
Smith / Blacksmith,Kauhava,seppä,1,1
Smith / Blacksmith,Kaukola,seppä,6,3
Smith / Blacksmith,Kauvatsa,seppä,2,2
Smith / Blacksmith,Keila,compound -sepp,1,1
Smith / Blacksmith,Keila,sepp,3,2
Smith / Blacksmith,Keltto,seppä,4,4
Smith / Blacksmith,Keltto,takoja,2,2
Smith / Blacksmith,Kemi,Other,1,1
Smith / Blacksmith,Kemi,seppä,7,6
Smith / Blacksmith,Kerimäki,seppä,2,2
Smith / Blacksmith,Kesälahti,seppo,1,1
Smith / Blacksmith,Kesälahti,seppä,6,4
Smith / Blacksmith,Kiestinki,seppä,1,1
Smith / Blacksmith,Kihelkonna,sepp,3,2
Smith / Blacksmith,Kihnu,compound -sepp,3,2
Smith / Blacksmith,Kihnu,sepp,5,3
Smith / Blacksmith,Kiihtelysvaara,seppo,1,1
Smith / Blacksmith,Kiihtelysvaara,seppä,2,2
Smith / Blacksmith,Kiikala,seppä,2,1
Smith / Blacksmith,Kiimaisjärvi,seppä,1,1
Smith / Blacksmith,Kiiminki,compound -sepp,1,1
Smith / Blacksmith,Kirvu,seppo,1,1
Smith / Blacksmith,Kirvu,seppä,2,2
Smith / Blacksmith,Kitee,Other,1,1
Smith / Blacksmith,Kitee,compound -sepp,1,1
Smith / Blacksmith,Kitee,seppä,20,11
Smith / Blacksmith,Kiuruvesi,seppä,2,2
Smith / Blacksmith,Kivennapa,seppä,4,2
Smith / Blacksmith,Kivijärvi,seppä,1,1
Smith / Blacksmith,Kodavere,compound -sepp,5,3
Smith / Blacksmith,Kodavere,sepp,3,1
Smith / Blacksmith,Koeru,Other,5,4
Smith / Blacksmith,Koeru,compound -sepp,11,6
Smith / Blacksmith,Koeru,sepp,15,9
Smith / Blacksmith,Koivisto,compound -sepp,1,1
Smith / Blacksmith,Kokemäki,compound -sepp,1,1
Smith / Blacksmith,Kokemäki,seppä,1,1
Smith / Blacksmith,Kolga-Jaani,Other,2,1
Smith / Blacksmith,Kolga-Jaani,compound -sepp,13,7
Smith / Blacksmith,Kolga-Jaani,sepp,16,8
Smith / Blacksmith,Kontiolahti,seppo,1,1
Smith / Blacksmith,Kontiolahti,seppä,3,3
Smith / Blacksmith,Kontokki,Other,1,1
Smith / Blacksmith,Kontokki,seppä,3,2
Smith / Blacksmith,Kontokki,takoja,1,1
Smith / Blacksmith,Koprina,Other,1,1
Smith / Blacksmith,Koprina,compound -sepp,2,2
Smith / Blacksmith,Koprina,seppä,4,4
Smith / Blacksmith,Korpilahti,Other,1,1
Smith / Blacksmith,Korpilahti,seppä,5,1
Smith / Blacksmith,Korpiselkä,compound -sepp,1,1
Smith / Blacksmith,Korpiselkä,seppo,7,2
Smith / Blacksmith,Korpiselkä,seppä,19,9
Smith / Blacksmith,Kose,Other,6,2
Smith / Blacksmith,Kose,sepp,6,4
Smith / Blacksmith,Koskenpää,seppä,1,1
Smith / Blacksmith,Koski Hl.,seppä,4,2
Smith / Blacksmith,Koski Tl.,seppä,4,1
Smith / Blacksmith,Kuhmoinen,seppä,2,1
Smith / Blacksmith,Kuopio,Other,1,1
Smith / Blacksmith,Kuopio,seppä,1,1
Smith / Blacksmith,Kuorevesi,seppä,2,2
Smith / Blacksmith,Kupanitsa,compound -sepp,1,1
Smith / Blacksmith,Kupanitsa,seppä,5,3
Smith / Blacksmith,Kupanitsa,takoja,3,2
Smith / Blacksmith,Kurikka,compound -sepp,2,2
Smith / Blacksmith,Kursi,Other,1,1
Smith / Blacksmith,Kursi,compound -sepp,4,1
Smith / Blacksmith,Kursi,sepp,2,2
Smith / Blacksmith,Kuusalu,Other,2,2
Smith / Blacksmith,Kuusalu,compound -sepp,26,14
Smith / Blacksmith,Kuusalu,sepp,35,16
Smith / Blacksmith,Kuusamo,seppä,4,1
Smith / Blacksmith,Kuusjoki,seppä,10,3
Smith / Blacksmith,Kuusjärvi,seppä,2,2
Smith / Blacksmith,Kylmäkoski,seppä,8,2
Smith / Blacksmith,Käkisalmi,seppä,1,1
Smith / Blacksmith,Kärla,sepp,4,2
Smith / Blacksmith,Lahti,compound -sepp,1,1
Smith / Blacksmith,Lahti,seppä,1,1
Smith / Blacksmith,Laihia,Other,1,1
Smith / Blacksmith,Laihia,seppä,1,1
Smith / Blacksmith,Laitila,compound -sepp,1,1
Smith / Blacksmith,Laitila,seppä,4,2
Smith / Blacksmith,Laiuse,sepp,6,5
Smith / Blacksmith,Lammi,seppä,8,3
Smith / Blacksmith,Lapinlahti,seppä,5,1
Smith / Blacksmith,Lavansaari,seppä,4,3
Smith / Blacksmith,Lemi,compound -sepp,1,1
Smith / Blacksmith,Lemi,seppä,5,3
Smith / Blacksmith,Lempaala,Other,1,1
Smith / Blacksmith,Lempaala,compound -sepp,13,9
Smith / Blacksmith,Lempaala,seppä,46,28
Smith / Blacksmith,Lempaala,takoja,6,5
Smith / Blacksmith,Leppävirta,Other,1,1
Smith / Blacksmith,Lieto,compound -sepp,1,1
Smith / Blacksmith,Liissilä,seppä,12,4
Smith / Blacksmith,Liperi,seppo,1,1
Smith / Blacksmith,Liperi,seppä,5,4
Smith / Blacksmith,Liperi,takoja,1,1
Smith / Blacksmith,Loimaa,seppä,1,1
Smith / Blacksmith,Lokalahti,seppä,1,1
Smith / Blacksmith,Loppi,seppä,10,4
Smith / Blacksmith,Luhanka,Other,1,1
Smith / Blacksmith,Luopioinen,seppä,2,1
Smith / Blacksmith,Lüganuse,Other,1,1
Smith / Blacksmith,Lüganuse,compound -sepp,3,3
Smith / Blacksmith,Lüganuse,sepp,9,4
Smith / Blacksmith,Maaninka,seppä,3,3
Smith / Blacksmith,Maaria,seppä,5,1
Smith / Blacksmith,Maarja-Magdaleena,Other,2,1
Smith / Blacksmith,Maarja-Magdaleena,compound -sepp,1,1
Smith / Blacksmith,Maarja-Magdaleena,sepp,4,2
Smith / Blacksmith,Metsäpirtti,Other,1,1
Smith / Blacksmith,Metsäpirtti,compound -sepp,1,1
Smith / Blacksmith,Metsäpirtti,seppä,4,3
Smith / Blacksmith,Mihkli,Other,1,1
Smith / Blacksmith,Mihkli,compound -sepp,2,1
Smith / Blacksmith,Mihkli,sepp,1,1
Smith / Blacksmith,Moloskovitsa,compound -sepp,2,2
Smith / Blacksmith,Moloskovitsa,seppä,7,5
Smith / Blacksmith,Moloskovitsa,takoja,2,2
Smith / Blacksmith,Mouhijärvi,seppä,5,1
Smith / Blacksmith,Muhu,Other,4,3
Smith / Blacksmith,Muhu,compound -sepp,1,1
Smith / Blacksmith,Muhu,sepp,9,5
Smith / Blacksmith,Muolaa,Other,1,1
Smith / Blacksmith,Muolaa,compound -sepp,1,1
Smith / Blacksmith,Muolaa,seppä,2,2
Smith / Blacksmith,Mustjala,compound -sepp,6,1
Smith / Blacksmith,Mustjala,sepp,2,2
Smith / Blacksmith,Muurla,Other,1,1
Smith / Blacksmith,Muurla,compound -sepp,1,1
Smith / Blacksmith,Muurla,seppä,1,1
Smith / Blacksmith,Muuruvesi,seppä,2,2
