person_cluster,variant_by_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Jesus / Christ,Other,Ingria,6,0.0026845637583892616,0.1111111111111111
Jesus / Christ,Other,East Karelia/Veps/Tver,13,0.0058165548098434005,0.24074074074074073
Jesus / Christ,Other,Other/unclear,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Estonia core/west,775,0.29535060975609756,0.8928571428571429
John / Jaan / Jussi / Hans,Jaan,South Estonia/Seto,58,0.022103658536585365,0.06682027649769585
John / Jaan / Jussi / Hans,Jaan,Finland/Savo-Karelia,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Jaan,Other/unclear,35,0.013338414634146341,0.04032258064516129
John / Jaan / Jussi / Hans,Jussi/Juss,Estonia core/west,20,0.007621951219512195,0.03164556962025317
John / Jaan / Jussi / Hans,Jussi/Juss,South Estonia/Seto,1,0.00038109756097560977,0.0015822784810126582
John / Jaan / Jussi / Hans,Jussi/Juss,Finland/Savo-Karelia,563,0.2145579268292683,0.8908227848101266
John / Jaan / Jussi / Hans,Jussi/Juss,Ingria,20,0.007621951219512195,0.03164556962025317
John / Jaan / Jussi / Hans,Jussi/Juss,East Karelia/Veps/Tver,26,0.009908536585365854,0.04113924050632911
John / Jaan / Jussi / Hans,Jussi/Juss,Other/unclear,2,0.0007621951219512195,0.0031645569620253164
John / Jaan / Jussi / Hans,Hans,Estonia core/west,414,0.15777439024390244,0.9118942731277533
John / Jaan / Jussi / Hans,Hans,South Estonia/Seto,5,0.0019054878048780487,0.011013215859030838
John / Jaan / Jussi / Hans,Hans,Finland/Savo-Karelia,2,0.0007621951219512195,0.004405286343612335
John / Jaan / Jussi / Hans,Hans,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Hans,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Hans,Other/unclear,33,0.012576219512195123,0.07268722466960352
John / Jaan / Jussi / Hans,Ants,Estonia core/west,219,0.08346036585365854,0.9163179916317992
John / Jaan / Jussi / Hans,Ants,South Estonia/Seto,15,0.005716463414634146,0.06276150627615062
John / Jaan / Jussi / Hans,Ants,Finland/Savo-Karelia,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,Ingria,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,East Karelia/Veps/Tver,0,0.0,0.0
John / Jaan / Jussi / Hans,Ants,Other/unclear,5,0.0019054878048780487,0.02092050209205021
John / Jaan / Jussi / Hans,Iivana,Estonia core/west,0,0.0,0.0
John / Jaan / Jussi / Hans,Iivana,South Estonia/Seto,0,0.0,0.0
John / Jaan / Jussi / Hans,Iivana,Finland/Savo-Karelia,6,0.0022865853658536584,0.23076923076923078
John / Jaan / Jussi / Hans,Iivana,Ingria,15,0.005716463414634146,0.5769230769230769
John / Jaan / Jussi / Hans,Iivana,East Karelia/Veps/Tver,5,0.0019054878048780487,0.19230769230769232
John / Jaan / Jussi / Hans,Iivana,Other/unclear,0,0.0,0.0
John / Jaan / Jussi / Hans,Other,Estonia core/west,293,0.11166158536585366,0.7234567901234568
John / Jaan / Jussi / Hans,Other,South Estonia/Seto,19,0.007240853658536586,0.04691358024691358
John / Jaan / Jussi / Hans,Other,Finland/Savo-Karelia,59,0.022484756097560975,0.145679012345679
John / Jaan / Jussi / Hans,Other,Ingria,22,0.008384146341463415,0.05432098765432099
John / Jaan / Jussi / Hans,Other,East Karelia/Veps/Tver,5,0.0019054878048780487,0.012345679012345678
John / Jaan / Jussi / Hans,Other,Other/unclear,7,0.0026676829268292685,0.01728395061728395
Peter / Pietari / Peeter,Pietari,Estonia core/west,1,0.0005571030640668524,0.0013175230566534915
Peter / Pietari / Peeter,Pietari,South Estonia/Seto,0,0.0,0.0
Peter / Pietari / Peeter,Pietari,Finland/Savo-Karelia,441,0.2456824512534819,0.5810276679841897
Peter / Pietari / Peeter,Pietari,Ingria,131,0.07298050139275766,0.1725955204216074
Peter / Pietari / Peeter,Pietari,East Karelia/Veps/Tver,182,0.10139275766016713,0.23978919631093545
Peter / Pietari / Peeter,Pietari,Other/unclear,4,0.0022284122562674096,0.005270092226613966
Peter / Pietari / Peeter,Peeter,Estonia core/west,401,0.2233983286908078,0.8531914893617021
Peter / Pietari / Peeter,Peeter,South Estonia/Seto,54,0.030083565459610027,0.1148936170212766
