person_cluster,english_variant,mentions_total,share_total,mapped_mentions,share_among_mapped,areas,top_areas,top_counties,top_raw_word_in_english,total_group_mentions,mapped_group_mentions
Catherine / Kadri / Katri,Kadri,1251,0.5199501246882793,1187,0.5363759602349751,77,Räpina (75); Helme (63); Karula (62); Audru (43); Karksi (41); Halliste (40); Ambla (40); Pärnu-Jaagupi (38); Paistu (34); Kose (31),Pärnumaa (253); Viljandimaa (186); Võrumaa (179); Harjumaa (125); Järvamaa (112); Virumaa (109); Läänemaa (101); Tartumaa (64),Kadri (730); Kadris (83); Kadri's (65); on Kadri (65); Kadrina (55); Kadrike (49); to Kadri (24); little Kadris (22); little Kadri (19); Kadrid (18),2406,2213
Catherine / Kadri / Katri,Katri/Katrina,416,0.17290108063175394,340,0.15363759602349752,56,Paistu (52); Viljandi (48); Narvusi (21); Haljala (15); Tyrö (15); Karula (13); Hietamäki (12); Sortavala (11); Koprina (11); Laiuse (10),Viljandimaa (103); Keski-Inkeri (74); Länsi-Inkeri (26); Laatokan Karjala (Raja-Karjala) (24); Võrumaa (23); Itä- ja Pohjois-Inkeri (22); Etelä-Karjala (18); Virumaa (17),Katri (313); Katrina (66); Katri's (21); little Katri (3); to Katri (3); Katri (has) (2); Katri's messenger (1); Katri's border (1); from Katri (1); my Katri (1),2406,2213
Catherine / Kadri / Katri,Kaisa/Kaie,577,0.2398171238570241,534,0.2413014008133755,163,Kalajoki (21); Haljala (20); Kadrina (19); Karksi (17); Narvusi (16); Väike-Maarja (13); Paistu (13); Soikkola (13); Ilomantsi (12); Venjoki (12),Virumaa (75); Viljandimaa (54); Pärnumaa (41); Tartumaa (41); Järvamaa (34); Harjumaa (34); Pohjois-Karjala (31); Länsi-Inkeri (29),Kaie (235); Kaisa (168); Kaisa's (45); Kaie's (27); little Kaie (15); to Kaie (8); on Kaie (6); Kaie (name) (6); Kaie with stick (6); at Kaie's (5),2406,2213
Catherine / Kadri / Katri,Kati,106,0.04405652535328346,99,0.0447356529597831,22,Narvusi (36); Vuole (16); Kupanitsa (14); Toksova (6); Soikkola (4); Koprina (3); Moloskovitsa (3); Setumaa (2); Serepetta (2); Tarvastu (1),Länsi-Inkeri (40); Keski-Inkeri (24); Itä- ja Pohjois-Inkeri (23); Varsinais-Suomi (4); Läänemaa (2); Setumaa (2); Viljandimaa (1); Võrumaa (1),Kati (81); to Kati (8); Kati's (7); Kati-flower (2); Tuku-Kati (1); Kati (name) (1); of Katina/Kati (1); Kati/gadfly (1); kati (1); my Kati/dear one (1),2406,2213
Catherine / Kadri / Katri,Catherine/Katherine,56,0.023275145469659187,53,0.02394938996836873,35,Uukuniemi (4); Varbla (3); Audru (3); Tõstamaa (3); Vuole (3); Hartola (2); Jaakkima (2); Nurmes (2); Metsäpirtti (2); Soikkola (2),Pohjois-Karjala (8); Pärnumaa (6); Laatokan Karjala (Raja-Karjala) (6); Itä- ja Pohjois-Inkeri (6); Etelä-Karjala (5); Etelä-Savo (4); Läänemaa (3); Tartumaa (3),Catherine (32); Katherine (17); Katherine's (4); Catherine's guests (1); Catherine's (1); from Catherine's Day (1),2406,2213
Catherine / Kadri / Katri,Other,0,0.0,0,0.0,0,,,,2406,2213
Anna / Anne / Ann / Anni,Anne,806,0.3475636050021561,756,0.3513011152416357,82,Karksi (37); Paistu (37); Haljala (34); Kolga-Jaani (30); Helme (29); Kadrina (29); Viljandi (29); Tarvastu (26); Saarde (22); Halliste (20),Viljandimaa (208); Virumaa (124); Pärnumaa (122); Tartumaa (112); Järvamaa (56); Harjumaa (44); Läänemaa (31); Võrumaa (26),Anne (554); little Anne (95); to Anne (36); Anne's (36); Little Anne (13); on Anne (11); Little-Anne (6); at Anne's (6); at Anne (4); little-Anne (4),2319,2152
Anna / Anne / Ann / Anni,Ann,619,0.2669253988788271,575,0.26719330855018586,109,Vigala (30); Tarvastu (27); Audru (26); Kadrina (20); Setumaa (16); Muhu (16); Urvaste (16); Pühalepa (15); Suure-Jaani (14); Kolga-Jaani (14),Viljandimaa (106); Läänemaa (86); Virumaa (74); Tartumaa (50); Pärnumaa (49); Saaremaa (41); Järvamaa (35); Harjumaa (29),Ann (460); Ann's (56); little Ann (52); to Ann (18); from Ann (5); at Ann (5); at Ann's (3); on Ann (3); Ann/grace (2); Ann (name) (2),2319,2152
Anna / Anne / Ann / Anni,Anni/Annie,553,0.23846485554118155,511,0.237453531598513,134,Narvusi (32); Suojärvi (31); Tulemajärvi (25); Suistamo (22); Vuole (20); Soikkola (19); Paatene (16); Koprina (13); Ilomantsi (11); Vuokkiniemi (10),Laatokan Karjala (Raja-Karjala) (68); Keski-Inkeri (59); Aunus (56); Länsi-Inkeri (51); Etelä-Karjala (50); Itä- ja Pohjois-Inkeri (34); Pohjois-Karjala (25); Häme (23),Anni (378); Anni's (51); Annie (28); to Anni (24); from Anni (14); Annie (diminutive) (6); my Anni (6); little Anni (5); as Anni (5); Anni (name) (3),2319,2152
Anna / Anne / Ann / Anni,Anna,296,0.12764122466580421,268,0.12453531598513011,131,Harju-Jaani (16); Vändra (9); Risti (8); Karksi (8); Rõuge (6); Võnnu (6); Urvaste (6); Maarja-Magdaleena (6); Tarvastu (6); Metsäpirtti (6),Harjumaa (36); Tartumaa (24); Pärnumaa (21); Etelä-Savo (21); Võrumaa (20); Virumaa (16); Viljandimaa (15); Etelä-Karjala (12),Anna (128); little Anna (43); Anna's (27); Little Anna (21); anna (20); from Anna (9); to Anna (7); Anna had (3); on Anna (3); little Anna (object) (2),2319,2152
Anna / Anne / Ann / Anni,Anu,45,0.019404915912031046,42,0.019516728624535316,22,Järva-Jaani (4); Narvusi (4); Kattila (4); Pöide (3); Puhja (2); Rannu (2); Lüganuse (2); Sangaste (2); Viru-Nigula (2); Urvaste (2),Länsi-Inkeri (8); Tartumaa (6); Virumaa (5); Järvamaa (4); Läänemaa (3); Saaremaa (3); Viljandimaa (3); Laatokan Karjala (Raja-Karjala) (3),Anu (31); with Anu (3); little Anu (2); Anu/beggar (2); little Anu (part.) (1); from Anu (1); my Anu (1); of anu (1); Anu's (1); into Anu (1),2319,2152
Anna / Anne / Ann / Anni,Other,0,0.0,0,0.0,0,,,,2319,2152
Ilmarinen,Ilmarinen,284,0.9161290322580645,266,0.9140893470790378,69,Ilomantsi (64); Suojärvi (35); Kitee (12); Vieljärvi (8); Suomussalmi (8); Soikkola (7); Korpiselkä (7); Tulemajärvi (6); Porajärvi (6); Lempaala (6),Pohjois-Karjala (97); Laatokan Karjala (Raja-Karjala) (54); Aunus (22); Kainuu (18); Pohjois-Savo (14); Keski-Inkeri (13); Etelä-Savo (11); Itä- ja Pohjois-Inkeri (11),Ilmarinen (229); Ilmarinen's (43); my Ilmarinen (3); to Ilmarinen (2); at Ilmarinen's (2); of Ilmarinen (2); Elijah/Ilmarinen (1); Ilmarinen cried (1); Ilmarinen's chest (1),310,291
Ilmarinen,Ilmari/Ilmar,26,0.08387096774193549,25,0.0859106529209622,15,Sortavala (4); Liissilä (3); Kuhmoinen (2); Juuka (2); Venjoki (2); Suojärvi (2); Kitee (2); Koeru (1); Kangasniemi (1); Pielavesi (1),Pohjois-Karjala (6); Laatokan Karjala (Raja-Karjala) (6); Keski-Inkeri (5); Häme (2); Pohjois-Savo (2); Järvamaa (1); Etelä-Savo (1); Itä- ja Pohjois-Inkeri (1),Ilmari (8); Ilmari's (6); Ilmar's (3); Ilmar (2); my Ilmari's (2); Ilmari-fathers (1); Ilmari-father (1); to Ilmari's father (1); Ilmar's son (1); of Ilmari (1),310,291
Ilmarinen,Other,0,0.0,0,0.0,0,,,,310,291
Väinämöinen,Väinämöinen,1195,0.8924570575056012,1100,0.8856682769726248,117,Suistamo (158); Ilomantsi (156); Suojärvi (93); Vuokkiniemi (46); Korpiselkä (40); Repola (29); Kitee (29); Impilahti (25); Kesälahti (25); Kaprio (23),Laatokan Karjala (Raja-Karjala) (340); Pohjois-Karjala (285); Viena (99); Aunus (77); Pohjois-Savo (51); Etelä-Savo (41); Kainuu (41); Keski-Inkeri (36),Väinämöinen (799); Väinämöinen's (344); from Väinämöinen (20); to Väinämöinen (9); of Väinämöinen (8); with Väinämöinen (6); at Väinämöinen's (2); into Väinämöinen (1); Väinämöinen's measure (1); Väinämöinen's water (1),1339,1242
Väinämöinen,Väinö/Väinämö,144,0.1075429424943988,142,0.1143317230273752,41,Suistamo (47); Suojärvi (15); Korpiselkä (9); Paatene (8); Repola (6); Soikkola (6); Vuokkiniemi (4); Tolmačču (2); Muolaa (2); Soanlahti (2),Laatokan Karjala (Raja-Karjala) (73); Aunus (19); Pohjois-Karjala (14); Etelä-Karjala (7); Länsi-Inkeri (6); Viena (5); Itä- ja Pohjois-Inkeri (3); Tveri (2),Väinö's (78); Väinö (34); Väinämö's (9); from Väinö (3); Väinö's wall (2); Väinämö (2); Väinö's son (2); of Väinö (1); at Väinö's (1); my Väinämö (1),1339,1242
Väinämöinen,Other,0,0.0,0,0.0,0,,,,1339,1242
Lemminkäinen,Lemminkäinen,237,0.7745098039215687,221,0.7620689655172413,26,Suistamo (40); Repola (33); Porajärvi (30); Ilomantsi (23); Saarijärvi (18); Kiimaisjärvi (14); Soanlahti (10); Kontokki (8); Suojärvi (8); Jyskyjärvi (6),Aunus (78); Laatokan Karjala (Raja-Karjala) (62); Pohjois-Karjala (24); Viena (21); Keski-Suomi (18); Varsinais-Suomi (14); Pohjois-Savo (3); Itä- ja Pohjois-Inkeri (1),Lemminkäinen (176); Lemminkäinen's (55); with Lemminkäinen (2); of Lemminkäinen (2); Lemminkäinen (mythic hero) (1); from Lemminkäinen (1),306,290
Lemminkäinen,Lemmingäinen/Lemming,69,0.22549019607843138,69,0.23793103448275862,11,Suistamo (30); Kuusalu (13); Repola (11); Somerniemi (3); Haljala (2); Muonio (2); Rukajärvi (2); Suojärvi (2); Hankasalmi (2); Kodavere (1),Laatokan Karjala (Raja-Karjala) (32); Harjumaa (13); Aunus (13); Häme (4); Virumaa (2); Peräpohjola (2); Keski-Suomi (2); Tartumaa (1),Lemmingäinen (30); Lemmingäinen's (15); Lemming (7); Lemming's (6); lemming (3); with Lemming (2); to Lemming (1); lemming/agreement (1); harmony/lemming (1); lemming/harmony (1),306,290
Lemminkäinen,Other,0,0.0,0,0.0,0,,,,306,290
