feature_rank_by_size,semantic_name_group,standard_lemma,standard_lemma_map_category,mentions,overall_share,is_top_map_variant
1,Mary / Maria / Maarja / Mari,Maarjamaa,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maarjat,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maarjatta,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maie (proper noun),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maie-l,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maie/maa,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maija (diminutive),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maija (prop.),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maija-lla-ni,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijamaa,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijani,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijatytär,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijelleni,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijetyttö,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijetytär,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maijukka,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maikki,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mari & -kene,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mari & sisar,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mari (poss.),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mari&nensa,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mari/mariama,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maria & emo,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maria (loan),Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Maria+n,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mariainen/muori,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mariale,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Marialta,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Marian aine,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Mariasta,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Marile,Other,1,0.0002583311805734952,False
1,Mary / Maria / Maarja / Mari,Marin,Other,1,0.0002583311805734952,False
