feature_rank_by_size,semantic_name_group,area_name,macroRegion,langLabel,langCode,standard_lemma_map_category,mentions,poems,standard_lemma_types,top_standard_lemmas,top_english_variants
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Mai,2,1,1,Mai (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Maria,2,2,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,Marikene,1,1,1,Marikene (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maarja,22,17,1,Maarja (22),Mary (18); Maria/Maaria (2); Mari (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Mari,9,9,1,Mari (9),Mari (7); Mary (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Other,8,6,6,Maari (3); mai (1); Marike (1); maiekene (1); maarjeit (1); Maali (1),Mary (3); Maria/Maaria (3); Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maie,3,2,1,Maie (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maaria,2,1,1,Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Halsua,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,mustamaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hanila,Estonia core/west,North Estonian,viP,Mari,2,2,1,Mari (2),Mary (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Hanila,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hanila,Estonia core/west,North Estonian,viP,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hargla,South Estonia/Seto,South Estonian,viE,Mari,3,2,1,Mari (3),Mari (2); Mary (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Mari,15,9,1,Mari (15),Mari (13); Mary (2)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maarja,2,1,1,Maarja (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maria,2,2,1,Maria (2),Mary (1); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Maie,1,1,1,Maie (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Harju-Madise,Estonia core/west,North Estonian,viP,Mari,2,1,1,Mari (2),Mari (2)
1,Mary / Maria / Maarja / Mari,Harju-Madise,Estonia core/west,North Estonian,viP,Other,1,1,1,Marike (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Harlu,East Karelia/Veps/Tver,Finnish,su,Maria,2,2,1,Maria (2),Mary (1); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hartola,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,mustamaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Maija,6,5,1,Maija (6),Maija/Maie (6)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Other,3,3,3,Helsanmaija (1); kuppari & Maija (1); Helsinki & Maija (1),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Mari,2,1,1,Mari (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,Maaria,3,3,1,Maaria (3),Mary (2); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Haukivuori,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Maija,3,3,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Other,2,2,2,ahkeramaija (1); Helssa-Maija (1),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Mari,1,1,1,Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Heinjoki,Finland/Savo-Karelia,Finnish,su,Mari,1,1,1,Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Maarja,30,18,1,Maarja (30),Mary (30)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Maie,10,3,1,Maie (10),Maija/Maie (10)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Mari,5,4,1,Mari (5),Mari (4); Mary (1)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Other,2,2,2,mari (1); maie+ke (1),Mary (1); Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,Mai,1,1,1,Mai (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hietamäki,Ingria,Finnish,su,Other,2,2,2,Maijukka (1); Mari & sisar (1),Maija/Maie (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Hietamäki,Ingria,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hiitola,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hirvensalmi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hollola,Finland/Savo-Karelia,Finnish,su,Maija,5,4,1,Maija (5),Maija/Maie (5)
1,Mary / Maria / Maarja / Mari,Hollola,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Huittinen,Finland/Savo-Karelia,Finnish,su,Maaria,5,3,1,Maaria (5),Maria/Maaria (4); Mary (1)
1,Mary / Maria / Maarja / Mari,Huittinen,Finland/Savo-Karelia,Finnish,su,Other,2,1,1,Mittu-Maaria (2),Maria/Maaria (2)
1,Mary / Maria / Maarja / Mari,Huittinen,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Humppila,Finland/Savo-Karelia,Finnish,su,Maria,5,3,1,Maria (5),Mary (5)
1,Mary / Maria / Maarja / Mari,Humppila,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Humppila,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,akkuna & Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Hyvinkää,Finland/Savo-Karelia,Finnish,su,Maija,3,3,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hyvinkää,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Hämeenkyrö,Finland/Savo-Karelia,Finnish,su,Maija,3,2,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hämeenlinna,Finland/Savo-Karelia,Finnish,su,Maija,3,2,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Hämeenlinna,Finland/Savo-Karelia,Finnish,su,Maaria,2,1,1,Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Häädemeeste,Estonia core/west,North Estonian,viP,Mari,12,7,1,Mari (12),Mari (10); Mary (2)
1,Mary / Maria / Maarja / Mari,Häädemeeste,Estonia core/west,North Estonian,viP,Other,3,2,2,marikene (2); mari (1),Mary (2); Mari (1)
1,Mary / Maria / Maarja / Mari,Häädemeeste,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Häädemeeste,Estonia core/west,North Estonian,viP,Maie,1,1,1,Maie (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Iisaku,Estonia core/west,North Estonian,viP,Mari,6,5,1,Mari (6),Mari (5); Mary (1)
1,Mary / Maria / Maarja / Mari,Iisaku,Estonia core/west,North Estonian,viP,Maie,3,2,1,Maie (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Iisaku,Estonia core/west,North Estonian,viP,Maria,2,1,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Iisalmi,Finland/Savo-Karelia,Finnish,su,Maria,8,7,1,Maria (8),Mary (7); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Iisalmi,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Iitti,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Ilmajoki,Finland/Savo-Karelia,Finnish,su,Maria,2,2,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maria,16,14,1,Maria (16),Mary (15); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maaria,10,9,1,Maaria (10),Mary (10)
1,Mary / Maria / Maarja / Mari,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maija,3,3,1,Maija (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Other,2,1,1,Maarian (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,Maria,13,11,1,Maria (13),Mary (9); Maria/Maaria (4)
1,Mary / Maria / Maarja / Mari,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,Maaria,2,2,1,Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,Other,1,1,1,maarianne (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Inkere,Ingria,Finnish,su,Mari,1,1,1,Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Isojoki,Finland/Savo-Karelia,Finnish,su,Maria,3,2,1,Maria (3),Mary (3)
1,Mary / Maria / Maarja / Mari,Jaakkima,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,akkelismaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Jaani,Estonia core/west,North Estonian,viP,Maie,2,1,1,Maie (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Jaani,Estonia core/west,North Estonian,viP,Mari,2,2,1,Mari (2),Mari (1); Mary (1)
1,Mary / Maria / Maarja / Mari,Jaani,Estonia core/west,North Estonian,viP,Other,2,1,1,maiekene (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Jalasjärvi,Finland/Savo-Karelia,Finnish,su,Maria,2,2,1,Maria (2),Mary (1); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Janakkala,Finland/Savo-Karelia,Finnish,su,Maija,8,8,1,Maija (8),Maija/Maie (7); Mary (1)
1,Mary / Maria / Maarja / Mari,Janakkala,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,Akeri-Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Joensuu,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,Kasperinmar (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Jokioinen,Finland/Savo-Karelia,Finnish,su,Maaria,4,3,1,Maaria (4),Mary (2); Maria/Maaria (2)
1,Mary / Maria / Maarja / Mari,Jokioinen,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Jokioinen,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,makkaramaija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Joroinen,Finland/Savo-Karelia,Finnish,su,Maria,2,2,1,Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Joroinen,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Joutsa,Finland/Savo-Karelia,Finnish,su,Maria,3,2,1,Maria (3),Mary (2); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Jurva,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Juuka,Finland/Savo-Karelia,Finnish,su,Maria,3,3,1,Maria (3),Mary (3)
1,Mary / Maria / Maarja / Mari,Juuka,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,1,Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Juuru,Estonia core/west,North Estonian,viP,Maarja,1,1,1,Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Juuru,Estonia core/west,North Estonian,viP,Mari,1,1,1,Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Juva,Finland/Savo-Karelia,Finnish,su,Maria,17,16,1,Maria (17),Mary (16); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Juva,Finland/Savo-Karelia,Finnish,su,Maaria,2,2,1,Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Juva,Finland/Savo-Karelia,Finnish,su,Maija,2,2,1,Maija (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Juva,Finland/Savo-Karelia,Finnish,su,Other,1,1,1,Marian (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Jällivaara,Finland/Savo-Karelia,Tornedalen Finnish,su,Maria,2,2,1,Maria (2),Mary (1); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Jämaja,Estonia core/west,North Estonian,viP,Mari,1,1,1,Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Jämijärvi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Jämsä,Finland/Savo-Karelia,Finnish,su,Maria,1,1,1,Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Jäppilä,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Järva-Jaani,Estonia core/west,North Estonian,viP,Mari,8,5,1,Mari (8),Mary (4); Mari (4)
1,Mary / Maria / Maarja / Mari,Järva-Jaani,Estonia core/west,North Estonian,viP,Maria,4,2,1,Maria (4),Mary (4)
1,Mary / Maria / Maarja / Mari,Järva-Jaani,Estonia core/west,North Estonian,viP,Other,3,2,2,Marija (2); Maie/maa (1),Mary (2); Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Järva-Jaani,Estonia core/west,North Estonian,viP,Maarja,2,2,1,Maarja (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Järva-Madise,Estonia core/west,North Estonian,viP,Maie,1,1,1,Maie (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Järva-Madise,Estonia core/west,North Estonian,viP,Mari,1,1,1,Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Järva-Madise,Estonia core/west,North Estonian,viP,Other,1,1,1,Marie (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Jääski,Finland/Savo-Karelia,Finnish,su,Maija,1,1,1,Maija (1),Maija/Maie (1)
1,Mary / Maria / Maarja / Mari,Jõelähtme,Estonia core/west,North Estonian,viP,Mari,8,4,1,Mari (8),Mary (6); Mari (2)
1,Mary / Maria / Maarja / Mari,Jõelähtme,Estonia core/west,North Estonian,viP,Other,3,1,1,mai (3),Maija/Maie (3)
1,Mary / Maria / Maarja / Mari,Jõelähtme,Estonia core/west,North Estonian,viP,Marikene,1,1,1,Marikene (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,Mari,30,17,1,Mari (30),Mari (25); Mary (5)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,Maarja,7,7,1,Maarja (7),Mary (7)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,Other,5,4,4,mai (2); Marike (1); Mari & -kene (1); Mari+kene (1),Mari (3); Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,Maria,3,3,1,Maria (3),Mary (2); Maria/Maaria (1)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,Mai,2,1,1,Mai (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Jõhvi,Estonia core/west,North Estonian,viP,Maie,2,2,1,Maie (2),Maija/Maie (2)
1,Mary / Maria / Maarja / Mari,Jüri,Estonia core/west,North Estonian,viP,Mari,8,6,1,Mari (8),Mari (8)
1,Mary / Maria / Maarja / Mari,Jüri,Estonia core/west,North Estonian,viP,Maarja,3,3,1,Maarja (3),Mary (3)
1,Mary / Maria / Maarja / Mari,Jüri,Estonia core/west,North Estonian,viP,Maria,3,3,1,Maria (3),Mary (3)
1,Mary / Maria / Maarja / Mari,Jüri,Estonia core/west,North Estonian,viP,Marikene,1,1,1,Marikene (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Jüri,Estonia core/west,North Estonian,viP,Other,1,1,1,maria (1),Maria/Maaria (1)
