area_name,macroRegion,langLabel,proper_name_mentions,n_groups,cluster,membership_confidence
Pyhäjärvi Vpl.,Finland/Savo-Karelia,Finnish,27,7,1,0.9999987523018911
Pälkjärvi,Finland/Savo-Karelia,Finnish,16,5,1,0.9994605106634494
Pärnu,Estonia core/west,North Estonian,105,6,2,0.9999989112035278
Pärnu-Jaagupi,Estonia core/west,North Estonian,123,7,2,0.9999999989929158
Põltsamaa,Estonia core/west,North Estonian,185,7,2,0.99999998139218
Põlva,South Estonia/Seto,South Estonian,64,7,2,0.9999999890245058
Pöide,Estonia core/west,North Estonian,76,8,2,0.9999998160460484
Pöytyä,Finland/Savo-Karelia,Finnish,18,4,1,0.9999237305535343
Pühalepa,Estonia core/west,North Estonian,37,7,2,0.9999803311813293
Rakvere,Estonia core/west,North Estonian,30,5,2,0.9999988488214173
Rannu,Estonia core/west,South Estonian,43,7,2,0.9999999076877246
Ranua,Finland/Savo-Karelia,Finnish,21,4,1,0.999777408191249
Rapla,Estonia core/west,North Estonian,56,5,2,0.9999999970910292
Rautavaara,Finland/Savo-Karelia,Finnish,23,6,1,0.7896773253011198
Reigi,Estonia core/west,North Estonian,12,5,2,0.999976791305258
Renko,Finland/Savo-Karelia,Finnish,14,5,1,0.9994605106634494
Repola,East Karelia/Veps/Tver,Karelian Proper,125,7,1,0.9999196836768832
Ridala,Estonia core/west,North Estonian,29,4,2,0.9998832372161304
Risti,Estonia core/west,North Estonian,118,7,2,0.999995755397086
Rovaniemi,Finland/Savo-Karelia,Finnish,27,6,1,0.9997996362219722
Ruovesi,Finland/Savo-Karelia,Finnish,13,4,1,0.9994665694989778
Räisälä,Finland/Savo-Karelia,Finnish,13,6,1,0.9999983828255028
Räpina,South Estonia/Seto,South Estonian,184,7,2,0.9999685744517078
Rääkkylä,Finland/Savo-Karelia,Finnish,39,6,1,0.9993051029103089
Rääpyvä,Ingria,Finnish,15,5,1,0.8057149003504605
Rõngu,Estonia core/west,South Estonian,111,7,2,0.9999999811617919
Rõuge,South Estonia/Seto,South Estonian,82,6,2,0.9999557988884276
Saarde,Estonia core/west,North Estonian,141,6,2,0.9999999302562868
Saarijärvi,Finland/Savo-Karelia,Finnish,72,9,1,0.9999999109334778
Sakkola,Finland/Savo-Karelia,Finnish,36,7,1,0.9999999503963058
Salmi,East Karelia/Veps/Tver,Livvi-Karelian,111,8,1,0.9999843271382544
Sangaste,Estonia core/west,South Estonian,120,7,2,0.9999901397607036
Sauvo,Finland/Savo-Karelia,Finnish,11,5,1,0.999935333817901
Savitaipale,Finland/Savo-Karelia,Finnish,14,6,1,0.9856886164747428
Savonlinna,Finland/Savo-Karelia,Finnish,14,4,1,0.999994122239256
Seiskari,Finland/Savo-Karelia,Finnish,12,4,1,0.990613793567628
Serepetta,Ingria,Finnish,39,7,1,0.9679153226152538
Setumaa,South Estonia/Seto,South Estonian,333,7,2,0.9982824890499423
Simo,Finland/Savo-Karelia,Finnish,12,5,1,0.9999999004336019
Simuna,Estonia core/west,North Estonian,126,7,2,0.9999999758845591
Skuoritsa,Ingria,Finnish,16,4,1,0.9997803774888521
Soanlahti,East Karelia/Veps/Tver,Finnish,54,8,1,0.9997377676844621
Sodankylä,Finland/Savo-Karelia,Finnish,16,5,1,0.9736935218112447
Soikkola,Ingria,Ingrian,253,9,1,0.9996301736864254
Somerniemi,Finland/Savo-Karelia,Finnish,10,5,1,0.950809046065209
Somero,Finland/Savo-Karelia,Finnish,23,5,1,0.9999774663440886
Sonkajärvi,Finland/Savo-Karelia,Finnish,28,7,1,0.999999749904217
Sortavala,East Karelia/Veps/Tver,Finnish,49,8,1,0.9999771637187584
Sotkamo,Finland/Savo-Karelia,Finnish,35,7,1,0.9999985851903171
Soutjärvi,East Karelia/Veps/Tver,Veps,10,6,2,0.8586232045402148
Suistamo,East Karelia/Veps/Tver,Livvi-Karelian,641,9,1,0.9999998373870048
Suojärvi,East Karelia/Veps/Tver,Finnish,345,8,1,0.9999781172067481
Suomussalmi,Finland/Savo-Karelia,Finnish,22,8,1,0.9999999780320714
Suonenjoki,Finland/Savo-Karelia,Finnish,19,7,1,0.9999985851903171
Suure-Jaani,Estonia core/west,North Estonian,268,7,2,0.9999472856132927
Sysmä,Finland/Savo-Karelia,Finnish,12,4,1,0.9992649255669636
Sääksmäki,Finland/Savo-Karelia,Finnish,38,5,1,0.9943690824681355
Tammela,Finland/Savo-Karelia,Finnish,44,5,1,0.9987077119108632
Tampere,Finland/Savo-Karelia,Finnish,12,5,1,0.9999803958447865
Tartu-Maarja,Estonia core/west,South Estonian,41,6,2,0.9999999982483372
Tarvastu,Estonia core/west,South Estonian,365,7,2,0.9999997241349295
Terijoki,Finland/Savo-Karelia,Finnish,15,6,1,0.9999938607921274
Tervo,Finland/Savo-Karelia,Finnish,15,7,1,0.9999971267420427
Tervola,Finland/Savo-Karelia,Finnish,10,4,2,0.6352125132312114
Tohmajärvi,Finland/Savo-Karelia,Finnish,55,8,1,0.9999999839085044
Toksova,Ingria,Finnish,40,8,1,0.9999271437841352
Tori,Estonia core/west,North Estonian,176,7,2,0.9999999654258961
Torma,Estonia core/west,North Estonian,249,6,2,0.9999530031115957
Tulemajärvi,East Karelia/Veps/Tver,Livvi-Karelian,75,7,1,0.9999196836768832
Turku,Finland/Savo-Karelia,Finnish,12,5,2,0.7549545394661271
Tuulos,Finland/Savo-Karelia,Finnish,13,4,1,0.9965330595209294
Tuupovaara,Finland/Savo-Karelia,Finnish,32,7,1,0.9977506573522779
Tuusniemi,Finland/Savo-Karelia,Finnish,14,4,1,0.9992294337611636
Tyrvää,Finland/Savo-Karelia,Finnish,23,7,1,0.9999484607754582
Tyrö,Ingria,Finnish,98,8,1,0.999982282858809
Tõstamaa,Estonia core/west,North Estonian,105,7,2,0.9999999991327675
Töysä,Finland/Savo-Karelia,Finnish,23,5,1,0.9994605106634494
Türi,Estonia core/west,North Estonian,88,7,2,0.9999999994298339
Uhtua,East Karelia/Veps/Tver,Karelian Proper,45,9,1,0.9999999975551463
Urvaste,South Estonia/Seto,South Estonian,195,7,2,0.9999999793605101
Uskela,Finland/Savo-Karelia,Finnish,56,6,1,0.999999519439406
