area_name,Ilmarinen::Ilmarinen,Ilmarinen::Other,Väinämöinen::Väinämöinen,Lemminkäinen::Lemminkäinen,Jesus / Christ::Jeesus,Jesus / Christ::Christ/Kristus,Jesus / Christ::Other,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maria,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maarja,Mary / Maria / Maarja / Mari::Maaria,Mary / Maria / Maarja / Mari::Other,John / Jaan / Jussi / Hans::Jaan,John / Jaan / Jussi / Hans::Jussi/Juss,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Iivana,John / Jaan / Jussi / Hans::Other,Peter / Pietari / Peeter::Pietari,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka,Peter / Pietari / Peeter::Petteri/Petri,Peter / Pietari / Peeter::Other,Martin / Mart / Märt::Märt,Martin / Mart / Märt::Mart/Martin,Martin / Mart / Märt::Mard/Mardi,Martin / Mart / Märt::Martti,Martin / Mart / Märt::Other,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri,Catherine / Kadri / Katri::Kaisa,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Katariina/Katriina,Catherine / Kadri / Katri::Other,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Anni,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,Anna / Anne / Ann / Anni::Other,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Hanila,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,7,47
Hargla,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,South Estonia/Seto,South Estonian,viE,6,48
Harju-Jaani,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,96
Harju-Madise,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,Estonia core/west,North Estonian,viP,5,17
Hartola,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,0,0,1,0,,,,,,,Finland/Savo-Karelia,Finnish,su,5,15
Hattula,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,37
Hauho,,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,18
Heinjoki,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,4,13
Heinävesi,1,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,6,36
Helme,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,7,555
Hietamäki,1,0,1,,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Ingria,Finnish,su,7,22
Hollola,,,,,,,,0,0,1,0,0,0,,,,,,,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,4,11
Hämeenlinna,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,5,22
Häädemeeste,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,111
Iisaku,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,34
Iisalmi,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,7,30
Ilomantsi,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,9,431
Impilahti,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,96
Isojoki,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,11
Jaani,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,5,10
Jalasjärvi,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,14
Janakkala,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,4,13
Joroinen,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,8,46
Juuka,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,6,17
Juuru,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,41
Juva,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,7,75
Jällivaara,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Tornedalen Finnish,su,4,12
Järva-Jaani,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Estonia core/west,North Estonian,viP,7,67
Järva-Madise,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,68
Jõelähtme,,,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,55
