source_txt,n_clusters,log_marginal_likelihood,source,n_areas,n_features,assignment_csv,summary_csv,map_jpg
/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/standard_true_baps_k2_8.mat.txt,8,-943.1425,standard,256,10,/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/standard_true_baps_cluster_assignments.csv,/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/standard_true_baps_cluster_summary.csv,/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/standard_true_baps_cluster_map.jpg
/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/english_true_baps_k2_8.mat.txt,8,-1008.1471,english,261,10,/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/english_true_baps_cluster_assignments.csv,/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/english_true_baps_cluster_summary.csv,/Users/xiaoye/Documents/New project/outputs/dhh26_full/person_name_variation/baps_proxy/english_true_baps_cluster_map.jpg
